nace_r2,wstatus,worktime,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
H51,CFAM,FT,THS,CZ	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,CFAM,FT,THS,DE	: 	: 	: 	: c	: c	: c	: 	: 	: 	: 
H51,CFAM,FT,THS,EA17	: c	: c	: 	: c	: c	: c	: 	: c	: c	: bc
H51,CFAM,FT,THS,EA18	: c	: c	: 	: c	: c	: c	: 	: c	: c	: bc
H51,CFAM,FT,THS,EA19	: c	: c	: 	: c	: c	: c	: 	: c	: c	: bc
H51,CFAM,FT,THS,EU15	: c	: c	: 	: c	: c	: c	: 	: c	: c	: bc
H51,CFAM,FT,THS,EU27	: c	: c	: 	: c	: c	: c	: 	: c	: c	: bc
H51,CFAM,FT,THS,EU28	: c	: c	: 	: c	: c	: c	: 	: c	: c	: bc
H51,CFAM,FT,THS,IE	: bc	: 	: 	: 	: 	: 	: 	: c	: c	: 
H51,CFAM,FT,THS,IT	: 	: 	: 	: 	: 	: 	: 	: 	: c	: bc
H51,CFAM,FT,THS,LU	: 	: c	: 	: 	: 	: 	: 	: 	: bc	: 
H51,CFAM,FT,THS,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: bc
H51,CFAM,PT,THS,DE	: 	: 	: c	: c	: 	: 	: bc	: bc	: c	: bc
H51,CFAM,PT,THS,EA17	: 	: c	: c	: u	: 	: 	: c	: c	: u	: bc
H51,CFAM,PT,THS,EA18	: 	: c	: c	: u	: 	: 	: c	: c	: u	: bc
H51,CFAM,PT,THS,EA19	: 	: c	: c	: u	: 	: 	: c	: c	: u	: bc
H51,CFAM,PT,THS,EU15	: 	: c	: c	: u	: c	: c	: c	: c	: u	: bc
H51,CFAM,PT,THS,EU27	: 	: c	: c	: u	: c	: c	: c	: c	: u	: bc
H51,CFAM,PT,THS,EU28	: 	: c	: c	: u	: c	: c	: c	: c	: u	: bc
H51,CFAM,PT,THS,IE	: 	: 	: c	: c	: 	: 	: 	: c	: c	: 
H51,CFAM,PT,THS,NL	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 
H51,CFAM,PT,THS,UK	: 	: 	: 	: 	: c	: c	: 	: 	: 	: bc
H51,CFAM,TOTAL,THS,CZ	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,CFAM,TOTAL,THS,DE	: 	: 	: c	: c	: c	: c	: bc	: bc	: c	: bc
H51,CFAM,TOTAL,THS,EA17	: c	: c	: c	: u	: c	: c	: c	: c	: u	: bc
H51,CFAM,TOTAL,THS,EA18	: c	: c	: c	: u	: c	: c	: c	: c	: u	: bc
H51,CFAM,TOTAL,THS,EA19	: c	: c	: c	: u	: c	: c	: c	: c	: u	: bc
H51,CFAM,TOTAL,THS,EU15	: c	: c	: c	: u	: u	: c	: c	: c	: u	: bu
H51,CFAM,TOTAL,THS,EU27	: c	: c	: c	: u	: u	: u	: c	: c	: u	: bu
H51,CFAM,TOTAL,THS,EU28	: c	: c	: c	: u	: u	: u	: c	: c	: u	: bu
H51,CFAM,TOTAL,THS,IE	: bc	: 	: c	: c	: 	: 	: 	: c	: u	: 
H51,CFAM,TOTAL,THS,IT	: 	: 	: 	: 	: 	: 	: 	: 	: c	: bc
H51,CFAM,TOTAL,THS,LU	: 	: c	: 	: 	: 	: 	: 	: 	: bc	: 
H51,CFAM,TOTAL,THS,NL	: 	: c	: 	: 	: 	: 	: 	: 	: 	: bc
H51,CFAM,TOTAL,THS,UK	: 	: 	: 	: 	: c	: c	: 	: 	: 	: bc
H51,EMP,FT,THS,AT	5.4 u	5.3 u	5.8 u	6.4 	7.0 	6.7 	7.1 	6.2 	7.3 	6.7 b
H51,EMP,FT,THS,BE	9.7 b	10.1 	8.6 	7.9 	7.4 	9.7 	8.5 b	9.5 	7.1 	8.8 b
H51,EMP,FT,THS,BG	: u	: u	: u	: u	3.3 u	: u	: bu	: bu	: u	: bu
H51,EMP,FT,THS,CH	8.0 	9.4 	6.5 	6.7 	6.0 	6.1 	6.8 	6.7 b	5.0 u	3.8 bu
H51,EMP,FT,THS,CY	: u	: u	: u	1.3 u	1.6 	1.1 u	1.8 	1.4 u	1.5 b	2.0 b
H51,EMP,FT,THS,CZ	7.7 	6.0 	3.5 	7.1 	8.2 	6.3 	11.5 b	11.1 	8.9 	9.2 b
H51,EMP,FT,THS,DE	58.8 	58.0 	59.6 	58.9 	60.9 	70.6 	63.1 b	68.8 b	65.2 	64.9 b
H51,EMP,FT,THS,DK	4.1 b	4.0 b	5.1 	5.4 	5.3 	6.7 	6.3 	4.9 	3.4 u	5.4 b
H51,EMP,FT,THS,EA17	238.1 	240.5 	254.4 	259.0 	254.9 	276.0 	276.9 	279.0 	280.3 	298.8 b
H51,EMP,FT,THS,EA18	240.5 	242.9 	255.8 	260.5 	256.1 	278.5 	279.5 	281.6 	282.4 	300.0 b
H51,EMP,FT,THS,EA19	241.2 	243.2 	256.3 	261.3 	256.4 	278.9 	279.9 	281.9 	282.8 	300.5 b
H51,EMP,FT,THS,EE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,EMP,FT,THS,EL	7.6 	7.9 	8.9 	8.1 	7.0 	8.3 	8.6 	7.0 	6.1 b	6.5 b
H51,EMP,FT,THS,ES	36.5 	32.8 	34.9 	39.1 	36.9 	34.1 	40.6 	46.1 	41.7 	47.2 b
H51,EMP,FT,THS,EU15	301.9 	301.1 	311.8 	320.3 	306.1 	334.8 	340.0 	336.0 	343.0 	346.3 b
H51,EMP,FT,THS,EU27	344.2 	340.0 	347.7 	361.5 	344.9 	374.5 	386.4 	379.2 	384.2 	385.9 b
H51,EMP,FT,THS,EU28	345.2 	340.1 	347.7 	362.5 	345.7 	374.6 	386.9 	379.9 	384.7 	386.5 b
H51,EMP,FT,THS,FI	5.5 	4.5 	4.5 	4.8 	5.5 	4.4 	4.6 	5.6 	6.9 	8.4 b
