nace_r2,age,wstatus,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
H51,Y15-24,CFAM,THS,EA17	: 	: 	: 	: 	: 	: 	: 	: 	: c	: bc
H51,Y15-24,CFAM,THS,EA18	: 	: 	: 	: 	: 	: 	: 	: 	: c	: bc
H51,Y15-24,CFAM,THS,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: c	: bc
H51,Y15-24,CFAM,THS,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: c	: bc
H51,Y15-24,CFAM,THS,EU27	: 	: 	: 	: 	: 	: 	: 	: 	: c	: bc
H51,Y15-24,CFAM,THS,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: c	: bc
H51,Y15-24,CFAM,THS,IT	: 	: 	: 	: 	: 	: 	: 	: 	: c	: bc
H51,Y15-24,EMP,THS,AT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,Y15-24,EMP,THS,BE	: bu	: u	: u	: u	: u	: u	: bu	: u	: u	: bu
H51,Y15-24,EMP,THS,BG	: c	: c	: c	: c	: u	: c	: bc	: bu	: u	: bc
H51,Y15-24,EMP,THS,CH	1.3 u	1.6 u	: u	: u	: u	: u	: u	1.7 bu	: c	: bc
H51,Y15-24,EMP,THS,CY	: c	: c	: 	: 	: c	: c	: u	: c	: bu	: bu
H51,Y15-24,EMP,THS,CZ	: u	: c	0.5 u	: c	0.6 u	0.8 u	0.6 bu	1.0 u	: u	: bu
H51,Y15-24,EMP,THS,DE	6.5 	: u	: u	: u	: u	6.2 	5.4 b	6.1 b	5.5 	5.5 b
H51,Y15-24,EMP,THS,DK	: bu	: bc	: u	: u	: u	: c	: u	: c	: c	: bu
H51,Y15-24,EMP,THS,EA17	18.6 	17.0 	14.2 	11.5 	12.6 	15.9 	18.0 	16.1 	18.2 	22.3 b
H51,Y15-24,EMP,THS,EA18	18.6 	17.0 	14.3 	11.7 	12.8 	16.5 	19.2 	17.0 	18.2 	22.6 b
H51,Y15-24,EMP,THS,EA19	18.9 	17.3 	14.3 	11.7 	12.9 	16.6 	19.2 	17.0 	18.2 	22.6 b
H51,Y15-24,EMP,THS,EE	: c	: c	: c	: 	: c	: 	: c	: 	: c	: bc
