nace_r2,wstatus,isced11,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
H51,CFAM,ED0-2,THS,DE	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 
H51,CFAM,ED0-2,THS,EA17	: 	: c	: c	: 	: 	: 	: 	: c	: u	: 
H51,CFAM,ED0-2,THS,EA18	: 	: c	: c	: 	: 	: 	: 	: c	: u	: 
H51,CFAM,ED0-2,THS,EA19	: 	: c	: c	: 	: 	: 	: 	: c	: u	: 
H51,CFAM,ED0-2,THS,EU15	: 	: c	: c	: 	: 	: 	: 	: c	: u	: 
H51,CFAM,ED0-2,THS,EU27	: 	: c	: c	: 	: 	: 	: 	: c	: u	: 
H51,CFAM,ED0-2,THS,EU28	: 	: c	: c	: 	: 	: 	: 	: c	: u	: 
H51,CFAM,ED0-2,THS,IE	: 	: 	: 	: 	: 	: 	: 	: c	: c	: 
H51,CFAM,ED0-2,THS,IT	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 
H51,CFAM,ED0-2,THS,LU	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 
H51,CFAM,ED3_4,THS,DE	: 	: 	: 	: bc	: c	: c	: bc	: bc	: 	: bc
H51,CFAM,ED3_4,THS,EA17	: c	: c	: 	: bc	: c	: c	: c	: c	: 	: bc
H51,CFAM,ED3_4,THS,EA18	: c	: c	: 	: bc	: c	: c	: c	: c	: 	: bc
H51,CFAM,ED3_4,THS,EA19	: c	: c	: 	: bc	: c	: c	: c	: c	: 	: bc
H51,CFAM,ED3_4,THS,EU15	: c	: c	: 	: bc	: c	: c	: c	: c	: 	: bc
H51,CFAM,ED3_4,THS,EU27	: c	: c	: 	: bc	: c	: c	: c	: c	: 	: bc
H51,CFAM,ED3_4,THS,EU28	: c	: c	: 	: bc	: c	: c	: c	: c	: 	: bc
H51,CFAM,ED3_4,THS,IE	: bc	: 	: 	: 	: 	: 	: 	: 	: 	: 
H51,CFAM,ED3_4,THS,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: bc
H51,CFAM,ED3_4,THS,NL	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 
H51,CFAM,ED5-8,THS,CZ	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,CFAM,ED5-8,THS,DE	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 
H51,CFAM,ED5-8,THS,EA17	: c	: 	: c	: bc	: 	: 	: 	: 	: c	: bc
H51,CFAM,ED5-8,THS,EA18	: c	: 	: c	: bc	: 	: 	: 	: 	: c	: bc
H51,CFAM,ED5-8,THS,EA19	: c	: 	: c	: bc	: 	: 	: 	: 	: c	: bc
H51,CFAM,ED5-8,THS,EU15	: c	: 	: c	: bc	: c	: c	: 	: 	: c	: bc
H51,CFAM,ED5-8,THS,EU27	: c	: 	: c	: bc	: c	: c	: 	: 	: c	: bc
H51,CFAM,ED5-8,THS,EU28	: c	: 	: c	: bc	: c	: c	: 	: 	: c	: bc
H51,CFAM,ED5-8,THS,IE	: bc	: 	: c	: bc	: 	: 	: 	: 	: c	: 
H51,CFAM,ED5-8,THS,LU	: 	: 	: 	: 	: 	: 	: 	: 	: bc	: 
H51,CFAM,ED5-8,THS,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: bc
H51,CFAM,ED5-8,THS,UK	: 	: 	: 	: 	: c	: c	: 	: 	: 	: bc
H51,CFAM,NRP,THS,EA17	: 	: 	: 	: bc	: 	: 	: 	: 	: 	: 
H51,CFAM,NRP,THS,EA18	: 	: 	: 	: bc	: 	: 	: 	: 	: 	: 
H51,CFAM,NRP,THS,EA19	: 	: 	: 	: bc	: 	: 	: 	: 	: 	: 
H51,CFAM,NRP,THS,EU15	: 	: 	: 	: bc	: 	: 	: 	: 	: 	: 
H51,CFAM,NRP,THS,EU27	: 	: 	: 	: bc	: 	: 	: 	: 	: 	: 
H51,CFAM,NRP,THS,EU28	: 	: 	: 	: bc	: 	: 	: 	: 	: 	: 
H51,CFAM,NRP,THS,IE	: 	: 	: 	: bc	: 	: 	: 	: 	: 	: 
H51,CFAM,TOTAL,THS,CZ	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,CFAM,TOTAL,THS,DE	: 	: 	: c	: c	: c	: c	: bc	: bc	: c	: bc
H51,CFAM,TOTAL,THS,EA17	: c	: c	: c	: u	: c	: c	: c	: c	: u	: bc
H51,CFAM,TOTAL,THS,EA18	: c	: c	: c	: u	: c	: c	: c	: c	: u	: bc
H51,CFAM,TOTAL,THS,EA19	: c	: c	: c	: u	: c	: c	: c	: c	: u	: bc
H51,CFAM,TOTAL,THS,EU15	: c	: c	: c	: u	: u	: c	: c	: c	: u	: bu
H51,CFAM,TOTAL,THS,EU27	: c	: c	: c	: u	: u	: u	: c	: c	: u	: bu
H51,CFAM,TOTAL,THS,EU28	: c	: c	: c	: u	: u	: u	: c	: c	: u	: bu
H51,CFAM,TOTAL,THS,IE	: bc	: 	: c	: c	: 	: 	: 	: c	: u	: 
H51,CFAM,TOTAL,THS,IT	: 	: 	: 	: 	: 	: 	: 	: 	: c	: bc
H51,CFAM,TOTAL,THS,LU	: 	: c	: 	: 	: 	: 	: 	: 	: bc	: 
H51,CFAM,TOTAL,THS,NL	: 	: c	: 	: 	: 	: 	: 	: 	: 	: bc
H51,CFAM,TOTAL,THS,UK	: 	: 	: 	: 	: c	: c	: 	: 	: 	: bc
H51,EMP,ED0-2,THS,AT	: c	: 	: c	: bc	: c	: u	: u	: c	: u	: bu
H51,EMP,ED0-2,THS,BE	2.8 bu	2.0 u	: u	2.0 bu	: u	: u	: bu	: u	: u	: bu
H51,EMP,ED0-2,THS,BG	: c	: 	: 	: 	: 	: 	: 	: 	: u	: 
H51,EMP,ED0-2,THS,CH	: u	: u	: u	: bu	: c	: u	: u	: bc	: u	: bu
H51,EMP,ED0-2,THS,CY	: 	: 	: 	: 	: 	: 	: c	: u	: bc	: bc
H51,EMP,ED0-2,THS,CZ	: 	: 	: 	: 	: 	: 	: bc	: c	: 	: bu
H51,EMP,ED0-2,THS,DE	: u	: u	: u	: bu	: u	5.9 	: bu	5.4 b	: u	5.2 b
H51,EMP,ED0-2,THS,DK	: bu	: bu	: u	: bu	: u	: u	: u	: u	: u	2.2 bu
H51,EMP,ED0-2,THS,EA17	24.1 	24.6 	26.1 	23.6 b	23.5 	30.6 	32.4 	30.4 	29.9 	37.2 b
H51,EMP,ED0-2,THS,EA18	24.1 	24.6 	26.1 	23.6 b	23.6 	30.6 	32.4 	30.5 	30.0 	37.2 b
H51,EMP,ED0-2,THS,EA19	24.1 	24.6 	26.1 	23.6 b	23.6 	30.6 	32.4 	30.5 	30.0 	37.2 b
H51,EMP,ED0-2,THS,EL	: u	: u	1.9 u	: bu	: u	1.7 u	1.7 u	1.3 u	: bu	: bu
H51,EMP,ED0-2,THS,ES	4.7 u	3.3 u	4.4 u	3.2 bu	5.5 	5.7 	6.2 	5.9 	3.5 u	8.5 b
H51,EMP,ED0-2,THS,EU15	30.0 	33.5 	34.3 	31.8 b	30.8 	38.6 	38.3 	35.4 	37.7 	46.5 b
H51,EMP,ED0-2,THS,EU27	31.0 	34.4 	35.5 	32.4 b	31.5 	39.2 	39.8 	37.2 	39.2 	48.6 b
H51,EMP,ED0-2,THS,EU28	31.0 	34.4 	35.5 	32.4 b	31.5 	39.2 	39.8 	37.2 	39.2 	48.6 b
H51,EMP,ED0-2,THS,FI	: u	: 	: c	: bu	: u	: 	: c	: u	: u	: bu
H51,EMP,ED0-2,THS,FR	4.4 u	5.6 u	7.9 u	4.6 bu	4.7 bu	7.0 u	7.3 u	5.6 u	6.6 u	8.4 bu
H51,EMP,ED0-2,THS,HU	: u	: c	: u	: bc	: 	: 	: c	: u	: u	: bc
H51,EMP,ED0-2,THS,IE	: bu	: u	: u	: bu	: u	: u	: u	: u	: u	: bu
H51,EMP,ED0-2,THS,IS	: u	: u	: u	: bu	: u	: u	: u	: u	: u	: bu
H51,EMP,ED0-2,THS,IT	2.5 	2.7 	1.9 u	3.5 b	3.2 	3.0 	3.1 	2.6 	3.2 	4.0 b
H51,EMP,ED0-2,THS,LU	: u	: u	0.6 bu	: bu	: u	: u	: u	: u	0.5 bu	0.9 bu
H51,EMP,ED0-2,THS,LV	: 	: 	: 	: 	: c	: 	: 	: c	: c	: 
H51,EMP,ED0-2,THS,MK	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,EMP,ED0-2,THS,MT	: u	0.4 u	0.4 u	: bu	0.4 u	0.4 u	0.4 bu	: u	0.4 u	0.6 bu
H51,EMP,ED0-2,THS,NL	2.3 u	4.2 	2.5 	1.8 bu	2.2 bu	3.0 	4.2 b	4.1 b	4.2 	3.5 b
H51,EMP,ED0-2,THS,NO	0.8 	0.9 u	: u	: bu	0.9 u	0.7 u	0.6 u	: u	: u	: bu
H51,EMP,ED0-2,THS,PT	: u	: u	: u	: bu	: u	: u	: bu	: u	: u	: bu
H51,EMP,ED0-2,THS,RO	: u	: u	: u	: bu	: u	: u	: u	: bu	: u	: bu
H51,EMP,ED0-2,THS,SE	: c	: u	: c	: bu	: c	: u	: u	: u	: u	: bu
H51,EMP,ED0-2,THS,SI	: c	: u	: 	: bc	: c	: c	: 	: u	: u	: 
H51,EMP,ED0-2,THS,SK	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,EMP,ED0-2,THS,TR	4.1 	3.5 	4.4 	2.7 b	2.9 	2.7 	2.5 	4.0 	1.8 u	: 
H51,EMP,ED0-2,THS,UK	5.1 u	8.6 u	7.0 u	6.9 bu	6.5 u	6.6 u	5.0 bu	4.4 bu	7.4 u	7.3 bu
H51,EMP,ED3_4,THS,AT	3.6 u	3.7 u	3.9 u	3.8 bu	6.7 	7.1 	8.5 	7.5 	8.7 	7.4 b
H51,EMP,ED3_4,THS,BE	4.5 bu	5.3 	4.0 u	3.0 bu	4.5 u	6.5 	5.2 b	4.0 u	4.0 u	4.3 bu
H51,EMP,ED3_4,THS,BG	: u	: u	: u	: bu	: u	: u	: bu	: bu	: u	: bu
H51,EMP,ED3_4,THS,CH	5.1 	5.7 	4.0 u	3.2 bu	3.1 u	4.3 u	4.8 u	7.0 b	4.2 u	3.0 bu
H51,EMP,ED3_4,THS,CY	: c	: c	: u	: bu	: u	: u	: u	: u	0.7 bu	0.9 bu
H51,EMP,ED3_4,THS,CZ	4.0 	4.0 	2.9 u	4.2 b	6.0 	4.8 	9.0 b	7.6 	7.1 	7.1 b
H51,EMP,ED3_4,THS,DE	49.5 	50.3 	48.5 	48.1 b	53.5 	60.9 	55.4 b	57.6 b	58.7 	52.9 b
H51,EMP,ED3_4,THS,DK	3.2 bu	3.3 bu	3.6 u	4.7 b	3.7 u	3.8 u	4.4 	3.9 u	3.2 u	3.5 bu
H51,EMP,ED3_4,THS,EA17	146.0 	141.0 	142.8 	150.1 b	160.2 	173.7 	176.9 	181.2 	177.5 	178.2 b
H51,EMP,ED3_4,THS,EA18	146.3 	141.3 	143.1 	150.8 b	160.3 	174.4 	178.4 	182.5 	178.8 	178.8 b
H51,EMP,ED3_4,THS,EA19	146.6 	141.7 	143.2 	151.1 b	160.4 	174.5 	178.4 	182.6 	178.9 	179.1 b
H51,EMP,ED3_4,THS,EE	: c	: u	: c	: 	: c	: 	: c	: u	: u	: bu
H51,EMP,ED3_4,THS,EL	4.2 	4.1 	2.4 u	4.0 b	4.3 	4.7 	4.4 	2.9 u	3.3 bu	3.7 b
H51,EMP,ED3_4,THS,ES	13.6 	10.2 	12.0 	14.3 b	12.3 	12.4 	13.9 	18.2 	17.7 	17.0 b
H51,EMP,ED3_4,THS,EU15	183.6 	179.6 	182.7 	188.6 b	194.7 	210.5 	218.1 	219.5 	220.4 	206.9 b
H51,EMP,ED3_4,THS,EU27	205.1 	197.3 	196.2 	209.5 b	216.4 	231.0 	244.7 	245.2 	246.1 	230.0 b
H51,EMP,ED3_4,THS,EU28	206.0 	197.3 	196.2 	210.5 b	217.2 	231.1 	244.7 	245.6 	246.5 	230.5 b
H51,EMP,ED3_4,THS,FI	3.0 u	2.9 u	2.9 u	3.2 bu	3.6 u	2.8 u	2.6 u	3.3 u	3.9 u	5.8 b
H51,EMP,ED3_4,THS,FR	26.2 	26.2 	29.8 	28.9 b	30.6 b	33.8 	34.2 	34.2 	27.8 	33.2 b
H51,EMP,ED3_4,THS,HR	: u	: 	: 	: bu	: u	: c	: 	: bc	: c	: bu
H51,EMP,ED3_4,THS,HU	3.1 u	3.5 u	3.2 u	3.5 bu	2.8 u	: u	3.3 u	3.3 u	: u	: bu
H51,EMP,ED3_4,THS,IE	3.2 b	3.2 	3.6 	4.0 b	3.2 	3.2 	3.7 	4.0 	3.2 	3.2 b
H51,EMP,ED3_4,THS,IS	1.8 	1.7 	1.0 	1.2 b	1.3 	1.1 	1.1 	1.2 	1.2 	1.3 b
H51,EMP,ED3_4,THS,IT	17.3 	14.4 	15.0 	20.1 b	21.8 	22.0 	23.8 	25.6 	24.0 	23.4 b
H51,EMP,ED3_4,THS,LT	: u	: u	: c	: bc	: c	: c	: 	: c	: u	: bu
H51,EMP,ED3_4,THS,LU	1.1 	1.3 	1.1 b	1.3 b	1.2 	1.1 	1.7 	1.2 	1.0 b	2.0 b
H51,EMP,ED3_4,THS,LV	: u	: u	: u	: bu	: c	: u	: u	: u	: u	: bu
H51,EMP,ED3_4,THS,ME	: u	: u	: u	: bu	: u	: u	: u	: 	: 	: 
H51,EMP,ED3_4,THS,MK	: c	: 	: c	: 	: c	: c	0.6 u	: 	: 	: 
H51,EMP,ED3_4,THS,MT	0.9 u	0.7 u	0.8 u	0.9 b	0.5 u	0.5 u	0.7 bu	0.8 	0.4 u	0.5 bu
H51,EMP,ED3_4,THS,NL	12.0 	11.5 	11.5 	12.4 b	12.9 b	13.6 	16.9 b	16.3 b	16.2 	14.5 b
H51,EMP,ED3_4,THS,NO	3.7 	3.9 	4.4 	4.6 b	5.3 	5.2 	3.8 	3.1 	4.3 	5.4 b
H51,EMP,ED3_4,THS,PL	6.2 u	: u	: u	: bu	: u	5.8 u	: u	: bu	: u	: bu
H51,EMP,ED3_4,THS,PT	5.4 	5.5 	5.4 	: bu	: u	: u	: bu	: u	5.0 	5.9 b
H51,EMP,ED3_4,THS,RO	: u	: u	: u	: bu	: u	: u	: u	: bu	: u	: bu
H51,EMP,ED3_4,THS,SE	5.0 	5.0 	4.0 	3.5 b	4.8 	4.7 	4.4 	4.6 	4.8 	5.3 b
H51,EMP,ED3_4,THS,SI	: 	: u	0.6 u	: bu	0.8 u	0.6 u	1.0 u	1.2 u	0.9 u	0.7 bu
H51,EMP,ED3_4,THS,SK	: u	: u	: u	: bu	: u	: u	: bu	: u	: bu	2.2 bu
H51,EMP,ED3_4,THS,TR	6.9 	7.3 	5.0 	4.9 b	12.9 	8.6 	9.1 	7.0 	10.1 	: 
H51,EMP,ED3_4,THS,UK	31.8 	32.7 	35.0 	33.3 b	29.0 	30.5 	36.0 b	33.8 b	38.8 	24.8 b
H51,EMP,ED5-8,THS,AT	4.3 u	4.5 u	3.9 u	4.1 bu	: u	: u	: u	: u	: u	: bu
H51,EMP,ED5-8,THS,BE	5.0 b	5.3 	5.4 	4.8 bu	4.7 u	4.6 u	5.1 b	6.9 	4.1 u	5.4 b
H51,EMP,ED5-8,THS,BG	: u	: u	: u	: bu	: u	: u	: bu	: bu	: u	: bu
H51,EMP,ED5-8,THS,CH	5.3 	6.2 	4.3 u	4.7 bu	4.9 u	5.1 	4.6 u	3.0 bu	2.7 u	2.4 bu
H51,EMP,ED5-8,THS,CY	: u	: u	: u	1.1 bu	1.2 u	0.6 u	1.3 u	0.9 u	0.9 bu	1.1 bu
H51,EMP,ED5-8,THS,CZ	4.1 	2.1 u	0.9 u	2.9 bu	2.5 u	1.8 u	2.7 bu	4.1 	2.2 u	2.0 bu
H51,EMP,ED5-8,THS,DE	24.7 	25.2 	24.8 	26.7 b	26.4 	28.4 	25.9 b	30.3 b	24.6 	23.5 b
H51,EMP,ED5-8,THS,DK	: bu	: bu	: u	: bu	: u	: u	: u	: u	: u	: bu
H51,EMP,ED5-8,THS,EA17	126.8 	133.5 	145.6 	144.9 b	133.1 	133.7 	136.9 	137.5 	134.4 	139.0 b
H51,EMP,ED5-8,THS,EA18	128.9 	135.6 	146.7 	145.8 b	134.1 	135.6 	138.1 	138.6 	135.2 	139.8 b
H51,EMP,ED5-8,THS,EA19	129.3 	135.6 	147.0 	146.2 b	134.3 	135.8 	138.5 	138.8 	135.4 	140.0 b
H51,EMP,ED5-8,THS,EE	: u	: u	: u	: bu	: u	: u	: c	: 	: c	: bu
H51,EMP,ED5-8,THS,EL	2.7 u	3.4 u	4.8 	3.3 bu	2.6 u	2.1 u	2.6 u	2.9 u	2.6 bu	2.2 bu
H51,EMP,ED5-8,THS,ES	23.7 	24.6 	24.8 	26.7 b	26.5 	20.8 	29.5 	29.9 	29.6 	27.7 b
H51,EMP,ED5-8,THS,EU15	158.3 	161.4 	171.3 	176.2 b	155.3 	159.6 	162.1 	161.2 	157.7 	158.1 b
H51,EMP,ED5-8,THS,EU27	180.2 	183.1 	194.1 	196.7 b	173.0 	178.7 	181.3 	179.0 	173.1 	173.5 b
H51,EMP,ED5-8,THS,EU28	180.2 	183.3 	194.1 	196.8 b	173.0 	178.7 	181.7 	179.4 	173.1 	174.0 b
H51,EMP,ED5-8,THS,FI	3.3 u	2.3 u	2.3 u	2.1 bu	2.0 u	2.4 u	2.9 u	2.7 u	2.9 u	2.7 bu
H51,EMP,ED5-8,THS,FR	36.5 	40.9 	49.1 	45.2 b	39.1 b	42.3 	43.0 	36.0 	34.5 	41.9 b
H51,EMP,ED5-8,THS,HR	: 	: c	: 	: bc	: 	: 	: c	: bc	: 	: bc
H51,EMP,ED5-8,THS,HU	: u	: u	: u	: bu	: u	: u	3.5 u	3.1 u	: u	: bu
H51,EMP,ED5-8,THS,IE	3.5 b	3.4 	5.3 	4.8 b	4.5 	4.4 	3.2 	3.7 	4.1 	3.2 b
H51,EMP,ED5-8,THS,IS	1.1 	1.0 	0.9 	0.6 b	0.5 	: u	: u	: u	: u	: bu
H51,EMP,ED5-8,THS,IT	6.2 	5.1 	7.4 	8.5 b	5.5 	7.7 	5.9 	4.0 	5.1 	9.1 b
H51,EMP,ED5-8,THS,LT	: u	: c	: u	: bu	: c	: u	: u	: c	: u	: bu
H51,EMP,ED5-8,THS,LU	: u	: u	: bu	0.7 bu	0.9 u	0.7 u	0.5 u	0.9 u	0.7 bu	: bu
H51,EMP,ED5-8,THS,LV	2.1 	2.1 	: u	: bu	: u	1.9 u	: u	: u	: u	: bu
H51,EMP,ED5-8,THS,ME	: u	: u	: u	: bu	: u	: c	: u	: 	: 	: 
H51,EMP,ED5-8,THS,MK	: 	: c	: c	: bc	: c	: c	: c	: 	: 	: 
H51,EMP,ED5-8,THS,MT	0.5 u	0.4 u	0.4 u	0.4 bu	: u	0.4 u	0.4 bu	0.4 u	0.4 u	: bu
H51,EMP,ED5-8,THS,NL	9.8 	8.4 	10.5 	11.5 b	11.5 b	13.6 	11.8 b	13.3 b	15.7 	15.8 b
H51,EMP,ED5-8,THS,NO	1.0 	1.6 	2.2 	2.5 b	2.4 	2.8 	2.2 	3.3 	3.0 	1.6 bu
H51,EMP,ED5-8,THS,PL	8.0 u	6.8 u	7.9 u	6.9 bu	: u	: u	: u	: bu	: u	: bu
H51,EMP,ED5-8,THS,PT	4.9 	6.5 	: u	: bu	: u	: u	: bu	: u	5.2 	: bu
H51,EMP,ED5-8,THS,RO	: u	: u	: u	: bu	: u	: u	: u	: bu	: u	: bu
H51,EMP,ED5-8,THS,SE	2.7 	2.9 	2.4 	2.2 b	1.7 u	1.9 u	1.7 u	2.1 	: u	: bu
H51,EMP,ED5-8,THS,SI	: u	: u	: u	: bu	0.6 u	0.6 u	0.5 u	0.6 u	0.9 u	0.9 bu
H51,EMP,ED5-8,THS,SK	: u	: u	: u	: bu	: u	: c	: bc	: u	: bu	: bu
H51,EMP,ED5-8,THS,TR	26.7 	25.1 	20.5 	14.4 b	25.5 	12.6 	12.5 	10.7 	14.3 	: 
H51,EMP,ED5-8,THS,UK	30.3 	27.8 	25.4 	30.8 b	22.4 	24.4 	24.4 b	23.1 b	24.4 	19.9 b
