nace_r2,emp_cont,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
H51,LTD,THS,AT	: u	: u	: u	: u	: u	: u	: c	: u	: u	: bu
H51,LTD,THS,BE	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,LTD,THS,BG	: c	: 	: 	: c	: u	: c	: 	: bc	: c	: bc
H51,LTD,THS,CH	: c	: u	: u	: u	1.2 u	: u	: u	1.1 bu	: u	: bu
H51,LTD,THS,CY	: u	: u	: u	: u	: u	: c	: c	: c	: bu	: bu
H51,LTD,THS,CZ	: c	0.6 u	: u	0.6 u	: u	: u	: bu	: u	0.6 u	: bu
H51,LTD,THS,DE	: u	: u	5.0 	: u	6.2 	6.8 	7.6 	7.5 b	8.6 	7.8 b
H51,LTD,THS,DK	: bu	: bu	: u	: u	: u	: u	: u	: c	: c	: bc
H51,LTD,THS,EA17	29.6 	29.0 	23.6 	25.5 	22.4 	28.3 	32.8 	27.6 	34.6 	35.5 b
H51,LTD,THS,EA18	29.6 	29.1 	23.6 	25.7 	22.4 	28.4 	32.8 	27.6 	34.7 	35.5 b
H51,LTD,THS,EA19	29.6 	29.1 	23.7 	25.7 	22.4 	28.4 	32.8 	27.6 	34.7 	35.5 b
H51,LTD,THS,EE	: 	: 	: 	: 	: 	: c	: c	: 	: 	: 
H51,LTD,THS,EL	: u	1.7 u	: u	: u	: u	1.6 u	1.6 u	: u	: bu	: bu
H51,LTD,THS,ES	7.7 	8.9 	5.4 	7.9 	4.8 u	5.9 	10.3 	7.9 	11.7 b	10.0 b
H51,LTD,THS,EU15	32.3 	32.5 	26.8 	27.2 	24.1 	31.3 	34.1 	29.8 	35.6 	36.7 b
H51,LTD,THS,EU27	37.3 	34.9 	28.3 	29.8 	26.6 	33.6 	36.2 	31.6 	37.2 	38.7 b
H51,LTD,THS,EU28	37.3 	34.9 	28.3 	29.9 	26.6 	33.6 	36.2 	31.6 	37.2 	39.0 b
H51,LTD,THS,FI	: c	: u	: u	: c	: u	: c	: c	: c	: u	: bu
H51,LTD,THS,FR	4.4 u	4.2 u	2.9 u	2.5 bu	2.4 u	: u	: u	: u	: u	: bu
H51,LTD,THS,HR	: 	: 	: 	: bc	: 	: 	: 	: 	: 	: bc
H51,LTD,THS,HU	: c	: c	: u	: c	: u	: c	: c	: u	: u	: 
H51,LTD,THS,IE	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,LTD,THS,IS	0.5 	: u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,LTD,THS,IT	4.0 	: u	2.3 u	2.7 	2.0 u	4.3 	4.1 	4.0 	4.3 	5.0 b
H51,LTD,THS,LT	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 
H51,LTD,THS,LU	: u	: u	: bu	: u	: u	: u	: c	: c	: bu	: bu
H51,LTD,THS,LV	: 	: c	: 	: c	: 	: c	: 	: c	: c	: 
H51,LTD,THS,ME	: c	: u	: c	: c	: c	: 	: c	: 	: 	: 
