nace_r2,duration,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
H51,NRP,MTH,DE	: 	: 	: 	: 	: 	: 	: 	: b	: 	: b
H51,NRP,MTH,EA17	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b
H51,NRP,MTH,EA18	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b
H51,NRP,MTH,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b
H51,NRP,MTH,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b
H51,NRP,MTH,EU27	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b
H51,NRP,MTH,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b
H51,NRP,MTH,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b
H51,NRP,MTH,IE	: b	: 	: 	: 	: 	: 	: 	: 	: 	: b
H51,NRP,MTH,LU	: 	: b	: 	: 	: 	: 	: 	: 	: b	: 
H51,NRP,MTH,NL	: 	: 	: 	: 	: b	: 	: 	: b	: 	: b
H51,NRP,THS,CH	: 	: 	: c	: 	: 	: c	: 	: 	: 	: 
H51,NRP,THS,DE	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu
H51,NRP,THS,DK	: 	: 	: c	: c	: 	: 	: 	: c	: 	: 
H51,NRP,THS,EA17	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,NRP,THS,EA18	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,NRP,THS,EA19	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,NRP,THS,EU15	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,NRP,THS,EU27	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,NRP,THS,EU28	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,NRP,THS,FI	: 	: 	: 	: 	: 	: 	: 	: 	: c	: bc
H51,NRP,THS,FR	: c	: 	: c	: 	: c	: 	: c	: c	: 	: 
H51,NRP,THS,IE	: bu	: u	: u	: u	: u	: u	: c	: c	: u	: bu
H51,NRP,THS,LU	: u	: bc	: 	: 	: 	: 	: 	: c	: bc	: 
H51,NRP,THS,NL	: u	: u	: u	: u	: bu	: c	: c	: bu	1.8 u	2.7 b
H51,NRP,THS,PL	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
H51,NRP,THS,SE	: 	: 	: 	: 	: 	: u	: c	: c	: u	: 
