worktime,wstatus,sex,nace_r2,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
FT,EMP,F,H51,THS,AT	: u	3.2 u	: u	: u	: u	: u	: u	: u	: u	: bu
FT,EMP,F,H51,THS,BE	: bu	2.2 u	2.1 u	: u	: u	2.5 u	: bu	2.4 u	2.1 u	2.7 bu
FT,EMP,F,H51,THS,BG	: u	: u	: u	: u	: u	: u	: bu	: bu	: u	: bu
FT,EMP,F,H51,THS,CH	2.2 u	4.0 u	1.9 u	2.4 u	2.0 u	1.3 u	1.5 u	2.6 bu	2.5 u	: bu
FT,EMP,F,H51,THS,CY	: u	: u	: u	0.7 u	0.6 u	: u	0.7 u	0.6 u	0.8 bu	1.1 bu
FT,EMP,F,H51,THS,CZ	2.1 u	2.1 u	1.4 u	2.0 u	2.1 u	1.8 u	2.9 bu	2.4 u	2.0 u	3.2 b
FT,EMP,F,H51,THS,DE	22.1 	19.4 	22.1 	22.0 	22.4 	27.1 	24.7 b	25.3 b	24.1 	22.0 b
FT,EMP,F,H51,THS,DK	: bu	: bu	: u	: u	: u	: u	: u	: u	: u	: bu
FT,EMP,F,H51,THS,EA17	82.0 	80.4 	89.2 	95.7 	81.0 	92.3 	93.8 	98.7 	97.4 	105.3 b
FT,EMP,F,H51,THS,EA18	82.8 	81.5 	90.0 	96.2 	81.3 	93.3 	95.0 	99.8 	98.1 	105.7 b
FT,EMP,F,H51,THS,EA19	83.4 	81.8 	90.2 	96.4 	81.5 	93.3 	95.1 	99.9 	98.4 	106.0 b
FT,EMP,F,H51,THS,EE	: u	: u	: u	: u	: u	: c	: c	: c	: u	: bu
FT,EMP,F,H51,THS,EL	3.9 	3.7 	3.6 	2.8 u	2.3 u	3.1 u	3.2 u	2.3 u	2.2 bu	2.8 bu
FT,EMP,F,H51,THS,ES	14.0 	12.9 	13.8 	16.6 	11.5 	13.7 	14.4 	19.2 	18.7 	18.4 b
FT,EMP,F,H51,THS,EU15	104.0 	101.8 	106.9 	113.7 	94.9 	110.8 	113.8 	118.7 	117.6 	124.2 b
FT,EMP,F,H51,THS,EU27	119.3 	116.1 	121.2 	129.1 	107.1 	125.0 	126.6 	132.6 	132.0 	140.1 b
FT,EMP,F,H51,THS,EU28	120.1 	116.1 	121.2 	129.6 	107.5 	125.0 	126.6 	132.6 	132.0 	140.3 b
FT,EMP,F,H51,THS,FI	2.1 u	2.2 u	2.6 u	: u	2.0 u	2.4 u	2.3 u	: u	3.0 u	3.5 bu
FT,EMP,F,H51,THS,FR	15.7 	17.2 	23.9 	25.8 b	18.3 	23.2 	26.4 	25.0 	18.3 	25.9 b
FT,EMP,F,H51,THS,HR	: c	: 	: 	: u	: c	: 	: 	: 	: 	: bc
FT,EMP,F,H51,THS,HU	: u	: u	2.9 u	: u	: u	: u	: u	: u	: u	: bu
