indic_bt,nace_r2,s_adj,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
TOVT,G-N_STS,CA,I10,AT	110.0 s	104.4 s	103.4 s	103.7 s	104.3 s	105.5 s	104.5 s	99.9 s	94.4 s	99.7 s	95.8 s	92.2 s	88.8 s	86.3 s	83.3 s	80.9 s	80.0 s	82.0 s	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,BE	123.6 ps	116.3 ps	115.2 ps	113.0 ps	111.4 ps	110.7 ps	108.6 ps	100.0 ps	90.6 ps	99.9 ps	99.5 ps	93.3 ps	86.3 ps	80.2 ps	74.1 ps	69.5 ps	65.7 ps	61.8 ps	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,BG	136.4 ps	129.3 ps	131.3 s	122.9 s	119.8 s	115.9 s	109.6 s	99.6 s	97.0 s	109.8 s	91.9 s	77.5 s	66.5 s	55.1 s	47.1 s	42.8 s	36.7 s	33.6 s	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,CY	102.2 ps	97.3 s	93.1 s	91.7 s	91.7 s	98.2 s	100.8 s	100.0 s	97.2 s	106.5 s	96.8 s	86.6 s	80.0 s	76.3 s	70.4 s	68.6 s	67.1 s	60.3 s	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,CZ	119.2 ps	111.7 ps	111.4 ps	107.9 ps	104.6 ps	104.2 ps	103.5 ps	100.0 ps	96.9 ps	108.3 ps	104.7 ps	95.6 ps	88.8 ps	83.3 ps	74.9 ps	69.8 ps	70.6 ps	64.6 ps	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,DE	120.1 ps	113.5 ps	111.7 ps	109.9 ps	108.1 ps	108.0 ps	106.2 ps	99.7 ps	94.7 ps	104.8 ps	100.2 ps	98.4 ps	93.8 ps	90.0 ps	87.8 ps	88.1 ps	89.8 ps	86.7 ps	87.9 ps	88.0 ps	87.7 ps	86.6 ps	87.6 ps	86.1 ps
TOVT,G-N_STS,CA,I10,DK	139.8 ps	130.4 ps	131.4 ps	124.6 ps	115.1 ps	114.7 ps	113.8 ps	99.8 ps	102.8 ps	118.1 ps	115.0 ps	108.8 ps	98.1 ps	87.1 ps	81.7 ps	81.0 ps	79.5 ps	76.5 ps	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,EA19	116.9 s	110.1 	107.4 	105.0 	103.6 	103.6 	103.8 	100.0 	96.5 	105.6 s	103.5 s	97.9 s	92.3 s	87.9 s	83.7 s	80.4 s	77.5 s	72.3 s	75.9 s	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,EE	152.4 s	139.5 s	135.2 s	139.4 s	140.1 s	128.7 s	116.4 s	100.0 s	93.0 s	117.4 s	121.5 s	98.7 s	83.4 s	68.2 s	60.1 s	55.3 s	49.8 s	41.6 s	34.7 s	35.3 s	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,EL	71.2 ps	68.9 s	69.8 s	71.2 s	70.5 ps	77.1 s	87.9 s	100.0 s	111.4 ps	126.5 s	120.8 s	111.4 s	102.0 s	96.9 s	88.6 s	83.6 s	77.0 s	71.0 s	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,ES	108.7 p	102.0 p	97.8 p	93.3 p	91.0 p	92.8 p	98.9 p	100.0 p	99.2 p	114.6 p	118.9 p	112.5 p	104.9 p	97.9 p	92.3 p	87.6 p	82.7 p	76.6 p	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,EU28	: 	115.9 	112.8 	111.7 	109.5 	106.4 	105.5 	100.0 	95.6 	104.5 s	99.2 s	92.5 s	85.9 s	80.4 s	76.3 s	73.3 s	70.8 s	69.6 s	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,FI	116.3 s	109.9 s	108.1 s	109.1 s	108.6 s	110.8 s	107.7 s	99.7 s	93.1 s	106.8 s	100.7 s	93.5 s	86.4 s	81.5 s	78.0 s	74.8 s	72.9 s	69.8 s	63.6 s	60.6 s	56.4 s	51.9 s	49.5 s	: 
TOVT,G-N_STS,CA,I10,FR	119.9 	113.9 	111.5 	109.9 	109.2 	108.8 	106.2 	100.0 	96.0 	100.6 	96.5 	91.6 	87.2 	84.2 	81.0 	78.8 	76.1 	71.3 	65.8 	66.60 s	62.71 s	60.54 s	59.38 s	: 
TOVT,G-N_STS,CA,I10,HR	115.1 ps	109.7 s	105.4 s	100.9 s	101.9 s	100.2 s	102.4 s	100.1 s	105.4 s	120.7 s	113.8 s	102.8 s	92.8 s	86.8 s	83.5 s	73.3 s	64.1 s	56.9 s	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,HU	151.7 ps	135.5 s	124.4 s	117.4 s	108.0 s	100.1 s	98.5 s	100.0 s	97.8 s	103.9 s	100.4 s	99.3 s	85.1 s	75.8 s	65.2 s	55.6 s	52.6 s	45.7 s	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,IE	: 	144.7 ps	137.5 ps	123.0 ps	117.1 ps	109.8 ps	106.2 ps	99.9 ps	92.8 ps	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,IT	101.3 s	98.3 s	97.3 s	96.1 s	96.0 s	98.5 s	101.9 s	100.0 s	96.2 s	104.4 s	103.6 s	100.9 s	96.7 s	94.9 s	93.2 s	91.6 s	90.0 s	87.3 s	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,LT	184.0 ps	164.2 ps	156.6 ps	151.0 ps	145.1 ps	135.6 ps	119.6 ps	100.0 ps	92.6 ps	126.1 ps	114.1 ps	91.6 ps	80.4 ps	64.9 s	56.5 s	50.2 s	44.8 s	41.2 s	39.5 s	39.1 s	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,LU	94.6 ps	92.0 ps	109.8 s	124.2 s	120.8 s	114.5 s	114.0 s	100.0 s	87.6 s	96.4 s	87.6 s	81.9 s	73.4 s	65.4 s	52.2 s	35.0 s	33.8 s	31.7 s	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,LV	162.0 	146.7 	142.0 	138.8 	138.9 	133.5 	119.5 	100.0 	90.1 	128.7 	128.1 	103.3 	82.2 	61.7 	51.8 	44.7 	39.8 	34.9 	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,MT	124.1 ps	121.2 ps	117.2 ps	108.9 s	107.0 s	105.6 s	102.5 s	100.0 s	95.9 s	102.3 s	101.9 s	96.0 s	91.2 s	92.8 s	90.9 s	90.6 s	89.2 s	89.8 s	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,NL	113.7 ps	107.8 ps	104.6 ps	101.7 ps	102.0 ps	104.6 ps	105.1 ps	100.0 ps	95.4 ps	104.1 ps	98.9 ps	91.2 ps	83.8 ps	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,PL	147.2 ps	133.6 s	127.4 s	123.2 s	121.1 s	116.5 s	110.4 s	100.0 s	93.3 s	94.7 s	86.4 s	76.4 s	68.5 s	63.5 s	56.0 s	53.5 s	49.8 s	48.7 s	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,PT	86.7 s	81.9 s	80.4 s	81.7 s	83.2 s	86.2 s	93.9 s	100.0 s	98.2 s	108.5 s	106.5 s	101.5 s	100.4 s	98.6 s	95.2 s	95.1 s	97.2 s	90.1 s	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,RO	158.2 ps	142.5 ps	130.2 s	122.3 s	119.9 s	115.7 s	108.9 s	100.5 s	99.3 s	115.7 s	96.6 s	77.1 s	61.3 s	52.6 s	39.9 s	28.5 s	22.4 s	16.4 s	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,SE	133.4 s	125.3 s	120.2 s	111.4 s	106.8 s	107.3 s	107.4 s	99.9 s	92.2 s	98.0 s	94.8 s	89.5 s	83.0 s	77.6 s	75.0 s	73.7 s	72.6 s	70.4 s	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,SI	124.5 s	113.1 s	108.0 s	105.8 s	103.9 s	104.3 s	104.5 s	99.4 s	96.1 s	115.4 s	104.0 s	91.9 s	83.0 s	76.8 s	72.1 s	65.7 s	58.4 s	51.7 s	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,SK	138.5 p	129.2 	124.4 	120.0 	114.9 	109.0 	103.3 	100.0 	99.1 	120.3 	107.4 	99.1 	86.5 	76.6 	70.8 	72.8 	72.0 	68.1 	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,TR	217.8 	186.7 	175.2 	160.1 	143.8 	131.2 	119.4 	100.0 	83.9 	85.5 	80.5 	72.5 	62.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I10,UK	: 	121.1 p	117.6 p	120.9 p	118.6 p	109.5 p	106.9 p	100.0 p	93.4 p	101.4 p	91.0 p	82.9 p	75.7 p	69.2 p	65.6 p	62.9 p	61.2 p	: 	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I15,AT	106.5 ps	101.1 ps	100.0 ps	100.2 ps	100.8 ps	102.0 ps	101.0 ps	96.6 ps	91.4 s	96.5 s	92.7 s	89.3 s	85.9 s	83.5 s	80.6 s	80.6 s	79.8 s	81.7 s	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I15,BE	107.1 ps	100.9 ps	100.0 ps	98.2 ps	97.1 ps	97.0 ps	95.0 ps	87.4 ps	79.2 ps	87.5 ps	87.2 ps	81.6 ps	75.5 ps	70.0 ps	64.6 ps	60.5 ps	57.4 ps	53.9 ps	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I15,BG	107.8 s	103.3 s	100.1 s	93.9 s	91.3 s	89.0 s	83.8 s	76.4 s	73.9 s	83.8 s	70.4 s	59.2 s	50.8 s	42.3 s	36.0 s	32.6 s	28.1 s	25.7 s	: 	: 	: 	: 	: 	: 
TOVT,G-N_STS,CA,I15,CY	112.7 s	104.8 s	100.0 s	96.9 s	96.9 s	103.0 s	105.5 s	104.8 s	102.5 s	112.1 s	101.0 s	90.3 s	83.8 s	79.8 s	73.8 s	71.6 s	70.1 s	62.6 s	: 	: 	: 	: 	: 	: 
