accommod,unit,nace_r2,terrtypo,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,NR,I551,CST_A,AT	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,BE	14209 	14756 	14948 	22023 	22132 	22486 
BEDPL,NR,I551,CST_A,BG	200388 	196260 	193855 	187538 	180838 	182036 
BEDPL,NR,I551,CST_A,CH	: 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,CY	79995 	78074 	79161 	85150 	79411 	78901 
BEDPL,NR,I551,CST_A,CZ	0 	0 	0 	0 	0 	0 b
BEDPL,NR,I551,CST_A,DE	204864 	200765 	197610 	192176 	191645 	190890 
BEDPL,NR,I551,CST_A,DK	85340 	82429 	81674 	82618 	79336 	79416 
BEDPL,NR,I551,CST_A,EA	4486752 e	4426824 	4427806 	: 	: 	: 
BEDPL,NR,I551,CST_A,EE	25827 	24457 	24493 	24462 	24107 	23981 
BEDPL,NR,I551,CST_A,EL	741385 	744064 	747452 	742193 	719141 	717430 
BEDPL,NR,I551,CST_A,ES	1352906 	1331789 	1337012 	1311617 	1306962 	1300258 
BEDPL,NR,I551,CST_A,EU27	5633061 e	5559226 	5555474 	5494048 e	5436496 	5287417 e
BEDPL,NR,I551,CST_A,EU28	5779729 e	5707788 	5702450 	5639711 e	5580798 	5423735 e
BEDPL,NR,I551,CST_A,FI	49047 	45847 	45466 	45341 	46103 	45898 
BEDPL,NR,I551,CST_A,FR	: 	279468 	277836 	270476 	266186 	258090 
BEDPL,NR,I551,CST_A,HR	146668 	148562 	146976 	145663 	144302 	140560 
BEDPL,NR,I551,CST_A,HU	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,IE	: 	92846 	92846 	93288 	94346 	: 
BEDPL,NR,I551,CST_A,IS	26956 	25616 	24868 	21894 	19916 	19222 
BEDPL,NR,I551,CST_A,IT	1212590 	1204430 	1205546 	1200297 	1191991 	1194128 
BEDPL,NR,I551,CST_A,LI	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,LT	6348 	6655 	6891 	6925 	6651 	6454 
BEDPL,NR,I551,CST_A,LU	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,LV	20625 	20005 	19281 	17970 	18122 	17386 
BEDPL,NR,I551,CST_A,ME	: 	29492 	: 	: 	: 	30530 
BEDPL,NR,I551,CST_A,MK	0 	0 	0 	0 	: 	: 
BEDPL,NR,I551,CST_A,MT	42973 	41684 	41283 	40222 	41626 	39264 
BEDPL,NR,I551,CST_A,NL	63734 	62530 	63055 	63910 	62918 	58877 
BEDPL,NR,I551,CST_A,NO	137006 	137416 	131786 	132306 	128786 	121241 
BEDPL,NR,I551,CST_A,PL	43610 	41608 	39035 	36597 	34514 	33986 
BEDPL,NR,I551,CST_A,PT	291377 	271032 	266454 	249678 	249678 	240428 
BEDPL,NR,I551,CST_A,RO	72412 	70150 	75021 	73141 	71816 	71636 
BEDPL,NR,I551,CST_A,RS	: 	: 	: 	0 	: 	: 
BEDPL,NR,I551,CST_A,SE	152043 	149439 	145057 	143240 	138671 	133257 
