accommod,unit,nace_r2,deg_urb,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,NR,I551,DEG1,AT	97680 	96783 	95570 	92889 	91248 	86037 
BEDPL,NR,I551,DEG1,BE	73556 	73386 	73234 	72181 	72481 	71549 
BEDPL,NR,I551,DEG1,BG	85568 	82443 	82620 	79028 	79758 	77646 
BEDPL,NR,I551,DEG1,CH	: 	65571 	64585 	63523 	62150 	61071 
BEDPL,NR,I551,DEG1,CY	12136 	12426 	12959 	12959 	13130 	13088 
BEDPL,NR,I551,DEG1,CZ	115657 	115828 	115525 	112916 	112769 	112042 b
BEDPL,NR,I551,DEG1,DE	720870 	700625 	688010 	670814 	653421 	638589 
BEDPL,NR,I551,DEG1,DK	46534 	45069 	45803 	46583 	44109 	44145 
BEDPL,NR,I551,DEG1,EA	3370750 e	3234149 	3192544 	: 	: 	: 
BEDPL,NR,I551,DEG1,EE	16951 	15675 	14936 	15318 	15218 	15126 
BEDPL,NR,I551,DEG1,EL	62008 	62080 	62709 	65293 	61862 	62243 
BEDPL,NR,I551,DEG1,ES	693169 	600846 	601024 	592306 	589601 	582711 
BEDPL,NR,I551,DEG1,EU27	5253269 e	5098573 	5051458 	5039530 e	4981519 	4553407 e
BEDPL,NR,I551,DEG1,EU28	5265802 e	5110495 	5062414 	5049843 e	4992053 	4558765 e
BEDPL,NR,I551,DEG1,FI	50428 	47866 	45421 	45474 	45984 	44507 
BEDPL,NR,I551,DEG1,FR	: 	664924 	656982 	645546 	636296 	630300 
BEDPL,NR,I551,DEG1,HR	12533 	11922 	10956 	10313 	10534 	10027 
BEDPL,NR,I551,DEG1,HU	66412 	65385 	62963 	61458 	62994 	61874 
BEDPL,NR,I551,DEG1,IE	: 	58288 	58288 	57939 	60629 	: 
BEDPL,NR,I551,DEG1,IS	11563 	10967 	10210 	8528 	8191 	7710 
BEDPL,NR,I551,DEG1,IT	539172 	540905 	534371 	528094 	525024 	529465 
BEDPL,NR,I551,DEG1,LI	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,DEG1,LT	15728 	15362 	15209 	15316 	14926 	14567 
BEDPL,NR,I551,DEG1,LU	7253 	7271 	6777 	6836 	6644 	6620 
BEDPL,NR,I551,DEG1,LV	15570 	14891 	14380 	13618 	13909 	13387 
BEDPL,NR,I551,DEG1,MK	6400 	5577 	5267 	: 	: 	: 
BEDPL,NR,I551,DEG1,MT	19745 	18995 	18731 	19167 	19179 	19205 
BEDPL,NR,I551,DEG1,NL	160361 	151313 	143857 	140164 	132256 	119417 
BEDPL,NR,I551,DEG1,NO	61125 	61947 	59811 	58700 	52304 	50641 
BEDPL,NR,I551,DEG1,PL	142894 	136403 	128968 	125815 	117098 	113283 
BEDPL,NR,I551,DEG1,PT	134489 	124168 	120294 	112407 	112407 	107157 
BEDPL,NR,I551,DEG1,RO	87363 	86298 	91862 	89133 	86138 	85930 
BEDPL,NR,I551,DEG1,SE	113082 	107989 	103210 	101303 	97150 	93142 
BEDPL,NR,I551,DEG1,SI	7483 	7163 	7157 	7066 	6876 	6786 
BEDPL,NR,I551,DEG1,SK	20939 	21182 	22635 	21053 	21558 	21229 
