accommod,unit,hotelsize,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,NR,100-249,BG	56696 	57358 	52990 	51406 	50108 	48810 
BEDPL,NR,100-249,CY	38888 	38475 	39434 	39434 	: 	: 
BEDPL,NR,100-249,CZ	46957 	46466 	46366 	46893 	47945 	45368 b
BEDPL,NR,100-249,DE	448025 	430131 	415599 	397284 	383891 	372462 
BEDPL,NR,100-249,EA	: u	: u	: u	: 	: 	: 
BEDPL,NR,100-249,EL	173130 	172860 	172816 	172711 	167903 	167392 
BEDPL,NR,100-249,ES	592766 	587898 	588136 	582484 	576269 	571216 
BEDPL,NR,100-249,EU27	: u	: u	: u	: u	: 	: 
BEDPL,NR,100-249,EU28	: u	: u	: u	: u	: 	: 
BEDPL,NR,100-249,HR	67460 	64100 	64521 	63378 	63147 	62743 
BEDPL,NR,100-249,HU	46287 	45441 	43408 	42977 	: 	: 
BEDPL,NR,100-249,IS	7059 	6367 	4322 	9364 	7630 	: 
BEDPL,NR,100-249,LT	8022 	7957 	7525 	7617 	7141 	7202 
BEDPL,NR,100-249,LV	7971 	7615 	7537 	: c	: 	7247 
BEDPL,NR,100-249,ME	12451 	: 	: 	: 	: 	: 
BEDPL,NR,100-249,MT	14636 	15282 	14945 	15561 	14630 	8174 
BEDPL,NR,100-249,NO	76408 	74814 	74081 	74746 	75464 	73697 
BEDPL,NR,100-249,PL	78285 	74702 	71753 	68459 	62751 	57716 
BEDPL,NR,100-249,RO	70552 	69352 	70082 	70390 	68957 	69265 
BEDPL,NR,100-249,SE	71832 	68387 	69610 	93872 	93611 	90522 
BEDPL,NR,100-249,UK	: 	525960 	317660 	: 	: 	: 
BEDPL,NR,100-249,XK	782 u	: 	: 	: 	: 	: 
BEDPL,NR,25-99,BG	47831 	49690 	49361 	48492 	45182 	41968 
BEDPL,NR,25-99,CY	21760 	21309 	21611 	22120 	: 	: 
BEDPL,NR,25-99,CZ	115591 	115633 	111829 	109819 	109723 	110645 b
BEDPL,NR,25-99,DE	693019 	681927 	680720 	677530 	676172 	677629 
BEDPL,NR,25-99,EA	: u	: u	: u	: 	: 	: 
BEDPL,NR,25-99,EL	339173 	339974 	341213 	340627 	331499 	330656 
BEDPL,NR,25-99,ES	498374 	490735 	495831 	490969 	490402 	488101 
BEDPL,NR,25-99,EU27	: u	: u	: u	: u	: 	: 
BEDPL,NR,25-99,EU28	: u	: u	: u	: u	: 	: 
BEDPL,NR,25-99,HR	31831 	31199 	29850 	29092 	30640 	29098 
BEDPL,NR,25-99,HU	67598 	68088 	66035 	64741 	: 	: 
BEDPL,NR,25-99,IS	15556 	14680 	15216 	10065 	9486 	: 
BEDPL,NR,25-99,IT	1215228 	1220225 	1223365 	1216013 	1219931 	1248849 
BEDPL,NR,25-99,LT	12963 	12632 	13072 	12960 	12654 	12687 
BEDPL,NR,25-99,LU	6070 	6147 	: 	: 	: 	: 
BEDPL,NR,25-99,LV	9602 	9523 	9713 	9085 	9045 	8261 
BEDPL,NR,25-99,ME	8632 	: 	: 	: 	: 	: 
BEDPL,NR,25-99,MT	7660 	7669 	7603 	7324 	7771 	2152 
BEDPL,NR,25-99,NO	56021 	56317 	57368 	60444 	61835 	66191 
BEDPL,NR,25-99,PL	165116 	157323 	139284 	135674 	128907 	124974 
BEDPL,NR,25-99,RO	81053 	78258 	83878 	77810 	76696 	73634 
BEDPL,NR,25-99,SE	47859 	47845 	48282 	81668 	82284 	81269 
BEDPL,NR,25-99,UK	: 	623739 	586449 	: 	: 	: 
BEDPL,NR,25-99,XK	3135 u	: 	: 	: 	: 	: 
BEDPL,NR,GE100,BG	238316 	224507 	220633 	213687 	208331 	211207 
BEDPL,NR,GE100,CY	56311 	55090 	56027 	55953 	: 	: 
BEDPL,NR,GE100,CZ	71584 	70006 	70092 	68547 	69648 	68397 b
BEDPL,NR,GE100,DE	612886 	590246 	573947 	556010 	540446 	528413 
BEDPL,NR,GE100,EA	: u	: u	: u	: 	: 	: 
BEDPL,NR,GE100,EL	314441 	313750 	314094 	312285 	301923 	300661 
BEDPL,NR,GE100,ES	1154303 	1141099 	1146443 	1123002 	1116320 	1111341 
BEDPL,NR,GE100,EU27	: u	: u	: u	: u	: 	: 
BEDPL,NR,GE100,EU28	: u	: u	: u	: u	: 	: 
BEDPL,NR,GE100,HR	119948 	122098 	122269 	121064 	119942 	116770 
BEDPL,NR,GE100,HU	69776 	68925 	67267 	66611 	: 	: 
