accommod,unit,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
BEDPL,NR,I551,AT	609393 	601945 	600342 	598742 	601483 	594841 	594357 	589293 	587899 	579758 	573726 	572514 	571377 	570785 	566274 	569306 	587305 	588213 	576602 	584889 	633601 	640199 	646125 	650020 	651003 	653586 	654127 	650559 
BEDPL,NR,I551,AT1	125688 	125267 	124284 	121519 	121351 	116471 	113475 	110466 	109775 	106421 	101716 	101533 	99153 	97271 	93818 	92652 	94253 	93431 	94745 	94176 	96999 	97329 	96777 	97015 	95721 	95711 	94226 	: 
BEDPL,NR,I551,AT11	14953 	15236 	15167 	15525 	15500 	15470 	15642 	15872 	15402 	15190 	14803 	14914 	14819 	14434 	13739 	12913 	13154 	12806 	13254 	12736 	13829 	13823 	13701 	13124 	12855 	12651 	12906 	: 
BEDPL,NR,I551,AT12	44383 	44103 	44058 	44024 	45392 	45612 	44928 	43252 	43462 	42226 	42499 	42866 	41742 	41155 	40330 	40160 	40853 	40630 	41324 	41231 	43328 	43871 	42944 	43550 	44196 	44156 	43099 	: 
BEDPL,NR,I551,AT13	66352 	65928 	65059 	61970 	60459 	55389 	52905 	51342 	50911 	49005 	44414 	43753 	42592 	41682 	39749 	39579 	40246 	39995 	40167 	40209 	39842 	39635 	40132 	40341 	38670 	38904 	38221 	: 
BEDPL,NR,I551,AT2	119022 	119081 	118538 	119965 	121459 	120960 	124158 	122042 	121529 	120384 	120687 	120332 	120834 	121778 	121841 	123546 	129228 	130163 	129603 	133771 	151465 	153534 	155486 	158219 	159734 	162098 	162665 	: 
BEDPL,NR,I551,AT21	60059 	60221 	61190 	61910 	63080 	63308 	66604 	64084 	64592 	64684 	65497 	65890 	66642 	68192 	68151 	70176 	74880 	76240 	77449 	80703 	96335 	99420 	101383 	103803 	104438 	106034 	106614 	: 
BEDPL,NR,I551,AT22	58963 	58860 	57348 	58055 	58379 	57652 	57554 	57958 	56937 	55700 	55190 	54442 	54192 	53586 	53690 	53370 	54348 	53923 	52154 	53068 	55130 	54114 	54103 	54416 	55296 	56064 	56051 	: 
BEDPL,NR,I551,AT3	364683 	357597 	357520 	357258 	358673 	357410 	356724 	356785 	356595 	352953 	351323 	350649 	351390 	351736 	350615 	353108 	363824 	364619 	352254 	356942 	385137 	389336 	393862 	394786 	395548 	395777 	397236 	: 
BEDPL,NR,I551,AT31	40721 	40252 	40864 	40596 	41070 	41587 	41846 	42423 	42395 	40939 	40013 	40262 	40265 	39608 	39606 	40228 	41699 	42121 	42727 	43081 	44397 	45463 	46387 	45091 	45246 	45636 	45758 	: 
BEDPL,NR,I551,AT32	105409 	104384 	103963 	103128 	103584 	102024 	102181 	101796 	101491 	100555 	98602 	98446 	98026 	97237 	96139 	95252 	98187 	97766 	93908 	93507 	102150 	101839 	104352 	105520 	105879 	105418 	106290 	: 
BEDPL,NR,I551,AT33	183961 	178318 	177954 	178336 	179326 	178853 	177710 	177533 	178559 	177386 	177791 	178068 	179082 	181513 	181209 	183209 	188951 	189592 	184378 	188295 	205099 	208535 	209234 	210442 	211298 	211466 	211357 	: 
BEDPL,NR,I551,AT34	34592 	34643 	34739 	35198 	34693 	34946 	34987 	35033 	34150 	34073 	34917 	33873 	34017 	33378 	33661 	34419 	34987 	35140 	31241 	32059 	33491 	33499 	33889 	33733 	33125 	33257 	33831 	: 
BEDPL,NR,I551,BE	129456 	129232 	129307 	127835 	128641 	128703 	130664 	128494 	126134 	125492 	124811 	123775 	120668 	122043 	122385 	123356 	121512 	119165 	119365 	116297 	117513 	117299 	114887 	108811 	108205 	101804 	86472 	93710 
BEDPL,NR,I551,BE1	36657 	37034 	36510 	36315 	36323 	34955 	33594 	31906 	30706 	31170 	30610 	31768 	31023 	31162 	31352 	31644 	31239 	29014 	29538 	28364 	28391 	28099 	26231 	: 	: 	: 	: 	: 
