accommod,unit,nace_r2,terrtypo,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,NR,I551,CST_A,AT	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,AT1	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,AT11	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,AT12	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,AT13	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,AT2	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,AT21	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,AT22	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,AT3	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,AT31	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,AT32	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,AT33	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,AT34	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,BE	14209 	14756 	14948 	22023 	22132 	22486 
BEDPL,NR,I551,CST_A,BE1	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,BE10	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,BE2	14209 	14756 	14948 	22023 	22132 	22486 
BEDPL,NR,I551,CST_A,BE21	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,BE22	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,BE23	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,BE24	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,BE25	14209 	14756 	14948 	22023 	22132 	22486 
BEDPL,NR,I551,CST_A,BE3	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,BE31	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,BE32	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,BE33	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,BE34	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,BE35	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,BG	200388 	196260 	193855 	187538 	180838 	182036 
BEDPL,NR,I551,CST_A,BG3	200388 	196260 	193855 	187538 	180838 	182036 
BEDPL,NR,I551,CST_A,BG31	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,BG32	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,BG33	90225 	84897 	84127 	81124 	82701 	78630 
BEDPL,NR,I551,CST_A,BG34	110163 	111363 	109728 	106414 	98137 	103406 
BEDPL,NR,I551,CST_A,BG4	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,BG41	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,BG42	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,CH	: 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,CH0	: 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,CH01	: 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,CH02	: 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,CH03	: 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,CH04	: 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,CH05	: 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,CH06	: 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,CH07	: 	0 	0 	0 	0 	0 
BEDPL,NR,I551,CST_A,CY	79995 	78074 	79161 	85150 	79411 	78901 
BEDPL,NR,I551,CST_A,CY0	79995 	78074 	79161 	85150 	79411 	78901 
BEDPL,NR,I551,CST_A,CY00	79995 	78074 	79161 	85150 	79411 	78901 
BEDPL,NR,I551,CST_A,CZ	0 	0 	0 	0 	0 	0 b
BEDPL,NR,I551,CST_A,CZ0	0 	0 	0 	0 	0 	0 b
BEDPL,NR,I551,CST_A,CZ01	0 	0 	0 	0 	0 	0 b
BEDPL,NR,I551,CST_A,CZ02	0 	0 	0 	0 	0 	0 b
BEDPL,NR,I551,CST_A,CZ03	0 	0 	0 	0 	0 	0 b
BEDPL,NR,I551,CST_A,CZ04	0 	0 	0 	0 	0 	0 b
BEDPL,NR,I551,CST_A,CZ05	0 	0 	0 	0 	0 	0 b
