accommod,unit,nace_r2,deg_urb,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,NR,I551,DEG1,AT	97680 	96783 	95570 	92889 	91248 	86037 
BEDPL,NR,I551,DEG1,AT1	66352 	65928 	65059 	61970 	60459 	55389 
BEDPL,NR,I551,DEG1,AT11	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,DEG1,AT12	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,DEG1,AT13	66352 	65928 	65059 	61970 	60459 	55389 
BEDPL,NR,I551,DEG1,AT2	8117 	7851 	7729 	8226 	7649 	7669 
BEDPL,NR,I551,DEG1,AT21	2069 	2094 	2139 	2192 	2190 	2248 
BEDPL,NR,I551,DEG1,AT22	6048 	5757 	5590 	6034 	5459 	5421 
BEDPL,NR,I551,DEG1,AT3	23211 	23004 	22782 	22693 	23140 	22979 
BEDPL,NR,I551,DEG1,AT31	4409 	4603 	4784 	4856 	5345 	5374 
BEDPL,NR,I551,DEG1,AT32	12331 	11820 	11429 	11465 	11331 	11235 
BEDPL,NR,I551,DEG1,AT33	6471 	6581 	6569 	6372 	6464 	6370 
BEDPL,NR,I551,DEG1,AT34	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,DEG1,BE	73556 	73386 	73234 	72181 	72481 	71549 
BEDPL,NR,I551,DEG1,BE1	36657 	37034 	36510 	36315 	36323 	34955 
BEDPL,NR,I551,DEG1,BE10	36657 	37034 	36510 	36315 	36323 	34955 
BEDPL,NR,I551,DEG1,BE2	31132 	30592 	31230 	29899 	30349 	30626 
BEDPL,NR,I551,DEG1,BE21	10147 	10148 	10236 	9816 	10088 	10341 
BEDPL,NR,I551,DEG1,BE22	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,DEG1,BE23	4933 	4800 	4786 	4451 	4438 	4410 
BEDPL,NR,I551,DEG1,BE24	2546 	2426 	2426 	2291 	2291 	2317 
BEDPL,NR,I551,DEG1,BE25	13506 	13218 	13782 	13341 	13532 	13558 
BEDPL,NR,I551,DEG1,BE3	5767 	5760 	5494 	5967 	5809 	5968 
BEDPL,NR,I551,DEG1,BE31	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,DEG1,BE32	2449 	2409 	2088 	2070 	1808 	1808 
BEDPL,NR,I551,DEG1,BE33	2477 	2477 	2508 	3015 	3175 	3229 
BEDPL,NR,I551,DEG1,BE34	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551,DEG1,BE35	841 	874 	898 	882 	826 	931 
BEDPL,NR,I551,DEG1,BG	85568 	82443 	82620 	79028 	79758 	77646 
BEDPL,NR,I551,DEG1,BG3	67172 	65757 	65590 	62205 	63581 	60945 
BEDPL,NR,I551,DEG1,BG31	1666 	1697 	1749 	1800 	1792 	1768 
BEDPL,NR,I551,DEG1,BG32	2669 	2770 	2745 	2517 	2713 	2709 
BEDPL,NR,I551,DEG1,BG33	57607 	55923 	55631 	52517 	53802 	51204 
BEDPL,NR,I551,DEG1,BG34	5230 	5367 	5465 	5371 	5274 	5264 
BEDPL,NR,I551,DEG1,BG4	18396 	16686 	17030 	16823 	16177 	16701 
BEDPL,NR,I551,DEG1,BG41	13828 	12041 	12579 	12358 	11776 	12107 
BEDPL,NR,I551,DEG1,BG42	4568 	4645 	4451 	4465 	4401 	4594 
BEDPL,NR,I551,DEG1,CH	: 	65571 	64585 	63523 	62150 	61071 
BEDPL,NR,I551,DEG1,CH0	: 	65571 	64585 	63523 	62150 	61071 
