c_resid,unit,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
FOR,NR,I551,AT	21338164 	20433963 	19627356 	18588441 	18163665 	17727876 	16972143 	16169935 	15520385 	16089508 	15348001 	14946795 	14541922 	14075856 	13748371 	13486750 	13278822 	13240302 	12754590 	12803345 	12328802 	12533359 	12464012 	12877518 	13031632 	13663780 	13615991 	13827347 
FOR,NR,I551,AT1	6163245 	5902585 	5726381 	5345007 	5076096 	4926620 	4684631 	4301645 	3990093 	4252386 	3942746 	3773761 	3627534 	3480914 	3271099 	3101560 	3134599 	3194695 	3111554 	3165166 	2966171 	2964172 	2855726 	2905596 	2785301 	2972530 	2876000 	3204853 
FOR,NR,I551,AT11	136376 	132801 	127628 	127637 	122161 	123695 	123391 	123783 	117581 	120692 	115295 	102618 	98807 	94891 	96379 	89697 	86996 	81043 	89892 	88297 	81744 	85703 	86496 	94369 	96157 	110956 	123048 	125425 
FOR,NR,I551,AT12	1006471 	888372 	856535 	794903 	767537 	783321 	765520 	736124 	750941 	843228 	848913 	813270 	803557 	771236 	719702 	664172 	653324 	644659 	650867 	646265 	619175 	621453 	600453 	640319 	677958 	674988 	703544 	706807 
FOR,NR,I551,AT13	5020398 	4881412 	4742218 	4422467 	4186398 	4019604 	3795720 	3441738 	3121571 	3288466 	2978538 	2857873 	2725170 	2614787 	2455018 	2347691 	2394279 	2468993 	2370795 	2430604 	2265252 	2257016 	2168777 	2170908 	2011186 	2186586 	2049408 	2372621 
FOR,NR,I551,AT2	2020571 	1930836 	1842957 	1809280 	1769458 	1754652 	1728100 	1661526 	1644166 	1686880 	1603612 	1526353 	1506542 	1452191 	1514814 	1458077 	1373054 	1317675 	1290770 	1334627 	1309539 	1307403 	1315910 	1374644 	1435792 	1526499 	1601922 	1615864 
FOR,NR,I551,AT21	1029933 	988072 	957799 	950419 	947545 	966182 	953623 	925293 	940208 	972614 	934547 	877340 	875439 	845814 	875975 	862553 	809936 	777747 	757427 	806075 	801275 	826331 	846977 	886443 	935568 	995543 	1030664 	1016174 
FOR,NR,I551,AT22	990638 	942764 	885158 	858861 	821913 	788470 	774477 	736233 	703958 	714266 	669065 	649013 	631103 	606377 	638839 	595524 	563118 	539928 	533343 	528552 	508264 	481072 	468933 	488201 	500224 	530956 	571258 	599690 
FOR,NR,I551,AT3	13154348 	12600542 	12058018 	11434154 	11318111 	11046604 	10559412 	10206764 	9886126 	10150242 	9801643 	9646681 	9407846 	9142751 	8962458 	8927113 	8771169 	8727932 	8352266 	8301519 	8053092 	8261784 	8292376 	8597278 	8810539 	9164751 	9138069 	9006630 
FOR,NR,I551,AT31	1045483 	954456 	910985 	845399 	830585 	852525 	804120 	763269 	753676 	787701 	777525 	764817 	750240 	744361 	709159 	696120 	715382 	701882 	692607 	702391 	672838 	692294 	702875 	726461 	744828 	748236 	765631 	731478 
FOR,NR,I551,AT32	3809512 	3582417 	3381839 	3224656 	3181890 	3082790 	2896142 	2799025 	2691037 	2805656 	2742544 	2732959 	2574855 	2472357 	2342856 	2304591 	2261326 	2227571 	2184160 	2137371 	2080547 	2141879 	2136714 	2272085 	2306651 	2406514 	2413020 	2460574 
FOR,NR,I551,AT33	6983145 	6773148 	6512000 	6148907 	6074920 	5907672 	5739374 	5556429 	5386114 	5495205 	5290829 	5188935 	5140441 	4998915 	4995675 	5039014 	4933417 	4932071 	4641139 	4633946 	4510605 	4616597 	4640217 	4792187 	4920319 	5124256 	5080563 	4985239 
FOR,NR,I551,AT34	1316208 	1290521 	1253194 	1215192 	1230716 	1203617 	1119776 	1088041 	1055299 	1061680 	990745 	959970 	942310 	927118 	914768 	887388 	861044 	866408 	834360 	827811 	789102 	811014 	812570 	806545 	838741 	885745 	878855 	829339 
FOR,NR,I551,BE	6312587 	5556519 	6439780 	: 	6227649 	6145711 	6076926 	5771650 	5449891 	5819853 	5713290 	5664462 	5409064 	5385214 	5261182 	5322521 	5117309 	5163137 	4982766 	4858778 	4710320 	4468853 	4137666 	3947000 	3719000 	3860519 	: 	: 
FOR,NR,I551,BE1	2509657 	2101146 	2533646 	: 	2449610 	2381603 	2334606 	2237638 	2146712 	2268127 	2178786 	2092904 	2050728 	2107778 	2139545 	2074249 	1956120 	2041343 	1949191 	1918402 	1992840 	1887853 	1707148 	: 	: 	: 	: 	: 
FOR,NR,I551,BE10	2509657 	2101146 	2533646 	: 	2449610 	2381603 	2334606 	2237638 	2146712 	2268127 	2178786 	2092904 	2050728 	2107778 	2139545 	2074249 	1956120 	2041343 	1949191 	1918402 	1992840 	1887853 	1707148 	: 	: 	: 	: 	: 
FOR,NR,I551,BE2	3008752 	2735746 	3106653 	: 	2969301 	2955043 	2930902 	2765467 	2581340 	2776867 	2757317 	2823238 	2659867 	2603444 	2497927 	2586003 	2528239 	2505486 	2453739 	2394119 	2193238 	2069326 	1942947 	: 	: 	: 	: 	: 
FOR,NR,I551,BE21	750797 	695680 	791490 	: 	776389 	827205 	809061 	761874 	722240 	786131 	762074 	746833 	693495 	711695 	685786 	701483 	710174 	696718 	703828 	689560 	600732 	578860 	528038 	482789 	: 	: 	: 	: 
FOR,NR,I551,BE22	148208 	129685 	115896 	: 	111809 	122258 	138035 	138951 	128406 	134448 	131378 	126140 	119807 	115534 	113952 	121751 	131578 	138559 	130004 	126400 	116928 	115238 	101968 	100956 	: 	: 	: 	: 
