unit,partner,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
NR,AFR,I551,AT	66466 	68031 	64735 	56109 	53533 	51561 	47141 	40676 	34631 	35561 	36005 	38006 	38204 	28748 	24364 	23080 	32418 	31804 	28825 	28764 	22615 	21783 	22245 	21114 	22713 	22445 	17603 	19128 
NR,AFR,I551,BE	69946 	64877 	67545 	69579 	67517 	64241 	63434 	63541 	64185 	63753 	64953 	65548 	62133 	61730 	63083 	60846 	65763 	64579 	57458 	60868 	61326 	57873 	52145 	50925 	51930 	62381 	: 	: 
NR,AFR,I551,BG	10428 	10837 	4343 	4373 	2668 	3841 	808 	674 	796 	1379 	: 	: 	: 	: 	: 	12210 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551,CH	: 	87221 	91948 	88132 	91393 	93506 	85530 	89175 	91467 	100699 	97259 	95349 	87555 	: 	: 	85520 	90007 	87141 	83112 	82431 	81015 	79804 	83102 	85823 	104361 	106446 	113670 	131108 
NR,AFR,I551,CY	15363 	15853 	12595 	12263 	10632 	9977 	8701 	9383 	5932 	5255 	5291 	5497 	5228 	: 	: 	: 	5421 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551,CZ	42985 	41069 	40582 	41021 	36008 	34774 	28423 	24290 	18592 	21335 	18153 	17336 	17258 	13999 	12704 	11316 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551,DE	248202 	240027 	252381 	231521 	221892 	211790 	181208 	180629 	144472 	145274 	146849 	151826 	129304 	130593 	128153 	127437 	131641 	142250 	125215 	122102 	119005 	107588 	108123 	105066 	119588 	132342 	127807 	164527 
NR,AFR,I551,DK	19609 e	19711 e	18664 e	17009 e	15598 	15124 	12636 	12116 	11889 	10561 	9123 	11258 	14980 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551,EA	2726177 e	2619626 	2503987 	: 	: 	: 	: 	: 	: 	1554150 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551,EE	2290 	1842 	1894 	1673 	1462 	1881 	1946 	1155 	880 	1087 	888 	632 	823 	524 	489 	1044 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551,EL	65427 	67185 	63871 	63911 	66229 	90691 	55596 	45813 	37283 	38640 	38267 	33928 	26462 	30852 	31529 	30582 	34055 	40962 	41075 	42445 	37910 	32295 	32270 	37460 	: 	: 	: 	: 
NR,AFR,I551,ES	749155 	688470 	589499 	527410 	501349 	456897 	421398 	387766 	327060 	353200 	358778 	347701 	325479 	247349 	285307 	265328 	269438 	228978 	196058 	103260 	87660 	: 	: 	: 	: 	: 	: 	: 
