c_resid,unit,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
FOR,NR,I551,AT	66641779 	65243779 	63327453 	61829801 	62137088 	61359896 	59147120 	58314787 	57798255 	60462189 	57881542 	57114126 	56690261 	55163363 	55200185 	55167340 	54085832 	53617396 	53123067 	53502987 	53395596 	55126381 	56198473 	59126450 	61995886 	64188976 	64062119 	61893612 
FOR,NR,I551,AT1	13478297 	13023563 	12698655 	11968758 	11383794 	11135367 	10583600 	9933947 	9279223 	9871266 	9317320 	9209356 	8926474 	8548445 	8029248 	7666122 	7751577 	7889977 	7858359 	8124112 	7708428 	7832269 	7625058 	7720513 	7508867 	7886764 	7891822 	8557059 
FOR,NR,I551,AT11	399985 	402992 	396860 	397644 	388728 	405465 	408637 	402394 	402666 	412107 	393013 	367309 	353979 	348329 	375484 	368747 	363840 	335570 	357568 	367281 	351832 	379327 	390470 	428203 	420186 	475523 	498571 	515784 
FOR,NR,I551,AT12	1871961 	1685511 	1635559 	1560151 	1520040 	1572197 	1551509 	1465506 	1526896 	1767009 	1741807 	1634403 	1671415 	1620741 	1533144 	1439031 	1427347 	1477390 	1512932 	1543631 	1518995 	1582409 	1550714 	1664191 	1799524 	1815906 	1973063 	1956482 
FOR,NR,I551,AT13	11206351 	10935060 	10666236 	10010963 	9475026 	9157705 	8623454 	8066047 	7349661 	7692150 	7182500 	7207644 	6901080 	6579375 	6120620 	5858344 	5960390 	6077017 	5987859 	6213200 	5837601 	5870533 	5683874 	5628119 	5289157 	5595335 	5420188 	6084793 
FOR,NR,I551,AT2	6797864 	6662283 	6430852 	6536504 	6582468 	6615000 	6506793 	6404012 	6558381 	6826967 	6543253 	6345623 	6404471 	6282395 	6630816 	6675213 	6416276 	6225167 	6384503 	6719226 	7015844 	7387291 	7738120 	8230489 	8845682 	9306049 	9635143 	9099198 
FOR,NR,I551,AT21	3825463 	3837142 	3741374 	3830131 	3952988 	4038236 	3973562 	3908137 	4095904 	4308726 	4213109 	4070082 	4133467 	4135830 	4342982 	4438180 	4271122 	4165876 	4310135 	4637892 	4921909 	5313274 	5614919 	5963958 	6485289 	6894532 	7177369 	6694168 
FOR,NR,I551,AT22	2972401 	2825141 	2689478 	2706373 	2629480 	2576764 	2533231 	2495875 	2462477 	2518241 	2330144 	2275541 	2271004 	2146565 	2287834 	2237033 	2145154 	2059291 	2074368 	2081334 	2093935 	2074017 	2123201 	2266531 	2360393 	2411517 	2457774 	2405030 
FOR,NR,I551,AT3	46365618 	45557933 	44197946 	43324539 	44170826 	43609529 	42056727 	41976828 	41960651 	43763956 	42020969 	41559147 	41359316 	40332523 	40540121 	40826005 	39917979 	39502252 	38880205 	38655201 	38671324 	39906821 	40835295 	43175448 	45641337 	46996163 	46535154 	44237355 
FOR,NR,I551,AT31	2336688 	2148726 	2096988 	2015675 	2050013 	2110560 	2003518 	1875229 	1924309 	2045549 	2034292 	2012135 	1992169 	1989808 	1972193 	1975952 	2011204 	2048042 	2055267 	2130564 	2125410 	2205117 	2338092 	2468718 	2585798 	2677462 	2696703 	2540018 
