c_resid,unit,nace_r2,deg_urb,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
FOR,NR,I551,DEG1,AT	15410722 	14910654 	14530958 	13665464 	13021220 	12636894 
FOR,NR,I551,DEG1,BE	: c	: c	: c	: 	8824325 	8669129 
FOR,NR,I551,DEG1,BG	6213252 	5933553 	4961638 	4954103 	5116051 	4915575 
FOR,NR,I551,DEG1,CH	: 	8696228 	8602745 	8495974 	8290150 	8048250 
FOR,NR,I551,DEG1,CY	1825194 	1716217 	1489705 	1491907 	1547617 	1787481 
FOR,NR,I551,DEG1,CZ	18226264 	16743258 	15998045 	15312770 	15169857 	15100356 
FOR,NR,I551,DEG1,DE	44930828 	43052296 	42403584 	39860992 	37414893 	35219689 
FOR,NR,I551,DEG1,DK	5254981 	5152311 	5085814 	5133345 	4696206 	4420479 
FOR,NR,I551,DEG1,EA	331210399 e	301846507 	: 	: 	: 	: 
FOR,NR,I551,DEG1,EE	2634797 	2546954 	2399993 	2497783 	2455297 	2492198 
FOR,NR,I551,DEG1,EL	6962396 	6363909 	6281473 	6058101 	4743067 	4285970 
FOR,NR,I551,DEG1,ES	84310360 	72050863 	67393456 	61919201 	58417958 	55238439 
FOR,NR,I551,DEG1,EU27	462746681 e	429597373 	: 	399915064 e	386103751 	351722497 e
FOR,NR,I551,DEG1,EU28	464563188 e	431163277 	: 	401228783 e	387326579 	352477426 e
FOR,NR,I551,DEG1,FI	3272450 	2884924 	2728925 	2680279 	2659324 	2754682 
FOR,NR,I551,DEG1,FR	49447151 	44440666 	48196373 	48204260 	48602546 	44586831 
FOR,NR,I551,DEG1,HR	1816507 	1565904 	1434178 	: c	1222828 	1112471 
FOR,NR,I551,DEG1,HU	8984803 	8257818 	7872964 	7456659 	7220221 	6966184 
FOR,NR,I551,DEG1,IE	: 	7131292 e	6730372 e	4261026 e	4612896 	: 
FOR,NR,I551,DEG1,IS	: 	2450917 	1902440 	1495103 	1299076 	1173594 
FOR,NR,I551,DEG1,IT	51821765 	49748295 	50641482 	50886695 	50458809 	49041666 
