c_resid,unit,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
FOR,NR,I551,AT	66641779 	65243779 	63327453 	61829801 	62137088 	61359896 	59147120 	58314787 	57798255 	60462189 	57881542 	57114126 	56690261 	55163363 	55200185 	55167340 	54085832 	53617396 	53123067 	53502987 	53395596 	55126381 	56198473 	59126450 	61995886 	64188976 	64062119 	61893612 
FOR,NR,I551,BE	11631915 	10215070 	12034552 	12081835 	11624497 	11546413 	11436408 	10854245 	10332941 	11119811 	10976346 	10633279 	10296907 	10315280 	10280537 	10409787 	10011175 	10183599 	9748860 	9482708 	9267010 	8694704 	7899846 	7878823 	7324000 	7415000 	6630675 	6873528 
FOR,NR,I551,BG	16732622 	15864772 	13095720 	13763998 	13987515 	13151707 	12286819 	10454674 	9377995 	11640780 	11868123 	11776062 	11471082 	10139180 	8986533 	6988639 	6122143 	5103931 	4326486 	5042987 	5301493 	5783875 	5299262 	6330772 	7369868 	5432384 	4575551 	11518825 
FOR,NR,I551,CH	: 	19261903 	19552258 	19882606 	19709473 	19051600 	19707603 	20416129 	20138333 	21478342 	20891829 	19619108 	18298112 	: 	: 	17767537 	19273175 	19914293 	18544486 	18712433 	18034307 	17283592 	18386194 	19669524 	19773898 	20235938 	20365484 	21040743 
FOR,NR,I551,CY	15946455 	14504442 	12548278 	12872854 	13141237 	13476337 	12933024 	12267921 	11488361 	13151048 	13129131 	13227357 	13899099 	13554335 	13424102 	15235497 	18066132 	16790458 	16110328 	14430172 	13148263 	12688653 	14181358 	14264854 	12192304 	14113681 	8874227 	10148930 
FOR,NR,I551,CZ	23693329 	21869094 	20970266 	19970831 	20071692 	19936405 	18027007 	16880869 	16013046 	17740781 	17837519 	17035170 	16607497 	15880594 	13688095 	13326843 	14702800 	12919170 	11921000 	11547000 	11726060 	10857852 	8385611 	6597083 	5562000 	4815000 	4478000 	5377000 
FOR,NR,I551,DE	68652857 	65860750 	64890191 	61311889 	58322664 	55529150 	51389822 	48382473 	43472369 	45218023 	44441542 	42820632 	38872131 	36631357 	33301362 	32579739 	32875948 	34641023 	30912501 	29734835 	28608335 	27434528 	27184078 	26368249 	26069243 	28377607 	27768232 	29765271 
FOR,NR,I551,DK	6862892 	6641020 	6487067 	6481576 	6010083 	5723802 	5377079 	4874498 	4257886 	4551784 	4634661 	4806825 	4784141 	4776276 	4511943 	4495461 	4552158 	4608130 	4349793 	4462299 	4504919 	4473482 	4145870 	5932200 	5913000 	6178100 	5963200 	5429300 
FOR,NR,I551,EA	781280623 e	748981992 	717377682 	: 	: 	: 	: 	: 	: 	596476552 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,EE	3654125 	3559353 	3367951 	3515676 	3536875 	3498683 	3478042 	3002781 	2555011 	2727007 	2668077 	2771868 	2790595 	2601818 	2086265 	1886642 	1423373 	1253000 	1045000 	926000 	835000 	693000 	608000 	573000 	506000 	: 	: 	: 
FOR,NR,I551,EL	73474232 	65941418 	63570840 	60901973 	57058282 	50539507 	53768033 	48243634 	45925585 	47233616 	47410260 	42458767 	40074798 	38309783 	39759557 	40349621 	41814853 	46212375 	41407820 	38353661 	40220443 	35101968 	37473643 	40331166 	: 	: 	: 	: 
FOR,NR,I551,ES	224755788 	216929812 	197980823 	190530741 	185396233 	178558301 	175218702 	153911176 	141227936 	155347192 	155092771 	151939605 	138761842 	134653620 	136865487 	135836385 	143420595 	143761596 	149035996 	111803276 	105435107 	100000000 	101000000 	97792056 	83132216 	77340665 	74439431 	71741470 
FOR,NR,I551,EU27	: u	919360239 	879042353 	841516698 e	821483557 	778052101 	766449961 e	712171234 e	671239269 e	723737573 	729875469 e	705288558 	672065422 	643915707 	626802023 	636594605 	650198223 	646903052 	623806488 	572388950 	: 	: 	531180723 	: 	: 	: 	: 	: 
FOR,NR,I551,EU28	: u	940232238 	898893567 	860408622 e	840384159 	796931453 	784504388 e	729182728 e	687324412 e	741342123 	747863709 e	723095789 	690480580 	660987993 	643631581 	653499846 	666697732 	661960188 	633598943 	584552950 	: 	: 	535755525 	: 	: 	: 	: 	: 
FOR,NR,I551,FI	5726279 	4973182 	4676645 	4795215 	4906135 	4948446 	4711041 	4296915 	4197575 	4767662 	4634829 	4338517 	3886679 	3758073 	3757653 	3720579 	3674939 	3561630 	3270721 	3225859 	3170743 	2907370 	2926316 	2927668 	2503327 	2242741 	2237837 	2468132 
FOR,NR,I551,FR	76426143 	70245367 	74456927 	73552947 	73619897 	68784275 	67012600 	65516483 	63836804 	71725224 	73151930 	69550958 	72823815 	70390677 	69323496 	77601970 	75652114 	71767947 	66329694 	60623541 	: 	: 	54339000 	57143264 	55454140 	59635470 	51870918 	55322277 
FOR,NR,I551,HR	22148452 	20871999 	19851214 	18891924 	18900602 	18879352 b	18054427 	17011494 	16085143 	17604550 	17988240 	17807231 	18415158 	17072286 	16829558 	16905241 	16499509 	15057136 	9792455 	12164000 	11931317 	8481983 	4574802 	8838981 	5540400 	: 	: 	: 
FOR,NR,I551,HU	12754054 	11801752 	11092521 	10653116 	10367322 	9938268 	8774490 	8182600 	7773329 	8488504 	8635432 	8524182 	9126522 	8728682 	8046366 	8260020 	8405194 	8061859 	7539000 	7714000 	7619000 	7449000 	6894000 	6887000 	6387000 	: 	: 	: 
FOR,NR,I551,IE	: 	12904044 e	10789960 e	8668203 e	8658824 e	9430436 be	: u	: u	: u	19053000 u	: u	18834000 	17024000 	17642000 	17748000 	17320900 	18474000 	17564000 	14327000 	13712000 	13220000 	12978000 	11348000 	10018000 	9556000 	9333000 	9423000 	8277000 
FOR,NR,I551,IS	: 	4571486 	3613046 	2787254 	2346540 	2024321 	1866432 	1620597 	1553927 	1517102 	1480025 	1340822 	1208030 	1145809 	1070066 	970256 	907029 	894974 	862433 	791412 	701506 	635986 	598000 	516000 	444397 	436805 	429823 	420218 
FOR,NR,I551,IT	136114096 	131988707 	129680864 	127373740 	126330288 	122700343 	120014027 	111551526 	106828579 	110491709 	113017439 	107858735 	102097538 	97174844 	93934636 	97837167 	100322354 	97221120 	90235528 	87192035 	85376770 	87905208 	84565791 	76172592 	64574477 	63415459 	65842790 	66012130 
FOR,NR,I551,LI	125122 	107631 	90419 	108994 	111533 	111345 	112459 	111458 	117806 	131095 	126111 	115442 	108371 	100586 	104551 	105862 	120429 	130668 	121552 	120089 	117156 	117759 	126516 	128429 	133495 	147272 	142464 	149204 
FOR,NR,I551,LT	2526763 	2429499 	2246829 	2251173 	2169087 	2001745 	1818031 	1509883 	1322983 	1544487 	1509293 	1451103 	1334118 	1131183 	766411 	718691 	671847 	579075 	600390 	638512 	536205 	491609 	417510 	473853 	714196 	: 	: 	: 
FOR,NR,I551,LU	1526416 	1593649 	1586274 	1538265 	1413420 	1424273 b	1282014 	1163204 	1192639 	1296575 	1359505 	1284174 	1274898 	1194689 	1143831 	1166769 	1173592 	1195886 	1162616 	1089407 	1026055 	947087 	1051215 	1016831 	1065089 	1007191 	1066154 	1084797 
FOR,NR,I551,LV	2925077 	2675285 	2553177 	2529942 	2294596 	2143977 b	2069496 	1786870 	1587504 	1913494 	1779563 	1745159 	1506626 	1157768 	962848 	852822 	836507 	690810 	717676 	725005 	744179 	675489 	661505 	636802 	: 	: 	: 	: 
FOR,NR,I551,ME	: 	2894483 	2627448 	: 	: 	2621342 	2647592 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,MK	1216277 	988699 	957803 	826623 	795566 	727246 	667430 	468822 	468706 	474577 	: 	: 	: 	: 	: 	249463 	197163 	438959 	438531 	310187 	236134 	234203 	243489 	: 	311004 	300245 	418351 	769886 
FOR,NR,I551,MT	8917011 	8354465 	8302348 	8182364 	7940350 	7344253 	7210353 	7065374 	6389661 	7415908 	7584615 	6978360 	7217567 	7387568 	7301242 	7019163 	7473045 	7014896 	8234822 	8078047 	7692855 	7327807 	7632039 	8211178 	8230378 	8029683 	6838097 	6424888 
FOR,NR,I551,NL	26343380 	23169243 	21707565 	20183788 	18350969 	16934054 	16685100 	16174900 	14428600 	14961500 	16327700 	15976100 	15143200 	14618200 	13798400 	14921600 	14955000 	15695000 	15224000 	14262000 	12444000 	9923000 	9581400 	8732900 	7973000 	8423700 	7993400 	8101800 
FOR,NR,I551,NO	: 	6573077 	5989442 	5581658 	5068883 	5050573 	4898885 	4781716 	4404415 	4871237 	5051763 	4895515 	4761074 	4596218 	4374657 	4705537 	4816725 	4966857 	5207568 	5168217 	5039279 	5050277 	4985458 	5041322 	4557000 	4275000 	3917000 	3536631 
FOR,NR,I551,PL	13638768 	12918219 	11302368 	10667222 	10129465 	9424550 	8397392 	8029202 	7478031 	7939328 	8408772 	7910690 	7868754 	6876141 	5450416 	4999289 	4918271 	4944670 	3973433 	5324847 	5594813 	3390633 	3161456 	: 	: 	4581244 	4247498 	: 
FOR,NR,I551,PT	42852697 	39326453 	35474514 	33050064 	29824569 	27256580 	26003760 	23608207 	23214377 	26204245 	26768530 	25216460 	23872884 	23001993 	23214698 	23562694 	23577571 	24101963 	23330836 	23240516 	20851195 	19962376 	20357205 	18785240 	16175957 	17877031 	19088928 	16710332 
FOR,NR,I551,RO	4799993 	4399597 	4100387 	3503522 	3167791 	3001482 b	2981991 	2684868 	2581861 	3251357 	3497156 	3169183 	3377148 	3210600 	2687832 	2470622 	2300661 	2084897 	1960000 	2125000 	2384000 	2210000 	2326000 	2699000 	2698000 	2988000 	3162000 	4085000 
FOR,NR,I551,RS	: 	2352920 	2066142 	1784540 	1616648 	1518577 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,SE	9335009 	8842643 	8401002 	7421430 	6874759 	6650445 	6532078 	6363074 	6087096 	5830414 	5841769 	5603834 	5382161 	5060943 	4833186 	4867679 	4926857 	4678806 	4515500 	4408654 	4050834 	3930464 	3693723 	3320091 	2983641 	2803711 	2826160 	3192994 
FOR,NR,I551,SI	5544814 	4984687 	4540345 	4294013 	4202067 	4150042 	4005927 	3715473 	3684005 	4051014 	3706637 	3400715 	3322043 	3258408 	3165602 	3049389 	2878885 	2757751 	2267183 	2477855 	2499965 	2166981 	2058933 	2088798 	1706024 	1697204 	1928000 	3889000 
FOR,NR,I551,SK	4249762 	4082787 	3642146 	3171407 	3528739 	3329573 	3276048 	3043282 	2907900 	3977836 	3968782 	3911338 	3650029 	3431545 	3560340 	3572297 	3101381 	2761064 	2557039 	2400747 	2144221 	2446492 	2339704 	1836493 	1327377 	883541 	1246316 	1459349 
