c_resid,unit,hotelsize,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
FOR,NR,100-249,BG	2635047 	2570927 	1819013 	1883719 	2007188 	1718401 
FOR,NR,100-249,CY	8164758 	7392353 	6272698 	6530679 	: 	: 
FOR,NR,100-249,CZ	6618973 	6415440 	6126986 	5889374 	5777941 	5762896 
FOR,NR,100-249,DE	24275500 	23019206 	22394117 	20574770 	19321409 	18175053 
FOR,NR,100-249,EA	: u	: u	: u	: 	: 	: 
FOR,NR,100-249,EL	23903106 	21629209 	20304449 	19641139 	18954629 	16792341 
FOR,NR,100-249,ES	80054560 	76637032 	69777777 	68439284 	65929205 	63039080 
FOR,NR,100-249,EU27	: u	: u	: u	: u	: u	: 
FOR,NR,100-249,EU28	: u	: u	: u	: u	: u	: 
FOR,NR,100-249,HR	9253453 	8761698 	8572019 	8195020 	8309769 	8347908 
FOR,NR,100-249,HU	4779524 	4363407 	4105159 	3983225 	: 	: 
FOR,NR,100-249,IS	: 	1224051 	906817 	1052788 	910766 	378068 
FOR,NR,100-249,LT	947435 	918220 	802929 	808189 	755153 	661781 
FOR,NR,100-249,LU	: 	0 	: 	: 	: 	: 
FOR,NR,100-249,LV	1223710 	1103796 	1022746 	: c	926738 	: c
FOR,NR,100-249,ME	: 	983344 	: 	: 	: 	: 
FOR,NR,100-249,MT	3209537 	3211919 	3219456 	3202245 	2813194 	1424835 
FOR,NR,100-249,NO	: 	3119865 	2770227 	2572071 	2411416 	2381707 
FOR,NR,100-249,PL	549673 	546053 	479870 	440244 	434712 	362714 
FOR,NR,100-249,RO	: 	: 	: 	221482 	211939 	212743 
FOR,NR,100-249,SE	3942727 	3698796 	3437085 	3118223 	2864219 	2844444 
FOR,NR,100-249,UK	: 	7606760 	6517880 	: 	: 	: 
FOR,NR,25-99,BG	1273422 	1179180 	1039644 	1109260 	1008253 	880558 
FOR,NR,25-99,CY	3170129 	2935927 	2441482 	2562385 	: 	: 
FOR,NR,25-99,CZ	9916173 	5817428 	5529865 	8203484 	8187629 	8031572 
FOR,NR,25-99,DE	23284061 	22390266 	22357434 	21519234 	20514394 	19902391 
FOR,NR,25-99,EA	: u	: u	: u	: 	: 	: 
FOR,NR,25-99,EL	22748656 	20533246 	20192162 	19411398 	17449294 	15194388 
FOR,NR,25-99,ES	39688404 	36845939 	33397831 	31510276 	30500022 	30241148 
FOR,NR,25-99,EU27	: u	: u	: u	: u	: u	: 
FOR,NR,25-99,EU28	: u	: u	: u	: u	: u	: 
