unit,nace_r2,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
NR,I551,AFR,AT	186891 	190114 	182482 	173739 	169937 	160143 	149633 	128883 	108776 	123356 	132890 	124966 	118872 	102697 	87478 	87356 	107747 	107612 	100453 	100249 	82144 	81137 	85348 	81419 	87235 	84153 	69660 	79277 
NR,I551,AFR,BE	163403 	155873 	159516 	174889 	165618 	158454 	151355 	155501 	146975 	147574 	158082 	139467 	139175 	133230 	141898 	144557 	153957 	153020 	142546 	152810 	157156 	146053 	125625 	120373 	126449 	149108 	186058 	: 
NR,I551,AFR,BG	30157 	34335 	13237 	12422 	7894 	13688 	2927 	1899 	2240 	4403 	: 	: 	: 	: 	: 	48840 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR,CH	: 	278463 	302201 	281179 	293649 	303534 	280247 	267577 	270546 	301137 	298820 	291080 	272667 	: 	: 	277816 	286981 	273570 	269323 	262996 	262238 	247045 	261501 	277706 	329662 	352313 	418222 	430375 
NR,I551,AFR,CY	50849 	52434 	46862 	44836 	39057 	38978 	32633 	34888 	22512 	22564 	19840 	19656 	21403 	: 	: 	: 	16105 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR,CZ	111786 	107914 	107309 	107997 	95297 	90169 	78046 	71152 	56814 	70029 	61493 	64118 	58148 	48421 	46367 	46961 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR,DE	655562 	624883 	663263 	643055 	611219 	541818 	442577 	452979 	376000 	395139 	390874 	422647 	353590 	362998 	358130 	331339 	358975 	378058 	330893 	313715 	303407 	281383 	294141 	280008 	340966 	367776 	380865 	458443 
NR,I551,AFR,DK	58803 	59117 	55964 	51020 	46763 	45406 	37940 	36351 	35699 	31760 	27446 	33775 	44895 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR,EA	7293920 e	7158362 	6860708 	: 	: 	: 	: 	: 	: 	4258681 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR,EE	5023 	4561 	4039 	4157 	3515 	3732 	3816 	2787 	1944 	2524 	2260 	1385 	2323 	1078 	938 	2234 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR,EL	202499 	215925 	205312 	230480 	228770 	474658 	170882 	120683 	113352 	118897 	116825 	101407 	79727 	104932 	99021 	91615 	103293 	122499 	112216 	119989 	114676 	88249 	94765 	110848 	: 	: 	: 	: 
