accommod,unit,hotelsize,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,PC,100-249,BG	38.6 	38.5 	33.7 	33.5 	34.7 	32.2 
BEDPL,PC,100-249,CY	87.2 	80.5 	70 	69.7 	: 	: 
BEDPL,PC,100-249,CZ	57.6 	56 	49.9 	49.9 	48.5 	48.6 
BEDPL,PC,100-249,DE	51.91 	51.16 	51.08 	50.3 	49.1 	48.2 
BEDPL,PC,100-249,EA	58.4 	57.25 	55.88 	: 	: 	: 
BEDPL,PC,100-249,EL	64.1 	61.1 	59.3 	56.8 	53.8 	52.6 
BEDPL,PC,100-249,ES	68.63 	67.45 	64.28 	62.4 	60.8 	60 
BEDPL,PC,100-249,EU27	57.2 	56.11 	54.24 	: 	: 	: 
BEDPL,PC,100-249,EU28	57.32 	56.22 	54.35 	: 	: 	: 
BEDPL,PC,100-249,HR	63.9 	63.7 	61.4 	61.1 	61.1 	60.1 
BEDPL,PC,100-249,HU	50.9 	48.9 	47.5 	45.7 	: 	: 
BEDPL,PC,100-249,IS	: 	: 	: 	44.8 	45.7 	42.3 
BEDPL,PC,100-249,LT	50.9 	48.4 	42.6 	45.4 	46.1 	44 
BEDPL,PC,100-249,LV	53.19 	51 	47.8 	: c	43.5 	41.9 
BEDPL,PC,100-249,MT	67.5 	65.2 	67.7 	67.6 	65.3 	54 
BEDPL,PC,100-249,NO	: 	42.9 	41.3 	39.4 	38.6 	39.5 
BEDPL,PC,100-249,PL	59.4 	60 	55.1 	50.1 	51.8 	47.2 
BEDPL,PC,100-249,RO	: 	: 	: 	21.2 	20.6 	20 
BEDPL,PC,100-249,SE	50.31 	49.87 	46.94 	43 	42.1 	41.6 
BEDPL,PC,100-249,UK	: 	55.3 	55.2 	: 	53.7 	: 
BEDPL,PC,25-99,BG	26.9 	25.6 	22 	22.4 	22.1 	21.8 
BEDPL,PC,25-99,CY	64.2 	61.1 	51.3 	51.5 	: 	: 
BEDPL,PC,25-99,CZ	50.2 	47.1 	39.4 	38.1 	37.3 	36.7 
BEDPL,PC,25-99,DE	46.38 	45.72 	44.69 	43.5 	42.3 	41.9 
BEDPL,PC,25-99,EA	49.25 	47.98 	45.98 	: 	: 	: 
BEDPL,PC,25-99,EL	46.8 	44.5 	44 	42 	40.3 	37.8 
BEDPL,PC,25-99,ES	55.33 	53.31 	49.9 	46.9 	44.8 	43.9 
BEDPL,PC,25-99,EU27	47.74 	47.21 	45.57 	: 	: 	: 
BEDPL,PC,25-99,EU28	47.79 	47.22 	45.57 	: 	: 	: 
BEDPL,PC,25-99,HR	50.3 	48.5 	45.5 	45.2 	45.2 	43.7 
BEDPL,PC,25-99,HU	40.6 	37.4 	35.2 	33.4 	: 	: 
BEDPL,PC,25-99,IS	: 	: 	: 	38.4 	33.3 	32.3 
BEDPL,PC,25-99,LT	42.4 	41.1 	30 	38.2 	36.7 	35.2 
BEDPL,PC,25-99,LV	39.52 	37.5 	36.3 	39.3 	34.2 	34.1 
BEDPL,PC,25-99,MT	63 	58.2 	57.5 	55.6 	53.8 	47.5 
BEDPL,PC,25-99,NO	: 	34.2 	32.3 	30.7 	30.8 	30.4 
BEDPL,PC,25-99,PL	49.3 	48.5 	44.4 	41.4 	40.4 	40 
BEDPL,PC,25-99,RO	: 	: 	: 	23.2 	22.5 	23.7 
BEDPL,PC,25-99,SE	39.06 	39.22 	37.21 	34.2 	32.7 	32.1 
BEDPL,PC,25-99,UK	: 	49.8 	51.8 	: 	53 	: 
BEDPL,PC,GE100,BG	47.8 	47.8 	43.7 	44.8 	47.3 	45.8 
BEDPL,PC,GE100,CY	85.5 	79.3 	70.6 	68.6 	: 	: 
BEDPL,PC,GE100,CZ	58.4 	55.7 	50.7 	50.5 	49.5 	49.9 
BEDPL,PC,GE100,DE	52.4 	51.57 	51.5 	50.7 	49.5 	48.3 
BEDPL,PC,GE100,EA	59.98 	58.96 	57.65 	: 	: 	: 
BEDPL,PC,GE100,EL	65.8 	62.8 	61.3 	59.1 	55.8 	54.5 
BEDPL,PC,GE100,ES	72.4 	71.77 	68.5 	66.8 	65.4 	64.3 
BEDPL,PC,GE100,EU27	58.66 	57.29 	55.5 	: 	: 	: 
BEDPL,PC,GE100,EU28	58.82 	57.38 	55.57 	: 	: 	: 
BEDPL,PC,GE100,HR	67.1 	63.5 	60.6 	60 	59.5 	60.1 
BEDPL,PC,GE100,HU	51.5 	49.4 	46.4 	46.3 	: 	: 
BEDPL,PC,GE100,IS	: 	: 	: 	50.6 	50.2 	46 
BEDPL,PC,GE100,LT	50.3 	48.2 	43.5 	45.2 	45.7 	43.8 
BEDPL,PC,GE100,LV	52.63 	49.2 	48.3 	49.8 	45.4 	43.5 
BEDPL,PC,GE100,MT	68.2 	66.9 	66.9 	66.5 	62.8 	58.4 
BEDPL,PC,GE100,NO	: 	41.3 	40.7 	39.2 	38.6 	39.7 
BEDPL,PC,GE100,PL	59.4 	59.5 	55.5 	50.5 	52.6 	48.3 
BEDPL,PC,GE100,RO	: 	: 	: 	31 	29.7 	30.3 
BEDPL,PC,GE100,SE	51.65 	51.15 	48.69 	45 	43.8 	43.5 
BEDPL,PC,GE100,UK	: 	55.7 	55.2 	: 	53.7 	: 
BEDPL,PC,GE250,BG	52 	52.3 	48.4 	49.9 	53 	51.9 
BEDPL,PC,GE250,CY	82.3 	77 	71.9 	66.5 	: 	: 
BEDPL,PC,GE250,CZ	60 	55 	52.5 	51.7 	51.4 	52.4 
BEDPL,PC,GE250,DE	53.74 	52.64 	52.58 	51.6 	50.6 	48.6 
BEDPL,PC,GE250,EA	62.03 	61.06 	59.91 	: 	: 	: 
BEDPL,PC,GE250,EL	67.9 	64.8 	63.7 	61.9 	58.3 	56.9 
BEDPL,PC,GE250,ES	76.4 	76.35 	72.92 	71.4 	70.3 	68.9 
BEDPL,PC,GE250,EU27	60.44 	58.31 	57.16 	: 	: 	: 
BEDPL,PC,GE250,EU28	60.63 	58.4 	57.21 	: 	: 	: 
BEDPL,PC,GE250,HR	70.5 	64 	60.8 	60 	58.8 	62.1 
BEDPL,PC,GE250,HU	52.7 	50.5 	48.1 	47.3 	: 	: 
BEDPL,PC,GE250,IS	: 	: 	: 	61.5 	58.4 	53 
BEDPL,PC,GE250,LT	45.7 	46.6 	44.9 	44.3 	43.2 	42.6 
BEDPL,PC,GE250,LV	50.89 	43.8 	: c	: c	: 	: c
BEDPL,PC,GE250,MT	68.8 	68.4 	66.1 	65.6 	61.1 	59.7 
BEDPL,PC,GE250,NO	: 	38.6 	39.5 	39 	38.6 	40.2 
BEDPL,PC,GE250,PL	59.6 	58.2 	56.5 	51.5 	54.5 	50.8 
BEDPL,PC,GE250,RO	: 	: 	: 	32.4 	31.1 	31.9 
BEDPL,PC,GE250,SE	54.45 	53.96 	52.53 	50 	48 	48.7 
BEDPL,PC,GE250,UK	: 	55.3 	55.2 	: 	53.7 	: 
BEDPL,PC,LT25,BG	18.1 	17.5 	16.2 	16.5 	16.6 	16.3 
BEDPL,PC,LT25,CY	38.5 	35.7 	31 	33.6 	: 	: 
BEDPL,PC,LT25,CZ	40.6 	36.4 	22.7 	21.3 	22.1 	22.1 
BEDPL,PC,LT25,DE	32.97 	32.18 	31.05 	30.1 	29.3 	28.9 
BEDPL,PC,LT25,EA	32.52 	31.58 	30.02 	: 	: 	: 
BEDPL,PC,LT25,EL	26 	24.5 	24.6 	24.4 	23.3 	21.9 
BEDPL,PC,LT25,ES	34.15 	33.21 	30.65 	27 	25.2 	24.9 
BEDPL,PC,LT25,EU27	33.1 	34.01 	32.03 	: 	: 	: 
BEDPL,PC,LT25,EU28	33.24 	34.07 	32.1 	: 	: 	: 
BEDPL,PC,LT25,HR	40.2 	37.8 	36.9 	36.1 	35.3 	34 
BEDPL,PC,LT25,HU	22.7 	21.3 	19.6 	18.6 	: 	: 
BEDPL,PC,LT25,IS	: 	: 	: 	33.4 	27.3 	28.3 
BEDPL,PC,LT25,LT	25 	23 	19.7 	24 	25.6 	23.2 
BEDPL,PC,LT25,LV	18.74 	17.5 	17.7 	20.7 	18.9 	22.3 
BEDPL,PC,LT25,MT	35.8 	33 	29.1 	26.8 	28.9 	24.1 
BEDPL,PC,LT25,NO	: 	24.3 	23.5 	21.9 	20.4 	21.7 
