accommod,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,PC,AT	47 	41 	40 	28.3 	28.3 	28.3 
BEDPL,PC,AT1	47 	44 	43 	27 	25.7 	26.2 
BEDPL,PC,AT11	40 	37 	36 	7 	6.9 	7.2 
BEDPL,PC,AT12	32 	29 	28 	9.7 	9.2 	9.4 
BEDPL,PC,AT13	59 	56 	55 	44.3 	42.9 	45.3 
BEDPL,PC,AT2	39 	33 	32 	14.9 	14.8 	15 
BEDPL,PC,AT21	39 	31 	29 	16.9 	17.2 	17.5 
BEDPL,PC,AT22	39 	36 	35 	12.8 	12.3 	12.2 
BEDPL,PC,AT3	50 	42 	41 	33.2 	33.7 	33.4 
BEDPL,PC,AT31	36 	31 	30 	13.6 	13.7 	13.9 
BEDPL,PC,AT32	51 	43 	41 	31.4 	31.7 	31.6 
BEDPL,PC,AT33	52 	45 	44 	38.7 	39.2 	38.9 
BEDPL,PC,AT34	49 	41 	40 	33.4 	35.3 	34.4 
BEDPL,PC,BE	0.44 	40 	44.02 	: c	40.4 	39.8 
BEDPL,PC,BE1	0.47 	38 	48.55 	: c	46.1 	45.8 
BEDPL,PC,BE10	0.47 	38 	48.55 	: c	46.1 	45.8 
BEDPL,PC,BE2	0.44 	41 	43.74 	: c	40.8 	39.6 
BEDPL,PC,BE21	0.44 	41 	44.61 	: c	41.2 	40.8 
BEDPL,PC,BE22	0.38 	39 	38.21 	: c	33.9 	34.1 
BEDPL,PC,BE23	0.49 	44 	45.66 	: c	42.3 	40.7 
BEDPL,PC,BE24	0.38 	35 	39.57 	: c	38.8 	36.6 
BEDPL,PC,BE25	0.47 	44 	45.51 	: c	42.3 	41.1 
BEDPL,PC,BE3	0.39 	37 	37.52 	: c	31.4 	32 
BEDPL,PC,BE31	0.4 	42 	42.04 	: c	38.5 	39.5 
BEDPL,PC,BE32	0.45 	41 	43.13 	: c	38 	37.9 
BEDPL,PC,BE33	0.37 	36 	37.01 	: c	32 	32.2 
BEDPL,PC,BE34	0.32 	30 	31.65 	: c	24.8 	25.8 
BEDPL,PC,BE35	0.43 	37 	35.49 	: c	29.1 	30.4 
BEDPL,PC,BG	42 	41.5 	37 	37.8 	39.5 	38.8 
BEDPL,PC,BG3	45.5 	45.8 	40.8 	42.7 	45.8 	45.3 
BEDPL,PC,BG31	20.7 	19.7 	18.2 	18.3 	21.3 	19.6 
BEDPL,PC,BG32	21.3 	20.8 	18.1 	17.3 	18.3 	19.5 
BEDPL,PC,BG33	45.6 	46.4 	42.6 	44 	48.6 	47.9 
BEDPL,PC,BG34	52.7 	53.2 	47 	50 	52.3 	52.1 
BEDPL,PC,BG4	34.6 	32.6 	29.5 	28.4 	27.3 	26.2 
BEDPL,PC,BG41	36 	33.5 	30.5 	29.4 	28.2 	26.8 
BEDPL,PC,BG42	32.3 	31.3 	28 	27 	25.9 	25.2 
BEDPL,PC,CH	: 	41.6 	41.7 	42.2 	41.9 	40.8 
BEDPL,PC,CH0	: 	41.6 	41.7 	42.2 	41.9 	40.8 
BEDPL,PC,CH01	: 	43.62 	43.6 	44.2 	44.4 	43.7 
BEDPL,PC,CH02	: 	40.69 	41 	41.1 	40.4 	38.4 
BEDPL,PC,CH03	: 	39.59 	40.8 	41.8 	40.9 	39.1 
BEDPL,PC,CH04	: 	54.03 	53.9 	53.6 	53.2 	52.4 
BEDPL,PC,CH05	: 	34.82 	34.7 	36.7 	36.9 	36.3 
BEDPL,PC,CH06	: 	41.13 	42.7 	41.2 	40.2 	39 
BEDPL,PC,CH07	: 	41.07 	38.6 	39.8 	39.8 	38.6 
BEDPL,PC,CY	76.4 	71.3 	65.3 	61.6 	63 	64.5 
BEDPL,PC,CY0	76.4 	71.3 	65.3 	61.6 	63 	64.5 
BEDPL,PC,CY00	76.4 	71.3 	65.3 	61.6 	63 	64.5 
BEDPL,PC,CZ	49.9 	46.5 	36.2 	35.2 	34.8 	34.8 
BEDPL,PC,CZ0	49.9 	46.5 	36.2 	35.2 	34.8 	34.8 
BEDPL,PC,CZ01	67 	63.5 	55.1 	54.3 	53.8 	53.9 
BEDPL,PC,CZ02	35.3 	33.4 	27 	25.8 	24.7 	25 
BEDPL,PC,CZ03	44.2 	40 	28.6 	25.8 	24.4 	25.2 
BEDPL,PC,CZ04	50.5 	47.8 	38.4 	40.6 	40.8 	41.9 
BEDPL,PC,CZ05	44.9 	40.9 	27.7 	25.3 	26.2 	26.4 
BEDPL,PC,CZ06	36.5 	33.1 	24.7 	24.2 	23.2 	22.5 
BEDPL,PC,CZ07	38.5 	36.5 	27.6 	26.9 	26.3 	25.8 
BEDPL,PC,CZ08	36.3 	32.7 	24.2 	22.7 	23.2 	22 
BEDPL,PC,DE	44.8 	43.86 	42.99 	41.8 	40.6 	39.9 
BEDPL,PC,DE1	43.75 	43.6 	42.99 	41.4 	40.2 	39.9 
BEDPL,PC,DE11	43.22 	43.21 	42.73 	41.6 	39.5 	39.5 
BEDPL,PC,DE12	44.2 	43.6 	43.05 	41.4 	40.4 	39.9 
BEDPL,PC,DE13	43.71 	43.98 	43.63 	41.6 	40.6 	40.5 
BEDPL,PC,DE14	44.2 	43.58 	42.13 	40.8 	40.2 	39.5 
BEDPL,PC,DE2	45.17 	43.49 	42.69 	41.6 	40.6 	39.8 
BEDPL,PC,DE21	49.63 	47.17 	47.53 	46.6 	45.7 	44.5 
BEDPL,PC,DE22	41.24 	39.62 	37.95 	37.4 	36.2 	35.9 
BEDPL,PC,DE23	38.85 	37.73 	36.01 	34.8 	33.6 	32.8 
BEDPL,PC,DE24	36.27 	35.28 	33 	31.9 	31.9 	31.8 
BEDPL,PC,DE25	42.88 	42.52 	40.9 	40.2 	39 	38.9 
BEDPL,PC,DE26	40.08 	39.48 	38.75 	37 	35.3 	35.1 
