unit,purpose,duration,partner,accommod,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,DOM,NR_OTH,AT	: c	0 u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,NR_OTH,BE	: u	0 	0 u	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,NR_OTH,CH	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,NR_OTH,CY	: c	: u	5.12 u	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,NR_OTH,CZ	0 u	70.83 u	397.05 u	206.17 u	446.59 u	703.45 u
THS_EUR,PERS,N1-3,DOM,NR_OTH,DE	39270.99 	52026.17 	27413.82 u	24707.02 u	37765.18 	8469.37 
THS_EUR,PERS,N1-3,DOM,NR_OTH,DK	: 	25023.83 	27374.91 	20793.31 b	10230.91 b	3201.85 u
THS_EUR,PERS,N1-3,DOM,NR_OTH,EA	: 	: 	: 	30032.92 e	48591.21 e	17634.61 e
THS_EUR,PERS,N1-3,DOM,NR_OTH,EE	227.07 	18.05 	117.59 	21.79 	0 	: u
THS_EUR,PERS,N1-3,DOM,NR_OTH,EL	: 	0 u	0 u	0 	15.84 u	0 u
THS_EUR,PERS,N1-3,DOM,NR_OTH,ES	18.19 	1123 	581.77 b	4178.15 	4018.66 	4337.36 
THS_EUR,PERS,N1-3,DOM,NR_OTH,EU27	: 	: 	69975.79 e	60613.26 e	133458.92 e	73083.83 e
THS_EUR,PERS,N1-3,DOM,NR_OTH,EU28	: 	: 	69890.6 e	60539.47 e	133468.08 e	73106.52 e
THS_EUR,PERS,N1-3,DOM,NR_OTH,FI	0 	232 	129.97 	0 	0 	0 
THS_EUR,PERS,N1-3,DOM,NR_OTH,FR	1189.03 	1025.22 	612.62 	436.59 	3019.41 	292.59 
THS_EUR,PERS,N1-3,DOM,NR_OTH,HR	63.64 u	: 	: u	0 u	30.4 u	33.9 u
THS_EUR,PERS,N1-3,DOM,NR_OTH,HU	0 	0 	0 	0 	0 	0 
THS_EUR,PERS,N1-3,DOM,NR_OTH,IE	39.91 	0 	0 	0 	0 	19.57 u
THS_EUR,PERS,N1-3,DOM,NR_OTH,IT	0 u	0 u	0 u	0 bu	: u	: u
THS_EUR,PERS,N1-3,DOM,NR_OTH,LT	: c	0 u	: u	0 	0 	0 
THS_EUR,PERS,N1-3,DOM,NR_OTH,LU	: 	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,DOM,NR_OTH,LV	: 	0 	0 	642.28 	491.41 	177.16 
THS_EUR,PERS,N1-3,DOM,NR_OTH,MT	0 u	0 u	0 u	: u	: u	: 
THS_EUR,PERS,N1-3,DOM,NR_OTH,NL	: 	: u	1775.92 u	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,NR_OTH,NO	5258.12 	6209.79 	2437.27 u	2877.12 	4386.7 	: 
THS_EUR,PERS,N1-3,DOM,NR_OTH,PL	745.9 	1580.34 	1678.92 	275.91 b	9093.46 	9385.88 
THS_EUR,PERS,N1-3,DOM,NR_OTH,PT	1573.94 	1028.08 	: u	: 	919.15 	88.85 
THS_EUR,PERS,N1-3,DOM,NR_OTH,RO	976.14 	1080.71 	1010.57 	976.78 	505.86 	99.68 
THS_EUR,PERS,N1-3,DOM,NR_OTH,SE	: 	0 	0 	0 	: 	: 
THS_EUR,PERS,N1-3,DOM,NR_OTH,SI	: c	: u	: u	0 u	: u	: u
THS_EUR,PERS,N1-3,DOM,NR_OTH,SK	: c	: u	: u	: u	: u	0 u
THS_EUR,PERS,N1-3,DOM,NR_OTH,UK	: 	: 	: 	: 	61559.05 	: u
THS_EUR,PERS,N1-3,DOM,NR_OWN,AT	0 	0 	0 	0 	0 	0 
THS_EUR,PERS,N1-3,DOM,NR_OWN,BE	2636.04 b	0 	0 	0 u	0 	2706.8 u
THS_EUR,PERS,N1-3,DOM,NR_OWN,BG	0 	0 	0 	0 	0 	0 
THS_EUR,PERS,N1-3,DOM,NR_OWN,CH	: 	1372.84 u	0 u	0 u	516.45 u	: u
THS_EUR,PERS,N1-3,DOM,NR_OWN,CY	0 	0 	0 	0 	0 b	0 
THS_EUR,PERS,N1-3,DOM,NR_OWN,CZ	1263.26 	482.69 	115.34 	147.05 	0 	12.9 
THS_EUR,PERS,N1-3,DOM,NR_OWN,DE	45737.24 	54141.82 	31649.38 u	46807.88 	25748.81 	62980.3 
THS_EUR,PERS,N1-3,DOM,NR_OWN,DK	: 	118982.59 	133195.47 	142949.93 b	143823.15 b	51239.22 
THS_EUR,PERS,N1-3,DOM,NR_OWN,EA	: 	: 	: 	238537.37 e	263898.09 e	326670.78 e
THS_EUR,PERS,N1-3,DOM,NR_OWN,EE	13.59 u	39.18 u	46.06 	0 u	0 u	279.5 u
THS_EUR,PERS,N1-3,DOM,NR_OWN,EL	: 	0 	0 	0 	0 	881.41 
THS_EUR,PERS,N1-3,DOM,NR_OWN,ES	341.4 	514.46 	1215.07 b	190336.65 	235875.1 	259100.15 
THS_EUR,PERS,N1-3,DOM,NR_OWN,EU27	: 	: 	215313.17 e	455424.09 e	435440.42 e	415481.8 e
THS_EUR,PERS,N1-3,DOM,NR_OWN,EU28	: 	: 	215051.05 e	454869.66 e	435369.21 e	415447.05 e
THS_EUR,PERS,N1-3,DOM,NR_OWN,FI	0 	0 	181.72 	358.1 	665.74 	53.45 
THS_EUR,PERS,N1-3,DOM,NR_OWN,FR	2550.08 	981.93 	186.89 	580.86 	1356.23 	168.11 
THS_EUR,PERS,N1-3,DOM,NR_OWN,HR	0 	: 	0 	0 	0 	32.13 
THS_EUR,PERS,N1-3,DOM,NR_OWN,HU	17.03 	52.79 	12.89 	7.58 	0 	92 
THS_EUR,PERS,N1-3,DOM,NR_OWN,IE	0 	0 	0 	0 	0 	303.12 
THS_EUR,PERS,N1-3,DOM,NR_OWN,IT	0 u	0 	0 	0 b	0 	0 
THS_EUR,PERS,N1-3,DOM,NR_OWN,LT	0 	0 	0 	2.87 	0 	55.26 
THS_EUR,PERS,N1-3,DOM,NR_OWN,LU	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,NR_OWN,LV	: 	0 	0 	45.31 	25.21 	102.47 
THS_EUR,PERS,N1-3,DOM,NR_OWN,MT	0 	0 	0 	0 b	0 u	: u
THS_EUR,PERS,N1-3,DOM,NR_OWN,NL	: 	0 	0 	0 	0 	0 
THS_EUR,PERS,N1-3,DOM,NR_OWN,NO	18982.76 	26763.06 	16407.42 	21509.63 	17695.24 	: 
THS_EUR,PERS,N1-3,DOM,NR_OWN,PL	5674.7 	3854.22 	3905.88 	883.92 b	1359.71 	12855.85 
THS_EUR,PERS,N1-3,DOM,NR_OWN,PT	32.4 	58.42 	3823.68 	423.26 	219.83 	0 
THS_EUR,PERS,N1-3,DOM,NR_OWN,RO	16142.46 	14460.2 	12436.17 	15102.96 	14077.74 	15626.05 
THS_EUR,PERS,N1-3,DOM,NR_OWN,SE	: 	0 	0 	0 	: 	: 
THS_EUR,PERS,N1-3,DOM,NR_OWN,SI	0 	0 	0 	0 	0 	0 
THS_EUR,PERS,N1-3,DOM,NR_OWN,SK	1222.2 u	0 u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,NR_OWN,UK	: 	: 	: 	: 	3980.71 	: u
THS_EUR,PERS,N1-3,DOM,NR_RF,AT	0 	0 	0 	0 	0 	580.28 
THS_EUR,PERS,N1-3,DOM,NR_RF,BE	3943.76 b	0 	0 	0 	2995.83 	1247.42 u
THS_EUR,PERS,N1-3,DOM,NR_RF,BG	0 	0 	0 	0 	0 	0 
THS_EUR,PERS,N1-3,DOM,NR_RF,CH	: 	2595.46 	3978.59 	1095.33 	1818.27 	2045.56 
THS_EUR,PERS,N1-3,DOM,NR_RF,CY	0 	0 	0 	0 	17.25 b	0 
THS_EUR,PERS,N1-3,DOM,NR_RF,CZ	8170.71 	3327.8 	1961.24 	354.51 	1015.89 	966.69 
THS_EUR,PERS,N1-3,DOM,NR_RF,DE	70700.7 	63603.28 	56424.22 	65962.57 	83631.82 	72706.94 
THS_EUR,PERS,N1-3,DOM,NR_RF,DK	: 	560769.24 	557616.36 	635455.98 b	643574.29 b	349687.48 
THS_EUR,PERS,N1-3,DOM,NR_RF,EA	: 	: 	: 	504217.24 e	585076.92 e	552278.79 e
THS_EUR,PERS,N1-3,DOM,NR_RF,EE	540.71 	171.01 	341.89 	14.1 	0 	624.94 
THS_EUR,PERS,N1-3,DOM,NR_RF,EL	: 	0 	0 	0 	15.84 	65.96 
THS_EUR,PERS,N1-3,DOM,NR_RF,ES	4677.53 	7147.38 	7782.62 b	392218.13 	465151.26 	426934.51 
THS_EUR,PERS,N1-3,DOM,NR_RF,EU27	: 	: 	860879 e	1371626.51 e	1324360.53 e	1092301.86 e
THS_EUR,PERS,N1-3,DOM,NR_RF,EU28	: 	: 	859966.3 e	1369956.7 e	1325459.96 e	1092421.2 e
THS_EUR,PERS,N1-3,DOM,NR_RF,FI	1240.5 	2390.45 	1267.05 	1684.73 	1071.39 	2510.42 
THS_EUR,PERS,N1-3,DOM,NR_RF,FR	39577.1 	29445.94 	31209.58 	38251.18 	28420.14 	33688.17 
THS_EUR,PERS,N1-3,DOM,NR_RF,HR	77.65 	: 	118.3 	0 	1291.1 	291.2 
THS_EUR,PERS,N1-3,DOM,NR_RF,HU	1077.32 	644.26 	171.62 	832.07 	182.03 	365.39 
