unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,AFR,AT	: c	: u	: u	: 	: u	: u
THS_EUR,PERS,N1-3,AFR,BE	: u	169.84 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AFR,CH	: 	: 	: 	: u	: u	: 
THS_EUR,PERS,N1-3,AFR,CY	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AFR,DE	: c	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,AFR,DK	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AFR,EE	: 	: 	: u	: 	: 	: 
THS_EUR,PERS,N1-3,AFR,ES	8674.39 	7679.25 	2876.85 b	5395.96 	3988.96 	3657.94 
THS_EUR,PERS,N1-3,AFR,EU27	: 	: 	26030.92 e	: 	: 	: 
THS_EUR,PERS,N1-3,AFR,EU28	: 	: 	26012.62 e	: 	: 	: 
THS_EUR,PERS,N1-3,AFR,FI	: 	: u	: u	: 	: 	: 
THS_EUR,PERS,N1-3,AFR,FR	: u	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AFR,HR	: u	: u	: u	: u	: 	: u
THS_EUR,PERS,N1-3,AFR,HU	: 	: 	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AFR,IE	: 	: u	: u	: u	: u	: 
THS_EUR,PERS,N1-3,AFR,IT	: u	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AFR,LT	: 	: 	: 	: u	: u	: u
THS_EUR,PERS,N1-3,AFR,LU	: 	: 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AFR,MT	: 	: c	: 	: 	: u	: u
THS_EUR,PERS,N1-3,AFR,NL	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AFR,NO	: u	: u	: u	: 	: u	: 
THS_EUR,PERS,N1-3,AFR,PL	: c	: u	: u	: u	: 	: u
THS_EUR,PERS,N1-3,AFR,PT	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AFR,SE	: 	: 	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AFR,SI	: 	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,AFR,UK	: 	: 	: 	: 	11924.17 u	: u
THS_EUR,PERS,N1-3,AFR_OTH,AT	: 	: u	: u	: 	: u	: u
THS_EUR,PERS,N1-3,AFR_OTH,BE	: u	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AFR_OTH,CY	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AFR_OTH,DE	: c	: 	: 	: u	: u	: 
THS_EUR,PERS,N1-3,AFR_OTH,DK	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AFR_OTH,EE	: 	: 	: u	: 	: 	: 
THS_EUR,PERS,N1-3,AFR_OTH,ES	: 	: u	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AFR_OTH,EU27	: 	: 	1212.02 e	: 	: 	: 
THS_EUR,PERS,N1-3,AFR_OTH,EU28	: 	: 	1223.93 e	: 	: 	: 
THS_EUR,PERS,N1-3,AFR_OTH,FI	: 	: u	: u	: 	: 	: 
THS_EUR,PERS,N1-3,AFR_OTH,FR	: 	: u	: u	: 	: 	: 
THS_EUR,PERS,N1-3,AFR_OTH,HR	: u	: u	: u	: u	: 	: u
THS_EUR,PERS,N1-3,AFR_OTH,HU	: 	: 	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AFR_OTH,IE	: 	: u	: 	: u	: u	: 
THS_EUR,PERS,N1-3,AFR_OTH,IT	: u	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AFR_OTH,LT	: 	: 	: 	: u	: u	: u
THS_EUR,PERS,N1-3,AFR_OTH,LU	: 	: 	: 	: u	: 	: 
THS_EUR,PERS,N1-3,AFR_OTH,MT	: 	: 	: 	: 	: u	: 
THS_EUR,PERS,N1-3,AFR_OTH,NL	: c	: u	: 	: 	: u	: u
THS_EUR,PERS,N1-3,AFR_OTH,NO	: u	: u	: u	: 	: u	: 
THS_EUR,PERS,N1-3,AFR_OTH,PL	: 	: u	: u	: u	: 	: u
THS_EUR,PERS,N1-3,AFR_OTH,PT	: c	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AFR_OTH,SE	: 	: 	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AFR_OTH,SI	: 	: 	: 	: u	: 	: 
THS_EUR,PERS,N1-3,AFR_OTH,UK	: 	: 	: 	: 	: u	: u
THS_EUR,PERS,N1-3,AME,AT	: c	: u	: u	: u	: 	: u
THS_EUR,PERS,N1-3,AME,BE	: u	539.5 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME,CH	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AME,DE	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME,DK	: 	: u	: u	: u	: u	: 
THS_EUR,PERS,N1-3,AME,EE	: 	: u	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AME,EL	: 	: 	: 	: 	: u	: 
THS_EUR,PERS,N1-3,AME,ES	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME,EU27	: 	: 	49138.42 e	: 	: 	: 
THS_EUR,PERS,N1-3,AME,EU28	: 	: 	49163.04 e	: 	: 	: 
THS_EUR,PERS,N1-3,AME,FR	: u	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME,HR	: 	: u	: u	: u	: u	: 
THS_EUR,PERS,N1-3,AME,HU	: c	: u	: u	: u	: 	: u
THS_EUR,PERS,N1-3,AME,IE	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME,IT	: u	: 	: 	: 	: u	: 
THS_EUR,PERS,N1-3,AME,LT	: 	: 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME,LU	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME,LV	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AME,MT	: c	: 	: 	: 	: u	: u
THS_EUR,PERS,N1-3,AME,NL	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME,NO	: u	: u	: u	: u	: u	: 
THS_EUR,PERS,N1-3,AME,PL	: c	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AME,PT	: c	: u	: u	: 	: u	: u
THS_EUR,PERS,N1-3,AME,SE	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AME,SI	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AME,UK	: 	: 	: 	: 	8493.48 	: u
THS_EUR,PERS,N1-3,AME_C_S,AT	: c	: u	: u	: 	: 	: 
THS_EUR,PERS,N1-3,AME_C_S,BE	: u	133.73 	: 	: u	: 	: 
THS_EUR,PERS,N1-3,AME_C_S,DE	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME_C_S,DK	: 	: u	: 	: 	: 	: 
