unit,purpose,duration,partner,expend,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,DOM,ACC,AT	736740.54 	740867.09 	645077.93 	612039.24 	626709.46 	766765.84 
THS_EUR,PERS,N1-3,DOM,ACC,BE	166215.8 b	110228.23 	153056.87 	99852.05 	124368.6 	106618.05 
THS_EUR,PERS,N1-3,DOM,ACC,BG	33527.86 	21548.81 	19394.97 	27109.89 	20854.68 	17580.45 
THS_EUR,PERS,N1-3,DOM,ACC,CH	: 	358699.98 	367238.63 	323255.39 	371022.55 	272501.05 
THS_EUR,PERS,N1-3,DOM,ACC,CY	30937.49 	28815.04 	31522.58 	30610.04 	19151.37 	38887.8 
THS_EUR,PERS,N1-3,DOM,ACC,CZ	131091.03 	116064.99 	81052.87 	71736.55 	70037.22 	74044.27 
THS_EUR,PERS,N1-3,DOM,ACC,DE	4449804.29 	4461709.76 	4355530.46 	3996783.24 	4873320.83 	4166943.39 
THS_EUR,PERS,N1-3,DOM,ACC,DK	: 	1070002.26 	965114.01 	1065344.98 b	997931.26 b	484690.44 
THS_EUR,PERS,N1-3,DOM,ACC,EA	: 	: 	: 	10361247.37 e	11255283.65 e	10914010.36 e
THS_EUR,PERS,N1-3,DOM,ACC,EE	42115.94 	42092.2 	32022.34 	22583.83 	15454.47 	17069.36 
THS_EUR,PERS,N1-3,DOM,ACC,EL	: 	35210.98 	36318.39 	34763.51 	29364.05 	50554.62 
THS_EUR,PERS,N1-3,DOM,ACC,ES	1935028.3 	1718707.27 	1661552.81 b	1469697.23 	1495329.64 	1385600.7 
THS_EUR,PERS,N1-3,DOM,ACC,EU27	: 	: 	15553644.71 e	14302711.03 e	17213402.07 e	16470389.66 e
THS_EUR,PERS,N1-3,DOM,ACC,EU28	: 	: 	15557604.91 e	14320966.58 e	17249741.87 e	16506450.71 e
THS_EUR,PERS,N1-3,DOM,ACC,FI	496496.43 	460796.33 	447319.43 	442173.86 	484370.46 	503832.81 
THS_EUR,PERS,N1-3,DOM,ACC,FR	2619015.64 	2000879.88 	1892693.04 	2031301.81 	1928468.52 	1926024.1 
THS_EUR,PERS,N1-3,DOM,ACC,HR	27868.23 	26232.98 	20014.86 	31180.53 	38413.88 	38006.99 
THS_EUR,PERS,N1-3,DOM,ACC,HU	249954.2 	197650.22 	180351.93 	159927.62 	124650.67 	143749.4 
THS_EUR,PERS,N1-3,DOM,ACC,IE	404022.26 	360577.5 	325777.23 	272678.94 	258071.63 	254374.22 
THS_EUR,PERS,N1-3,DOM,ACC,IT	1147255.49 	1278199.7 	1019325.71 	836578.57 b	841739.97 	1092710.58 
THS_EUR,PERS,N1-3,DOM,ACC,LT	50364.43 	43459.3 	35737.51 	26863.79 	18424.77 	23541.77 
THS_EUR,PERS,N1-3,DOM,ACC,LU	: 	628.78 u	1074.59 u	1355.5 	1343.84 	1039.02 
THS_EUR,PERS,N1-3,DOM,ACC,LV	: 	8286.69 	8023.76 	10247.07 	10626.03 	7567.61 
THS_EUR,PERS,N1-3,DOM,ACC,MT	10469.23 	9577.69 	8133 	8429.32 b	5880.29 	9513.32 
THS_EUR,PERS,N1-3,DOM,ACC,NL	519514.48 	510255.86 	448326.36 	385625.9 	423368.44 	453679.64 
THS_EUR,PERS,N1-3,DOM,ACC,NO	476235.28 	381006.15 	353509.32 	402241.74 	338094.15 	: 
THS_EUR,PERS,N1-3,DOM,ACC,PL	407852.98 	335309.66 	285490.52 	202607.24 b	638073.71 	609831.44 
THS_EUR,PERS,N1-3,DOM,ACC,PT	92438.1 	74720.58 	83292.48 	64121.89 	39706.01 	54050.39 
THS_EUR,PERS,N1-3,DOM,ACC,RO	113991.71 	109816.75 	93797.48 	80493.4 	72443.67 	67819.47 
THS_EUR,PERS,N1-3,DOM,ACC,SE	: 	745129.79 	662727.8 	483938.52 	: 	: 
