unit,purpose,duration,partner,tra_mode,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,DOM,AIR,AT	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,AIR,BG	: 	: 	: u	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,AIR,CH	: 	: 	: u	: u	: 	: 
THS_EUR,PERS,N1-3,DOM,AIR,CZ	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,AIR,DE	216609.28 u	293878.19 	137950.71 u	184882.44 u	243398.58 	254935.76 
THS_EUR,PERS,N1-3,DOM,AIR,DK	: 	63857.85 	17243.76 u	15087.27 bu	27470.53 b	8477.25 
THS_EUR,PERS,N1-3,DOM,AIR,EA	: 	: 	: 	591248.2 e	655955.96 e	739955.86 e
THS_EUR,PERS,N1-3,DOM,AIR,EE	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,AIR,EL	: 	4630.87 	6897.15 	5372.26 	2655.05 u	8463.73 
THS_EUR,PERS,N1-3,DOM,AIR,ES	248502 	239504.42 	179411.24 b	114491.76 	116383.3 	98331.03 
THS_EUR,PERS,N1-3,DOM,AIR,EU27	: 	: 	923584.02 e	748691.31 e	830329.49 e	981428.37 e
THS_EUR,PERS,N1-3,DOM,AIR,EU28	: 	: 	923305.49 e	748376.62 e	831289.21 e	983592.84 e
THS_EUR,PERS,N1-3,DOM,AIR,FI	33933.62 	28399.18 	29022.56 	30244.37 u	35313.09 	43092.55 
THS_EUR,PERS,N1-3,DOM,AIR,FR	217278.3 	160817.51 	195561.77 	164876.89 	169091.01 	197949.46 
THS_EUR,PERS,N1-3,DOM,AIR,HR	: u	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,AIR,HU	: c	: 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,AIR,IE	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,AIR,IT	200649.02 	119506.83 u	104976.45 u	83166.98 bu	83018.09 	123115.13 
THS_EUR,PERS,N1-3,DOM,AIR,LU	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,AIR,NL	: c	: u	: 	: u	: 	: 
THS_EUR,PERS,N1-3,DOM,AIR,NO	212495.5 	175665.68 	194898.08 	172921.3 	161003.63 	: 
THS_EUR,PERS,N1-3,DOM,AIR,PL	1880.35 u	1824.88 u	1231.34 u	651.18 bu	: u	: u
THS_EUR,PERS,N1-3,DOM,AIR,PT	16517.26 	9000.12 	5393.1 	4182.52 	4997.37 	1863.82 
THS_EUR,PERS,N1-3,DOM,AIR,RO	: c	1018.69 u	508.18 u	1279.68 u	1216.84 u	: u
THS_EUR,PERS,N1-3,DOM,AIR,SE	: 	64229.81 	126185.63 	56394.17 	: 	: 
THS_EUR,PERS,N1-3,DOM,AIR,SK	: c	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,AIR,UK	: 	: 	: 	: 	125944.78 	: u
THS_EUR,PERS,N1-3,DOM,BUS,AT	20911.33 	21433.41 	18648.52 	16618.59 	16177 	17798.07 
THS_EUR,PERS,N1-3,DOM,BUS,BE	: u	565.18 	1015.85 u	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,BUS,BG	6648.04 	5508.57 	4280.18 	7186.51 	6594.07 	7726.14 
THS_EUR,PERS,N1-3,DOM,BUS,CH	: 	2333.58 u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,BUS,CY	489.93 	496.51 	534.87 	355.25 u	442.75 u	792.57 
THS_EUR,PERS,N1-3,DOM,BUS,CZ	10763.85 	8722.21 	11289.88 	10226.62 	11349.28 	11228.38 
THS_EUR,PERS,N1-3,DOM,BUS,DE	227040.34 	247502.7 	193903.01 	156526.16 	181603.58 	145993.05 
THS_EUR,PERS,N1-3,DOM,BUS,DK	: 	64930.9 	42644.2 	52061.48 b	50435.32 b	31694.75 
THS_EUR,PERS,N1-3,DOM,BUS,EA	: 	: 	: 	467418.55 e	470675.44 e	451289.13 e
THS_EUR,PERS,N1-3,DOM,BUS,EE	6444.49 	5523.64 	5911.32 	7661.99 	4044.06 	6112.48 
THS_EUR,PERS,N1-3,DOM,BUS,EL	: 	5981.98 	7647.86 	8543.54 	5236.49 	7411.03 
THS_EUR,PERS,N1-3,DOM,BUS,ES	149555.94 	125032.72 	144066.16 b	73986.23 	76005.52 	67859.36 
THS_EUR,PERS,N1-3,DOM,BUS,EU27	: 	: 	903133.15 e	761307.77 e	795897.6 e	785270.81 e
THS_EUR,PERS,N1-3,DOM,BUS,EU28	: 	: 	911167.02 e	776034.39 e	811461.54 e	800714.08 e
THS_EUR,PERS,N1-3,DOM,BUS,FI	58848.08 	50555.53 	60775.42 	50152.81 	51800.14 	49736.21 
THS_EUR,PERS,N1-3,DOM,BUS,FR	94059.69 	49849.06 	47960.11 	59711.57 	55897.81 	52245.84 
THS_EUR,PERS,N1-3,DOM,BUS,HR	5005.47 	6381.43 	7984.35 	13684.21 	15397.17 	15277.54 
THS_EUR,PERS,N1-3,DOM,BUS,HU	6710.49 	7295.67 	8466.87 	9306 	7497.16 	10417.57 
THS_EUR,PERS,N1-3,DOM,BUS,IE	7112.93 	8913.62 	6203.97 	7164.28 	7498.56 	8223.81 
THS_EUR,PERS,N1-3,DOM,BUS,IT	107218.72 	70079.35 	80091.02 	64272.2 b	53724.57 	73185.04 
THS_EUR,PERS,N1-3,DOM,BUS,LT	2162.79 	2480.58 	2329.9 	1841.78 	1191.6 	1934.18 
THS_EUR,PERS,N1-3,DOM,BUS,LU	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,BUS,LV	: 	4148.91 	4031.97 	5175.2 	5812.53 	5967.51 
THS_EUR,PERS,N1-3,DOM,BUS,NL	5867.09 	3758.43 	4127.02 	2928.21 	5252.18 	3768.11 
THS_EUR,PERS,N1-3,DOM,BUS,NO	12599.59 	17176.21 	24840.09 	23650.65 	22564.98 	: 
THS_EUR,PERS,N1-3,DOM,BUS,PL	53100.82 	49774.22 	46532.56 	38705.19 b	59247.3 	77859.46 
THS_EUR,PERS,N1-3,DOM,BUS,PT	8906.56 	7099.58 	8749.08 	12333.21 	7051.32 	11912.49 
THS_EUR,PERS,N1-3,DOM,BUS,RO	50275.01 	51957.14 	43290.72 	48213.38 	45697.08 	35940.17 
THS_EUR,PERS,N1-3,DOM,BUS,SE	: 	41254.63 	41564.47 	29231.82 	: 	: 
THS_EUR,PERS,N1-3,DOM,BUS,SI	657.83 u	533.87 u	: u	655.68 u	1142.6 	235.08 u
THS_EUR,PERS,N1-3,DOM,BUS,SK	6205.75 	4795.26 u	3872.98 u	7825.39 	3963.63 b	4793.69 
THS_EUR,PERS,N1-3,DOM,BUS,UK	: 	: 	: 	: 	122269.85 	: u
THS_EUR,PERS,N1-3,DOM,CAR,AT	271677.74 	275651.67 	281739.27 	293036.69 	261870.27 	187716.54 
THS_EUR,PERS,N1-3,DOM,CAR,BE	41631.02 b	30354.01 	36055.65 	32299.38 	35491.44 	33137.3 
THS_EUR,PERS,N1-3,DOM,CAR,BG	37906.76 	25103.58 	25501.61 	47079.81 	38597.91 	34086.72 
THS_EUR,PERS,N1-3,DOM,CAR,CH	: 	63303.5 	74374.37 	81067.87 	92649.92 	72590.98 
THS_EUR,PERS,N1-3,DOM,CAR,CY	15997.39 	14607.98 	22007.72 	20623.44 	18101.41 	24255.84 
THS_EUR,PERS,N1-3,DOM,CAR,CZ	151031.6 	131980.51 	119966.94 	143764.53 	128682.03 	133580.94 
THS_EUR,PERS,N1-3,DOM,CAR,DE	2805651.98 	2918911.55 	3352860.67 	3188636.08 	3666122.45 	3643663.61 
THS_EUR,PERS,N1-3,DOM,CAR,DK	: 	844717.38 	870095.07 	1137734.58 b	883127.96 b	395496.83 
THS_EUR,PERS,N1-3,DOM,CAR,EA	: 	: 	: 	9680562.63 e	10049492.69 e	10280476.25 e
THS_EUR,PERS,N1-3,DOM,CAR,EE	41947.39 	43727.13 	45211.57 	33223.84 	25176.21 	20541.48 
THS_EUR,PERS,N1-3,DOM,CAR,EL	: 	35757.55 	37512.92 	39603.92 	38009.5 	67525.85 
THS_EUR,PERS,N1-3,DOM,CAR,ES	1940714.77 	1777885.63 	1919346.4 b	1317151.28 	1317837.69 	1239610.33 
THS_EUR,PERS,N1-3,DOM,CAR,EU27	: 	: 	13804886.55 e	13475239.69 e	14280366.18 e	14013534.75 e
THS_EUR,PERS,N1-3,DOM,CAR,EU28	: 	: 	13843866.79 e	13532264.06 e	14352189.01 e	14090937.65 e
THS_EUR,PERS,N1-3,DOM,CAR,FI	621252.96 	621640.9 	673004.14 	664175.61 	716967.6 	767746.93 
THS_EUR,PERS,N1-3,DOM,CAR,FR	3100173.75 	2473440.9 	2609980.73 	2911657.37 	2884834.69 	2916391.98 
THS_EUR,PERS,N1-3,DOM,CAR,HR	41715.67 	37118.01 	48768.2 	64191.54 	72755.02 	78178.52 
THS_EUR,PERS,N1-3,DOM,CAR,HU	99862.22 	89836.3 	89092.77 	88696.86 	82319.82 	96324.74 
THS_EUR,PERS,N1-3,DOM,CAR,IE	130329.92 	132499.47 	131495.64 	119970 	113431.7 	118664.57 
THS_EUR,PERS,N1-3,DOM,CAR,IT	684894.92 	817321.48 	568154.07 	572354.37 b	534969.2 	790349.53 
THS_EUR,PERS,N1-3,DOM,CAR,LT	24297.01 	26067.13 	26694.92 	19720.43 	16039.56 	15815.74 
THS_EUR,PERS,N1-3,DOM,CAR,LU	: 	682.66 u	883.15 u	1187.57 u	766.86 	501.11 
THS_EUR,PERS,N1-3,DOM,CAR,LV	: 	28497.75 	29942.07 	28462.35 	31680.87 	32417.93 
THS_EUR,PERS,N1-3,DOM,CAR,NL	272683.75 	219104.75 	224569.23 	276597 	235515.39 	257272.3 
THS_EUR,PERS,N1-3,DOM,CAR,NO	506661.24 	447478.3 	410145.84 	436311 	330436.07 	: 
THS_EUR,PERS,N1-3,DOM,CAR,PL	376933.67 	323921.68 	282312.03 	256046.66 b	622404.4 	629295.52 
THS_EUR,PERS,N1-3,DOM,CAR,PT	214711.28 	185102.21 	160836.06 	163463.41 	139991.32 	139490.24 
THS_EUR,PERS,N1-3,DOM,CAR,RO	226128.24 	183073.61 	165148.79 	147454.36 	134451.7 	56140.19 
THS_EUR,PERS,N1-3,DOM,CAR,SE	: 	304173.53 	317966.04 	300949.08 	: 	: 
THS_EUR,PERS,N1-3,DOM,CAR,SI	20577.21 	16518.12 	15663.12 	20378.58 	22762.88 	25282.27 
THS_EUR,PERS,N1-3,DOM,CAR,SK	71086.17 	60366.35 	47478.14 	59064.68 	36411.03 b	47061.6 
THS_EUR,PERS,N1-3,DOM,CAR,UK	: 	: 	: 	: 	2022333.15 	: u
THS_EUR,PERS,N1-3,DOM,LAND,AT	355879.3 	352107.72 	358513.54 	363323.95 	343979.94 	263485.28 
THS_EUR,PERS,N1-3,DOM,LAND,BE	48516.02 b	35112.59 	41698.91 	35552.47 	40153.38 	39842.79 
THS_EUR,PERS,N1-3,DOM,LAND,BG	45059.9 	31148.87 	30261.76 	55359.02 	46571.05 	43509 
THS_EUR,PERS,N1-3,DOM,LAND,CH	: 	118944.89 	119878.86 	131922.32 	141483.29 	123727.08 
THS_EUR,PERS,N1-3,DOM,LAND,CY	16516.59 	15104.96 	22551.91 	20978.69 	18545.16 	25051.63 
THS_EUR,PERS,N1-3,DOM,LAND,CZ	179677.19 	155159.12 	142401.54 	165526.82 	154252.96 	160608.47 
THS_EUR,PERS,N1-3,DOM,LAND,DE	4252570.37 	4380625.52 	4708543.43 	4510161.11 	5071644.52 	4916884.25 
THS_EUR,PERS,N1-3,DOM,LAND,DK	: 	1066928.5 	1067524.97 	1412038.26 b	1114797.16 b	547346.31 
THS_EUR,PERS,N1-3,DOM,LAND,EA	: 	: 	: 	12886920.02 e	13291538.61 e	13412260.85 e
THS_EUR,PERS,N1-3,DOM,LAND,EE	50824.38 	51287.7 	52511.62 	42103.82 	29884.38 	27409.23 
THS_EUR,PERS,N1-3,DOM,LAND,EL	: 	42291.95 	46375.96 	49348.93 	44748.06 	77472.51 
THS_EUR,PERS,N1-3,DOM,LAND,ES	2313305.93 	2109187.4 	2290790.48 b	1530646.76 	1526552.48 	1407012.23 
THS_EUR,PERS,N1-3,DOM,LAND,EU27	: 	: 	18155242.2 e	17833507.55 e	18743966.31 e	18374827.98 e
THS_EUR,PERS,N1-3,DOM,LAND,EU28	: 	: 	18200437.7 e	17903333.1 e	18834482.75 e	18471702.73 e
THS_EUR,PERS,N1-3,DOM,LAND,FI	806284.05 	774195.79 	848080.92 	852765.5 	914190.35 	973517.82 
THS_EUR,PERS,N1-3,DOM,LAND,FR	4128635.84 	3282350.31 	3444683.5 	3920440.03 	3876934.6 	3952058.56 
THS_EUR,PERS,N1-3,DOM,LAND,HR	47108.88 	44524.74 	58831.42 	80020.56 	91811.06 	97978.72 
THS_EUR,PERS,N1-3,DOM,LAND,HU	116002.49 	105625.13 	106472.57 	109158.07 	99799.36 	118282.51 
THS_EUR,PERS,N1-3,DOM,LAND,IE	149648.25 	151260.45 	147950.48 	138433.21 	135201.47 	137561.85 
THS_EUR,PERS,N1-3,DOM,LAND,IT	1031180.65 	1088183.11 	842889.18 	841680.95 b	768936.32 	1023963.48 
THS_EUR,PERS,N1-3,DOM,LAND,LT	27929.28 	29269.11 	29471.22 	21948.86 	17490.77 	18025.1 
THS_EUR,PERS,N1-3,DOM,LAND,LU	: 	1078.83 u	1330.43 u	2728.27 	2993.02 	992.4 
THS_EUR,PERS,N1-3,DOM,LAND,LV	: 	33681.03 	34848.9 	34867.21 	39572.14 	39809.41 
THS_EUR,PERS,N1-3,DOM,LAND,NL	340328.53 	288063.14 	285134.16 	325804.05 	290872.92 	322469.38 
THS_EUR,PERS,N1-3,DOM,LAND,NO	578778.12 	514055.91 	477253.08 	506783.62 	385174.48 	: 
