unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,AFR,AT	: c	: u	: u	: 	: u	: u
THS_EUR,PERS,N1-3,AFR,BE	: u	962.75 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AFR,CH	: 	: 	: 	: u	: u	: 
THS_EUR,PERS,N1-3,AFR,CY	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AFR,DE	: c	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,AFR,DK	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AFR,EE	: 	: 	: u	: 	: 	: 
THS_EUR,PERS,N1-3,AFR,ES	14083.14 	9084.68 	7297.52 b	6271.2 	5292.07 	7994.59 
THS_EUR,PERS,N1-3,AFR,FI	: 	: u	: u	: 	: 	: 
THS_EUR,PERS,N1-3,AFR,FR	: u	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AFR,HR	: u	: u	: u	: u	: 	: u
THS_EUR,PERS,N1-3,AFR,HU	: 	: 	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AFR,IE	: 	: u	: u	: u	: u	: 
THS_EUR,PERS,N1-3,AFR,IT	: u	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AFR,LT	: 	: 	: 	: u	: u	: u
THS_EUR,PERS,N1-3,AFR,LU	: 	: 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AFR,MT	: 	: u	: 	: 	: u	: u
THS_EUR,PERS,N1-3,AFR,NL	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AFR,NO	: u	: 	: u	: 	: u	: 
THS_EUR,PERS,N1-3,AFR,PL	: c	: u	: u	: u	: 	: u
THS_EUR,PERS,N1-3,AFR,PT	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AFR,SE	: 	: 	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AFR,SI	: 	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,AFR,UK	: 	: 	: 	: 	8349.04 u	: u
THS_EUR,PERS,N1-3,AFR_OTH,AT	: 	: u	: u	: 	: u	: u
THS_EUR,PERS,N1-3,AFR_OTH,BE	: u	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AFR_OTH,CY	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AFR_OTH,DE	: c	: 	: 	: u	: u	: 
THS_EUR,PERS,N1-3,AFR_OTH,DK	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AFR_OTH,EE	: 	: 	: u	: 	: 	: 
THS_EUR,PERS,N1-3,AFR_OTH,ES	: 	: u	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AFR_OTH,FI	: 	: u	: u	: 	: 	: 
THS_EUR,PERS,N1-3,AFR_OTH,FR	: 	: u	: u	: 	: 	: 
THS_EUR,PERS,N1-3,AFR_OTH,HR	: u	: u	: u	: u	: 	: u
THS_EUR,PERS,N1-3,AFR_OTH,HU	: 	: 	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AFR_OTH,IE	: 	: u	: 	: u	: u	: 
THS_EUR,PERS,N1-3,AFR_OTH,IT	: u	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AFR_OTH,LT	: 	: 	: 	: u	: u	: u
THS_EUR,PERS,N1-3,AFR_OTH,LU	: 	: 	: 	: u	: 	: 
THS_EUR,PERS,N1-3,AFR_OTH,MT	: 	: 	: 	: 	: u	: 
THS_EUR,PERS,N1-3,AFR_OTH,NL	: c	: u	: 	: 	: u	: u
THS_EUR,PERS,N1-3,AFR_OTH,NO	: u	: 	: u	: 	: u	: 
THS_EUR,PERS,N1-3,AFR_OTH,PL	: 	: u	: u	: u	: 	: u
THS_EUR,PERS,N1-3,AFR_OTH,PT	: c	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AFR_OTH,SE	: 	: 	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AFR_OTH,SI	: 	: 	: 	: u	: 	: 
THS_EUR,PERS,N1-3,AFR_OTH,UK	: 	: 	: 	: 	: u	: u
THS_EUR,PERS,N1-3,AME,AT	: c	: u	: u	: u	: 	: u
THS_EUR,PERS,N1-3,AME,BE	: u	8676.05 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME,CH	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AME,DE	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME,DK	: 	: u	: u	: u	: u	: 
THS_EUR,PERS,N1-3,AME,EE	: 	: u	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AME,EL	: 	: 	: 	: 	: u	: 
THS_EUR,PERS,N1-3,AME,ES	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME,FR	: u	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME,HR	: 	: u	: u	: u	: u	: 
THS_EUR,PERS,N1-3,AME,HU	: c	: u	: u	: u	: 	: u
THS_EUR,PERS,N1-3,AME,IE	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME,IT	: u	: 	: 	: 	: u	: 
THS_EUR,PERS,N1-3,AME,LT	: 	: 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME,LU	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME,LV	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AME,MT	: c	: 	: 	: 	: u	: u
THS_EUR,PERS,N1-3,AME,NL	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME,NO	: u	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,AME,PL	: c	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AME,PT	: c	: u	: u	: 	: u	: u
THS_EUR,PERS,N1-3,AME,SE	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AME,SI	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AME,UK	: 	: 	: 	: 	8870.55 	: u
THS_EUR,PERS,N1-3,AME_C_S,AT	: c	: u	: u	: 	: 	: 
THS_EUR,PERS,N1-3,AME_C_S,BE	: u	5071.37 	: 	: u	: 	: 
THS_EUR,PERS,N1-3,AME_C_S,DE	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME_C_S,DK	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AME_C_S,EE	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AME_C_S,ES	: c	: u	: u	: 	: u	: u
THS_EUR,PERS,N1-3,AME_C_S,FR	: 	: u	: u	: 	: 	: u
THS_EUR,PERS,N1-3,AME_C_S,HR	: 	: u	: u	: u	: u	: 
THS_EUR,PERS,N1-3,AME_C_S,IE	: 	: 	: u	: 	: u	: u
THS_EUR,PERS,N1-3,AME_C_S,IT	: u	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AME_C_S,LT	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AME_C_S,LU	: 	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,AME_C_S,NL	: c	: u	: u	: u	: 	: u
THS_EUR,PERS,N1-3,AME_C_S,NO	: 	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,AME_C_S,PL	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AME_C_S,PT	: c	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AME_C_S,SE	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AME_C_S,UK	: 	: 	: 	: 	: u	: u
THS_EUR,PERS,N1-3,AME_C_S_OTH,AT	: c	: u	: u	: 	: 	: 
THS_EUR,PERS,N1-3,AME_C_S_OTH,BE	: u	5071.37 	: 	: u	: 	: 
THS_EUR,PERS,N1-3,AME_C_S_OTH,DE	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME_C_S_OTH,DK	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AME_C_S_OTH,ES	: 	: u	: u	: 	: u	: 
THS_EUR,PERS,N1-3,AME_C_S_OTH,FR	: 	: u	: u	: 	: 	: u
THS_EUR,PERS,N1-3,AME_C_S_OTH,HR	: 	: u	: u	: u	: u	: 
THS_EUR,PERS,N1-3,AME_C_S_OTH,IE	: 	: 	: u	: 	: u	: u
THS_EUR,PERS,N1-3,AME_C_S_OTH,IT	: u	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AME_C_S_OTH,LU	: 	: 	: 	: u	: u	: 
THS_EUR,PERS,N1-3,AME_C_S_OTH,NL	: c	: u	: u	: u	: 	: u
THS_EUR,PERS,N1-3,AME_C_S_OTH,NO	: 	: 	: 	: u	: u	: 
THS_EUR,PERS,N1-3,AME_C_S_OTH,PL	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AME_C_S_OTH,PT	: c	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AME_C_S_OTH,SE	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AME_C_S_OTH,UK	: 	: 	: 	: 	: 	: u
