unit,purpose,duration,partner,age,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
THS_EUR,PERS,N1-3,DOM,Y15-24,AT	207954.47 	203015.11 	167485.56 	166899.6 	196727.08 	172036.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,BE	29097.42 b	17208.93 	30369.36 	11618.51 	20682.85 	11461.01 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,BG	27015.38 	15655.46 	14262.95 	26186.19 	28019.13 	24823.67 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,CH	: 	64014.13 u	44977.12 u	99299.34 u	52309.19 u	81578.94 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,CY	8714.23 	8799.86 	7331.81 	8745.41 	7894.45 	7036.08 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,CZ	78303.33 	72652.47 	64113.85 	66893.69 	69611.12 	75909.98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,DE	1837240.15 	1929422.78 	2037598.29 	1926304.44 	2356545.73 	1595918.52 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,DK	: 	835869.7 	576620.98 	938417.25 b	868149.09 b	517255.48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,EA	: 	: 	: 	5291515.01 e	5710379.49 e	5116370.13 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,EE	36106.7 	30291.7 	24419.06 	24583.2 	13830.69 	12204.54 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,EL	: 	19134.2 	19904.67 	24742.95 	15000.89 	24857.54 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,ES	1243534.01 	1104273.95 	916401.27 b	509842.6 	575313.38 	552205.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,EU27	: 	: 	7554292.25 e	8046571.22 e	8585358.22 e	7792689.32 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,EU28	: 	: 	7577916.67 e	8113479.58 e	8643262.83 e	7836062.23 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,FI	458997.69 	452597.97 	464268.06 	476426.76 	504958.53 	568958.85 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,FR	1698102.37 	955607.53 	910268.86 	1620801.14 	1492099.02 	1407417.72 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,HR	23454.24 	23754.46 	28692.03 	67054.69 	58186.46 	43797.99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,HU	52361.5 	47068.83 	60243.85 	47871.89 	35155.83 	56514.82 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,IE	80717.57 	74927.26 	55403.41 	44528.11 	43531.88 	37526.97 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,IT	324187.61 	314154.62 	236900.48 	290253.89 b	266465.65 	473161.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,LT	17494.51 	16868.66 	14862.78 	12742.96 	10300.92 	10752.44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,LU	: 	: u	: u	: u	4998.99 u	1368.15 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,Y15-24,LV	: 	13188.07 	13118.68 	14702.31 	19336.01 	14146.66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
