unit,purpose,duration,partner,quantile,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,DOM,Q1,EA	: 	: 	: 	: 	182291.44 e	7910.3 e
THS_EUR,PERS,N1-3,DOM,Q1,EE	20050.7 	18525.61 	16010.59 	15263.22 	14359.87 	7909.33 
THS_EUR,PERS,N1-3,DOM,Q1,EU27	: 	: 	: 	: 	401061.04 e	8057.65 e
THS_EUR,PERS,N1-3,DOM,Q1,EU28	: 	: 	: 	: 	401005.82 e	8056.38 e
THS_EUR,PERS,N1-3,DOM,Q1,NL	132469.96 	220264.56 	224957.05 	195931.22 	167909.2 	: 
THS_EUR,PERS,N1-3,DOM,Q1,RO	172275.52 	211899.11 	221030.61 	222959.11 	212299.38 	: 
THS_EUR,PERS,N1-3,DOM,Q2,EA	: 	: 	: 	: 	282823.01 e	9481.04 e
THS_EUR,PERS,N1-3,DOM,Q2,EE	32847.7 	32087.47 	25617.23 	28011.5 	11498.51 	9479.87 
THS_EUR,PERS,N1-3,DOM,Q2,EU27	: 	: 	: 	: 	556098.77 e	9657.65 e
THS_EUR,PERS,N1-3,DOM,Q2,EU28	: 	: 	: 	: 	556022.21 e	9656.13 e
THS_EUR,PERS,N1-3,DOM,Q2,NL	269021.22 	289226.03 	227771.35 	263391.64 	271289.8 	: 
THS_EUR,PERS,N1-3,DOM,Q2,RO	330880.96 	343186.76 	320531.3 	289030.96 	264308.04 	: 
THS_EUR,PERS,N1-3,DOM,Q3,EA	: 	: 	: 	: 	423636.91 e	9922.7 e
THS_EUR,PERS,N1-3,DOM,Q3,EE	50489.58 	44213.4 	41337.14 	28146.58 	16407.54 	9921.48 
THS_EUR,PERS,N1-3,DOM,Q3,EU27	: 	: 	: 	: 	532364.65 e	10107.54 e
THS_EUR,PERS,N1-3,DOM,Q3,EU28	: 	: 	: 	: 	532291.36 e	10105.95 e
THS_EUR,PERS,N1-3,DOM,Q3,NL	440717.53 	475378.69 	459808.94 	440145.96 	407177.38 	: 
THS_EUR,PERS,N1-3,DOM,Q3,RO	290053.93 	184561.94 	113590.15 	107365.99 	100161.52 	: 
THS_EUR,PERS,N1-3,DOM,Q4,EA	: 	: 	: 	: 	351999.6 e	42276.44 e
THS_EUR,PERS,N1-3,DOM,Q4,EE	87636.62 	78930.11 	71706.31 	47066.72 	36784.47 	42271.24 
THS_EUR,PERS,N1-3,DOM,Q4,EU27	: 	: 	: 	: 	373228.79 e	43063.97 e
THS_EUR,PERS,N1-3,DOM,Q4,EU28	: 	: 	: 	: 	373177.41 e	43057.18 e
THS_EUR,PERS,N1-3,DOM,Q4,NL	605773.43 	396564.07 	325860.38 	312650.88 	315171.93 	: 
THS_EUR,PERS,N1-3,DOM,Q4,RO	27500.7 	29234.96 	11113.94 	12793.55 	15230.36 	: 
THS_EUR,PERS,N1-3,DOM,TOTAL,AT	1756473.44 	1783930.58 	1677039.56 	1618274.85 	1498800.73 	1378005.39 
THS_EUR,PERS,N1-3,DOM,TOTAL,BE	346106.11 b	268493.33 	350499.98 	225324.19 	282559.75 	244673.7 
THS_EUR,PERS,N1-3,DOM,TOTAL,BG	173655.3 	110528.56 	103411.01 	162008.16 	131436.61 	117381.31 
THS_EUR,PERS,N1-3,DOM,TOTAL,CH	: 	902648.07 	867966.81 	802639.94 	891896.36 	723739.41 
THS_EUR,PERS,N1-3,DOM,TOTAL,CY	121395.98 	107557.56 	101756.47 	104826.99 	82144.51 	66034.09 
THS_EUR,PERS,N1-3,DOM,TOTAL,CZ	824972.3 	725201.02 	627175.44 	587701.59 	566020.34 	601801.5 
THS_EUR,PERS,N1-3,DOM,TOTAL,DE	13172793.97 	13489819.56 	13724107.36 	12723397.25 	14640156.16 	13659349.25 
THS_EUR,PERS,N1-3,DOM,TOTAL,DK	: 	3471648.75 	3254787.43 	3804051.36 b	3415845.5 b	1658801.99 
THS_EUR,PERS,N1-3,DOM,TOTAL,EA	: 	: 	: 	: 	43932875.06 e	44020429.23 e
THS_EUR,PERS,N1-3,DOM,TOTAL,EE	191024.59 	173756.59 	154671.28 	118488.01 	79050.4 	69581.92 
THS_EUR,PERS,N1-3,DOM,TOTAL,EL	: 	193492.75 	203928.14 	214047.73 	167120.75 	274190.62 
