unit,purpose,duration,partner,wstatus,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,AT	1756473.44 	1783930.58 	1677039.56 	1618274.85 	1498800.73 	1378005.39 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,BE	346106.11 b	268493.33 	350499.98 	225324.19 	282559.75 	244673.7 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,BG	173655.3 	110528.56 	103411.01 	162008.16 	131436.61 	117381.31 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,CH	: 	902648.07 	867966.81 	802639.94 	891896.36 	723739.41 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,CY	121395.98 	107557.56 	101756.47 	104826.99 	82144.51 	66034.09 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,CZ	824972.3 	725201.02 	627175.44 	587701.59 	566020.34 	601801.5 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,DE	13172793.97 	13489819.56 	13724107.36 	: 	14640156.16 	13659349.25 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,DK	: 	3471648.75 	3254787.43 	3804051.36 b	3415845.5 b	1658801.99 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,EA	: 	: 	: 	: 	43932875.06 e	44020429.23 e
THS_EUR,PERS,N1-3,DOM,ACT_INAC,EE	191024.59 	173756.59 	154671.28 	118488.01 	79050.4 	69581.92 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,EL	: 	193492.75 	203928.14 	214047.73 	167120.75 	274190.62 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,ES	10298583.43 	9264929.74 	8418607.26 b	6357128.08 	6372824.09 	6348553.43 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,EU27	: 	: 	62362957.17 e	: 	62743696.16 e	62142165.63 e
THS_EUR,PERS,N1-3,DOM,ACT_INAC,EU28	: 	: 	62463397.24 e	: 	63022039.49 e	62375305.83 e
THS_EUR,PERS,N1-3,DOM,ACT_INAC,FI	2986597.16 	2884047.47 	2930696.68 	2838131.51 	3075514.35 	3179220.68 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,FR	13613974.99 	11466563.94 	11481802.59 	12672459.76 	12266654.44 	12403848.56 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,HR	136713.52 	123298.14 	154173.85 	235661.41 	282374.58 	238508.66 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,HU	550419.97 	476846.01 	463800.01 	425073.92 	365598.41 	427972.81 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,IE	1007655.72 	936724.73 	881141.98 	763306.94 	713903.17 	710416.44 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,IT	3789711.8 	4006239.35 	3182930.75 	2664743.92 b	2715778.83 	3638688.57 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,LT	113377.99 	103850.89 	98605.28 	84394.8 	70238.07 	76251.83 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,LU	: 	2962.9 u	3619.04 u	5610.72 	8184.42 	3640.28 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,LV	: 	87553.23 	89146.36 	87922.42 	97069.94 	98562.41 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,MT	30590.96 	30276.51 	23404.06 	23056.86 b	17479.11 	20592.74 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,NL	1447982.14 	1381433.35 	1238397.72 	1212119.69 	1161548.32 	1231365.15 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,NO	2246129.42 	: 	1949039.44 	2073311.04 	1743094.64 	: 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,PL	1859631.79 	1589957.15 	1386776.23 	1153214.2 b	2457222.72 	2637260.92 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,PT	703420.78 	593336.11 	594962.29 	519632.98 	375931.28 	405358.43 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,RO	820711.11 	768882.77 	666266 	632149.61 	591999.3 	474353.41 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,SE	: 	2467830.78 	2413757.05 	1878830.75 	: 	: 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,SI	93663.85 	86760.32 	77051.98 	99678.5 	98135.66 	97417.87 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,SK	521409.95 	392681.4 	302901.57 	274000.48 	227522.69 b	231232.59 
THS_EUR,PERS,N1-3,DOM,ACT_INAC,UK	: 	: 	: 	: 	10481544.02 	11062745.08 
THS_EUR,PERS,N1-3,DOM,EDUC,AT	138034.92 	156439.68 	109898.01 	124749.89 	149170.58 	115834.17 
THS_EUR,PERS,N1-3,DOM,EDUC,EA	: 	: 	: 	: 	1167877.35 e	1201473.78 e
THS_EUR,PERS,N1-3,DOM,EDUC,EE	17056.46 	12389.72 	9635.45 	14318.53 	5346.65 	3738.52 
THS_EUR,PERS,N1-3,DOM,EDUC,ES	954280.58 	826550.06 	617435.37 b	461190.58 	504456.71 	508268.69 
THS_EUR,PERS,N1-3,DOM,EDUC,EU27	: 	: 	1571258.99 e	: 	1334447.52 e	1657308.4 e
THS_EUR,PERS,N1-3,DOM,EDUC,EU28	: 	: 	1590097.52 e	: 	1334263.8 e	1657046.96 e
THS_EUR,PERS,N1-3,DOM,EDUC,FI	371505.85 	380475.89 	370829.91 	404324.92 	363189.23 	435529.16 
THS_EUR,PERS,N1-3,DOM,EDUC,HR	16121.27 	: 	18140.81 	61720 	: 	: 
THS_EUR,PERS,N1-3,DOM,EDUC,HU	38632.94 	38288.36 	34520.46 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,EDUC,LU	: 	: 	: 	: 	: 	881.22 u
THS_EUR,PERS,N1-3,DOM,EDUC,LV	: 	8549.15 	7237.42 	6314.33 	12103.29 	8407.38 
THS_EUR,PERS,N1-3,DOM,EDUC,MT	: 	2851.64 	2345.43 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,EDUC,NL	137614.59 	137858.2 	91705.18 	89089.94 	109599.16 	101803.15 
THS_EUR,PERS,N1-3,DOM,EDUC,PL	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,EDUC,PT	18479.81 	45399.63 	44722.29 	: 	21168.56 	21867.7 
THS_EUR,PERS,N1-3,DOM,EDUC,RO	92199.47 	83475.23 	77466.29 	81952.96 	63269.06 	62334.09 
THS_EUR,PERS,N1-3,DOM,EDUC,SI	: 	8045.26 	6262.72 	17469.18 	14803.17 	13403.36 
THS_EUR,PERS,N1-3,DOM,EMP,AT	1223148.41 	1216122.2 	1156659.04 	1138667.94 	1015863 	943179.08 
