unit,purpose,duration,partner,trip_arr,geo\time	2017 	2016 	2015 	2014 
THS_EUR,PERS,N1-3,DOM,ACC_TO_TA,AT	324615.31 	: 	: 	190170.97 
THS_EUR,PERS,N1-3,DOM,ACC_TO_TA,BE	23927.74 b	: 	: 	14930.7 
THS_EUR,PERS,N1-3,DOM,ACC_TO_TA,BG	14369.23 	: 	: 	5722.33 u
THS_EUR,PERS,N1-3,DOM,ACC_TO_TA,CH	: 	: 	: u	44475.16 u
THS_EUR,PERS,N1-3,DOM,ACC_TO_TA,CY	17048.72 	: 	: 	17496.81 
THS_EUR,PERS,N1-3,DOM,ACC_TO_TA,CZ	19192.6 u	: 	: 	14925.33 u
THS_EUR,PERS,N1-3,DOM,ACC_TO_TA,DE	1222980.1 	: 	: 	1229006.04 
THS_EUR,PERS,N1-3,DOM,ACC_TO_TA,DK	: 	: 	: 	45918.43 
THS_EUR,PERS,N1-3,DOM,ACC_TO_TA,EA	: 	: 	: 	7540584.97 e
THS_EUR,PERS,N1-3,DOM,ACC_TO_TA,EE	22420.17 	: 	: 	2696.46 u
THS_EUR,PERS,N1-3,DOM,ACC_TO_TA,EL	: 	: 	: 	21507.8 
THS_EUR,PERS,N1-3,DOM,ACC_TO_TA,ES	2146880.9 	: 	: 	353747.14 
THS_EUR,PERS,N1-3,DOM,ACC_TO_TA,EU27	: 	: 	: 	9099020.91 e
THS_EUR,PERS,N1-3,DOM,ACC_TO_TA,EU28	: 	: 	: 	9099307.97 e
THS_EUR,PERS,N1-3,DOM,ACC_TO_TA,FI	238653.74 	: 	: 	135571.63 
THS_EUR,PERS,N1-3,DOM,ACC_TO_TA,FR	217611.9 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,ACC_TO_TA,HR	: 	: 	: 	9934.51 
THS_EUR,PERS,N1-3,DOM,ACC_TO_TA,HU	8798.87 	: 	: 	7185.21 
THS_EUR,PERS,N1-3,DOM,ACC_TO_TA,IE	71338.09 	: 	: 	43192.96 
THS_EUR,PERS,N1-3,DOM,ACC_TO_TA,IT	446039.64 	: 	: 	229180.45 
THS_EUR,PERS,N1-3,DOM,ACC_TO_TA,LT	: c	: 	: 	19320.01 
THS_EUR,PERS,N1-3,DOM,ACC_TO_TA,LU	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,ACC_TO_TA,LV	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,ACC_TO_TA,MT	4947.15 	: 	: 	2026.42 
