unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 
THS_EUR,PERS,N1-3,AFR,ES	: c	: 	: 	: u
THS_EUR,PERS,N1-3,AFR,FR	: u	: 	: 	: 
THS_EUR,PERS,N1-3,AFR,HU	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AFR,IE	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AFR,LU	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AFR,PL	: c	: 	: 	: u
THS_EUR,PERS,N1-3,AFR,PT	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AFR_OTH,HU	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AFR_OTH,IE	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AFR_OTH,LU	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AFR_OTH,PL	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AME,AT	: c	: 	: 	: 
THS_EUR,PERS,N1-3,AME,DK	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AME,HR	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AME,IT	: u	: 	: 	: 
THS_EUR,PERS,N1-3,AME,NL	: c	: 	: 	: u
THS_EUR,PERS,N1-3,AME,PL	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AME_C_S,AT	: c	: 	: 	: 
THS_EUR,PERS,N1-3,AME_C_S,HR	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AME_C_S,NL	: c	: 	: 	: u
THS_EUR,PERS,N1-3,AME_C_S,PL	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AME_C_S_OTH,AT	: c	: 	: 	: 
THS_EUR,PERS,N1-3,AME_C_S_OTH,HR	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AME_C_S_OTH,NL	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AME_C_S_OTH,PL	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AME_N,DK	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AME_N,IT	: u	: 	: 	: 
THS_EUR,PERS,N1-3,AME_N,NL	: c	: 	: 	: 
THS_EUR,PERS,N1-3,ASI,AT	: c	: 	: 	: 
THS_EUR,PERS,N1-3,ASI,BE	: u	: 	: 	: 
THS_EUR,PERS,N1-3,ASI,BG	: 	: 	: 	: u
THS_EUR,PERS,N1-3,ASI,CY	: c	: 	: 	: 
THS_EUR,PERS,N1-3,ASI,HU	: c	: 	: 	: u
THS_EUR,PERS,N1-3,ASI,NO	: u	: u	: 	: 
THS_EUR,PERS,N1-3,ASI_OTH,AT	: c	: 	: 	: 
THS_EUR,PERS,N1-3,ASI_OTH,BE	: u	: 	: 	: 
THS_EUR,PERS,N1-3,ASI_OTH,BG	: 	: 	: 	: u
THS_EUR,PERS,N1-3,ASI_OTH,CY	: c	: 	: 	: 
THS_EUR,PERS,N1-3,ASI_OTH,HU	: c	: 	: 	: u
THS_EUR,PERS,N1-3,ASI_OTH,NO	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AT,AT	348440.57 	: 	: 	411166.9 
THS_EUR,PERS,N1-3,AT,BE	: u	: 	: 	: u
THS_EUR,PERS,N1-3,AT,CH	: 	: 	: u	: u
THS_EUR,PERS,N1-3,AT,CY	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AT,CZ	: c	: 	: 	: u
THS_EUR,PERS,N1-3,AT,DE	: c	: 	: 	120933.13 u
THS_EUR,PERS,N1-3,AT,DK	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AT,EE	: c	: 	: 	: u
THS_EUR,PERS,N1-3,AT,EL	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AT,ES	: c	: 	: 	: u
THS_EUR,PERS,N1-3,AT,FR	: u	: 	: 	: 
THS_EUR,PERS,N1-3,AT,HR	: u	: 	: 	6332.41 u
THS_EUR,PERS,N1-3,AT,HU	24553.01 	: 	: 	27086.19 
THS_EUR,PERS,N1-3,AT,IE	: c	: 	: 	: u
THS_EUR,PERS,N1-3,AT,IT	: u	: 	: 	: 
THS_EUR,PERS,N1-3,AT,LU	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AT,MT	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AT,NL	: c	: 	: 	: u
THS_EUR,PERS,N1-3,AT,PL	: c	: 	: 	: u
THS_EUR,PERS,N1-3,AT,PT	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AT,RO	: c	: 	: 	: u
THS_EUR,PERS,N1-3,AT,SI	: c	: 	: 	: u
THS_EUR,PERS,N1-3,AT,SK	: c	: 	: 	: u
THS_EUR,PERS,N1-3,BE,AT	: c	: 	: 	: u
THS_EUR,PERS,N1-3,BE,BE	14589.47 u	: 	: 	: u
THS_EUR,PERS,N1-3,BE,CY	: c	: 	: 	: 
THS_EUR,PERS,N1-3,BE,DE	: c	: 	: 	: u
THS_EUR,PERS,N1-3,BE,EE	: 	: 	: 	: u
THS_EUR,PERS,N1-3,BE,EL	: 	: 	: 	: u
THS_EUR,PERS,N1-3,BE,ES	: c	: 	: 	: u
THS_EUR,PERS,N1-3,BE,FR	: u	: 	: 	: 
THS_EUR,PERS,N1-3,BE,HU	11491.45 u	: 	: 	: u
THS_EUR,PERS,N1-3,BE,IT	: 	: 	: 	: u
THS_EUR,PERS,N1-3,BE,LT	: c	: 	: 	: 
THS_EUR,PERS,N1-3,BE,LU	: 	: 	: 	: u
THS_EUR,PERS,N1-3,BE,MT	: c	: 	: 	: u
THS_EUR,PERS,N1-3,BE,NL	: c	: 	: 	: u
THS_EUR,PERS,N1-3,BE,PL	: 	: 	: 	: u
THS_EUR,PERS,N1-3,BE,PT	: 	: 	: 	: u
THS_EUR,PERS,N1-3,BE,SI	: 	: 	: 	: u
THS_EUR,PERS,N1-3,BG,BG	8717.87 	: 	: 	8568.97 u
THS_EUR,PERS,N1-3,BG,DE	: c	: 	: 	: 
THS_EUR,PERS,N1-3,BG,EL	: 	: 	: 	: u
THS_EUR,PERS,N1-3,BG,FR	: u	: 	: 	: 
THS_EUR,PERS,N1-3,BG,NL	: c	: 	: 	: 
THS_EUR,PERS,N1-3,BG,RO	: c	: 	: 	: u
THS_EUR,PERS,N1-3,BR,NL	: c	: 	: 	: 
THS_EUR,PERS,N1-3,CH,AT	: c	: 	: 	: u
THS_EUR,PERS,N1-3,CH,CH	: 	: 	: u	: u
