unit,purpose,duration,partner,expend,geo\time	2016 	2015 	2014 	2013 	2012 
EUR,PERS,N1-3,DOM,ACC,AT	54.07 	51.48 	46.01 	50.64 	66.02 
EUR,PERS,N1-3,DOM,ACC,BE	34.41 	37.13 	37.12 	39.5 	36.76 
EUR,PERS,N1-3,DOM,ACC,BG	6.41 	6.4 	6.66 	5.42 	4.58 
EUR,PERS,N1-3,DOM,ACC,CH	52.03 	53.58 	46.39 	47.91 	39.68 
EUR,PERS,N1-3,DOM,ACC,CY	15.14 	16.97 	19.05 	12.45 	21.33 
EUR,PERS,N1-3,DOM,ACC,CZ	3.39 	2.58 	1.93 	2.09 	2.05 
EUR,PERS,N1-3,DOM,ACC,DE	26.45 	24.47 	24.7 	27.7 	24.86 
EUR,PERS,N1-3,DOM,ACC,DK	39.9 	31.85 	35.45 b	33.78 b	18 
EUR,PERS,N1-3,DOM,ACC,EA	: 	: 	15.64 e	16.63 	15.9 
EUR,PERS,N1-3,DOM,ACC,EE	10.09 	9.07 	6.65 	6.6 	7.38 
EUR,PERS,N1-3,DOM,ACC,EL	11.51 	11.2 	9.71 	10.04 	9.2 
EUR,PERS,N1-3,DOM,ACC,ES	10.2 	10.33 b	9.16 	9.15 	8.34 
EUR,PERS,N1-3,DOM,ACC,EU27	: 	15.93 	14.63 e	17.63 	16.67 
EUR,PERS,N1-3,DOM,ACC,EU28	: 	15.88 	14.58 e	17.57 	16.61 
EUR,PERS,N1-3,DOM,ACC,FI	12.18 	11.75 	11.96 	12.42 	12.86 
EUR,PERS,N1-3,DOM,ACC,FR	12.44 	11.6 	11.01 	10.6 	10.42 
EUR,PERS,N1-3,DOM,ACC,HR	10.09 	5.49 	5.85 	6.7 	6.53 
EUR,PERS,N1-3,DOM,ACC,HU	10.98 	9.71 	8.94 	7.57 	7.08 
EUR,PERS,N1-3,DOM,ACC,IE	36.08 	34.23 	32.65 	32.68 	31.71 
EUR,PERS,N1-3,DOM,ACC,IT	29.01 	29.48 	23.03 b	25.26 	25.92 
EUR,PERS,N1-3,DOM,ACC,LT	13.75 	10.5 	7.91 	5.9 	7.17 
EUR,PERS,N1-3,DOM,ACC,LU	31.13 u	48.08 u	39.6 	20.1 	18.98 
EUR,PERS,N1-3,DOM,ACC,LV	2.02 	2.07 	2.49 	2.51 	1.6 
EUR,PERS,N1-3,DOM,ACC,MT	23.63 	21.97 	24.86 b	18.29 	28.77 
EUR,PERS,N1-3,DOM,ACC,NL	18.4 	16.38 	13.29 	14.28 	13.61 
EUR,PERS,N1-3,DOM,ACC,PL	6.89 	6.48 	4.83 b	12.6 	12.91 
EUR,PERS,N1-3,DOM,ACC,PT	4.6 	5.28 	4.35 	2.77 	3.99 
EUR,PERS,N1-3,DOM,ACC,RO	5.01 	4.53 	3.71 	3.45 	3.46 
EUR,PERS,N1-3,DOM,ACC,SE	21.69 	18.89 	15.75 	: 	: 
EUR,PERS,N1-3,DOM,ACC,SI	14.59 	14.06 	12.39 	10.12 	9.08 
EUR,PERS,N1-3,DOM,ACC,SK	11.72 	10.96 	12.83 	10.55 b	14.75 
EUR,PERS,N1-3,DOM,ACC,UK	: 	: 	: 	31 	31.65 
EUR,PERS,N1-3,DOM,DUR,AT	1.61 	1.65 	2.63 	2.38 	1.67 
EUR,PERS,N1-3,DOM,DUR,BE	1.21 	3.33 	3.04 	4.76 	5.08 
EUR,PERS,N1-3,DOM,DUR,BG	0 	0 	0 	0 	0 
EUR,PERS,N1-3,DOM,DUR,CH	1.34 	0.03 	1.45 	: 	: 
EUR,PERS,N1-3,DOM,DUR,CY	0 	0 	0 	0 	0.52 
EUR,PERS,N1-3,DOM,DUR,CZ	0.02 	0.08 	0 	0.02 	0 
EUR,PERS,N1-3,DOM,DUR,DE	6.28 	5.88 	9.14 	6.38 	4.92 
EUR,PERS,N1-3,DOM,DUR,DK	15.64 	13.2 	14.38 b	14.3 b	7.62 
EUR,PERS,N1-3,DOM,DUR,EA	: 	: 	2.77 e	2.35 	2.06 
EUR,PERS,N1-3,DOM,DUR,EE	0.14 	0.04 	2.59 	3.35 	1.29 
EUR,PERS,N1-3,DOM,DUR,EL	0.01 	0.2 	0.18 	0.07 	12.22 
EUR,PERS,N1-3,DOM,DUR,ES	1.08 	1.85 b	0.06 	0.16 	0.5 
EUR,PERS,N1-3,DOM,DUR,EU27	: 	2.53 	2.79 e	4.21 	4.1 
EUR,PERS,N1-3,DOM,DUR,EU28	: 	2.52 	2.77 e	4.18 	4.08 
EUR,PERS,N1-3,DOM,DUR,FI	3.6 	0.89 	3.1 	2.86 	2.31 
EUR,PERS,N1-3,DOM,DUR,FR	0.83 	0.79 	0.7 	0.75 	0.66 
EUR,PERS,N1-3,DOM,DUR,HR	1.06 	0 	0 	0.36 	1.01 
EUR,PERS,N1-3,DOM,DUR,HU	0.04 	0.07 	0.31 	0.04 	0.07 
EUR,PERS,N1-3,DOM,DUR,IE	2.95 	1.94 	2.37 	2.1 	2.27 
EUR,PERS,N1-3,DOM,DUR,IT	0.32 	0.85 	0.33 b	0 	0.43 
EUR,PERS,N1-3,DOM,DUR,LT	0.23 	0.35 	0.14 	0.25 	0.12 
EUR,PERS,N1-3,DOM,DUR,LU	7.39 u	0 u	0 	0 	0 
EUR,PERS,N1-3,DOM,DUR,LV	0 	0.23 	0.12 	0.56 	0.2 
EUR,PERS,N1-3,DOM,DUR,MT	0.12 	0.08 	2.3 b	0 	0 
EUR,PERS,N1-3,DOM,DUR,NL	0.18 	0.01 	0.04 	4.07 	4.09 
EUR,PERS,N1-3,DOM,DUR,PL	0.18 	0.39 	0.3 b	1.87 	2.65 
EUR,PERS,N1-3,DOM,DUR,PT	0.46 	2.08 	0.87 	0.02 	0.02 
EUR,PERS,N1-3,DOM,DUR,RO	0.05 	0.05 	0.03 	0.04 	0.01 
EUR,PERS,N1-3,DOM,DUR,SE	5.26 	3.1 	3.07 	: 	: 
EUR,PERS,N1-3,DOM,DUR,SI	0.01 	0 	0 	0.01 	0.05 
EUR,PERS,N1-3,DOM,DUR,SK	0.3 	0.86 	0.81 	0.88 b	3.34 
EUR,PERS,N1-3,DOM,DUR,UK	: 	: 	: 	16.14 	18.49 
EUR,PERS,N1-3,DOM,OTH,AT	50.28 	53.67 	48.08 	42.63 	28.98 
EUR,PERS,N1-3,DOM,OTH,BE	10.31 	37.78 	33.43 	37.49 	33.86 
EUR,PERS,N1-3,DOM,OTH,BG	5.02 	4.74 	4.46 	3.74 	3.99 
EUR,PERS,N1-3,DOM,OTH,CH	19.35 	19.42 	15.5 	18.04 	15.44 
EUR,PERS,N1-3,DOM,OTH,CY	13.63 	6.78 	4.92 	1.77 	1.15 
EUR,PERS,N1-3,DOM,OTH,CZ	8.86 	7.87 	6.27 	6.54 	6.62 
EUR,PERS,N1-3,DOM,OTH,DE	25.78 	25.32 	24.86 	25.25 	25.48 
EUR,PERS,N1-3,DOM,OTH,DK	46.87 	39.58 	43.13 b	42.87 b	22.84 
EUR,PERS,N1-3,DOM,OTH,EA	: 	: 	20.69 e	20.88 	20.79 
EUR,PERS,N1-3,DOM,OTH,EE	9.71 	9.53 	6.38 	6.06 	3.8 
EUR,PERS,N1-3,DOM,OTH,EL	10.89 	10.79 	11.91 	11.22 	6.25 
EUR,PERS,N1-3,DOM,OTH,ES	14.87 	9.54 b	14.22 	14.72 	15.31 
EUR,PERS,N1-3,DOM,OTH,EU27	: 	19.85 	19.64 e	18.17 	17.89 
EUR,PERS,N1-3,DOM,OTH,EU28	: 	19.8 	19.6 e	18.16 	17.84 
EUR,PERS,N1-3,DOM,OTH,FI	25.36 	25.29 	24.76 	24.95 	25.09 
EUR,PERS,N1-3,DOM,OTH,FR	22.96 	22.53 	21.85 	21.5 	21.09 
EUR,PERS,N1-3,DOM,OTH,HR	7.23 	8.74 	13.4 	17.25 	9.13 
EUR,PERS,N1-3,DOM,OTH,HU	6.98 	7.09 	6.5 	6.43 	6.07 
EUR,PERS,N1-3,DOM,OTH,IE	42.46 	42.7 	42.01 	40.47 	39.55 
EUR,PERS,N1-3,DOM,OTH,IT	34.09 	35.13 	24.68 b	30.38 	32.96 
EUR,PERS,N1-3,DOM,OTH,LT	3.95 	3.43 	4.69 	4.83 	5.15 
EUR,PERS,N1-3,DOM,OTH,LU	19.83 u	13.02 u	22.52 	31.82 	7.5 
EUR,PERS,N1-3,DOM,OTH,LV	8.39 	8.43 	7.81 	8.35 	9.43 
EUR,PERS,N1-3,DOM,OTH,MT	45.84 	38.45 	37.88 b	31.44 	29 
EUR,PERS,N1-3,DOM,OTH,NL	9.49 	8.24 	7.99 	5.11 	4.33 
EUR,PERS,N1-3,DOM,OTH,PL	7.32 	7.5 	7.32 b	6.14 	11.2 
EUR,PERS,N1-3,DOM,OTH,PT	6.89 	7.15 	7.72 	6.66 	7.02 
EUR,PERS,N1-3,DOM,OTH,RO	8.66 	7.59 	7.32 	7.51 	9.4 
EUR,PERS,N1-3,DOM,OTH,SE	33.49 	31.78 	28.54 	: 	: 
EUR,PERS,N1-3,DOM,OTH,SI	6.58 	6.96 	8.56 	8.37 	8 
EUR,PERS,N1-3,DOM,OTH,SK	15.98 	15.44 	13.3 	14.98 b	29.48 
EUR,PERS,N1-3,DOM,OTH,UK	: 	: 	: 	9.66 	10.78 
EUR,PERS,N1-3,DOM,REST,BE	28.13 	0 	0 	0 	: 
EUR,PERS,N1-3,DOM,REST,BG	12.17 	12.96 	15.08 	12.9 	10.58 
EUR,PERS,N1-3,DOM,REST,CH	42.31 	36.1 	34.32 	30.94 	32.25 
EUR,PERS,N1-3,DOM,REST,CY	19.8 	18.88 	28.2 	27.13 	: 
EUR,PERS,N1-3,DOM,REST,CZ	4.4 	4.96 	3.18 	3.68 	3.52 
EUR,PERS,N1-3,DOM,REST,DK	: 	: 	: b	: b	: 
EUR,PERS,N1-3,DOM,REST,EA	: 	: 	7.02 e	6.49 	6.6 
EUR,PERS,N1-3,DOM,REST,EE	9.49 	10.27 	9.16 	8.28 	6.98 
EUR,PERS,N1-3,DOM,REST,EL	22 	21.99 	19.03 	16.38 	16.72 
EUR,PERS,N1-3,DOM,REST,ES	15.8 	16.95 b	5.85 	4.98 	5.42 
EUR,PERS,N1-3,DOM,REST,EU27	: 	8.44 	6.31 e	8.77 	8.79 
EUR,PERS,N1-3,DOM,REST,EU28	: 	8.46 	6.33 e	8.77 	8.79 
EUR,PERS,N1-3,DOM,REST,FI	17.25 	16.79 	16 	16.84 	17.09 
EUR,PERS,N1-3,DOM,REST,FR	14.45 	13.89 	13.65 	13.06 	13.12 
EUR,PERS,N1-3,DOM,REST,HR	12.54 	11.59 	9.59 	8.75 	7.81 
EUR,PERS,N1-3,DOM,REST,HU	2.67 	2.43 	2.22 	2.14 	2.1 
EUR,PERS,N1-3,DOM,REST,IT	: 	: 	: b	: 	: 
EUR,PERS,N1-3,DOM,REST,LT	5.9 	6.39 	5.78 	6.17 	5.41 
EUR,PERS,N1-3,DOM,REST,LU	42.33 u	41.3 u	22.08 	25.74 	18.23 
EUR,PERS,N1-3,DOM,REST,LV	2.7 	3.53 	2.59 	2.73 	1.36 
EUR,PERS,N1-3,DOM,REST,MT	: 	: 	: b	: 	: 
EUR,PERS,N1-3,DOM,REST,NL	11.46 	10.16 	9.23 	9.95 	9.29 
EUR,PERS,N1-3,DOM,REST,PL	10.06 	9.31 	7.72 b	14.76 	14.35 
EUR,PERS,N1-3,DOM,REST,PT	11.95 	13.69 	10.22 	5.62 	7.04 
EUR,PERS,N1-3,DOM,REST,RO	9 	8.14 	7.23 	7 	5.26 
EUR,PERS,N1-3,DOM,REST,SI	7.16 	6.82 	8 	7.13 	6.65 
EUR,PERS,N1-3,DOM,REST,SK	9.37 	8.45 	8.27 	7.38 b	: 
EUR,PERS,N1-3,DOM,REST,UK	: 	: 	: 	24.19 	24.68 
EUR,PERS,N1-3,DOM,TOTAL,AT	130.2 	133.85 	121.65 	121.1 	118.65 
EUR,PERS,N1-3,DOM,TOTAL,BE	83.81 	85.02 	83.77 	89.75 	84.37 
EUR,PERS,N1-3,DOM,TOTAL,BG	32.86 	34.1 	39.79 	34.17 	30.55 
EUR,PERS,N1-3,DOM,TOTAL,CH	130.94 	126.64 	115.19 	115.18 	105.39 
