unit,purpose,duration,partner,expend,geo\time	2016 	2015 	2014 	2013 	2012 
EUR,PERS,N1-3,DOM,ACC,AT	107.65 	101.56 	91.22 	99.24 	132.72 
EUR,PERS,N1-3,DOM,ACC,BE	64.9 	68.46 	69.55 	74.44 	71.56 
EUR,PERS,N1-3,DOM,ACC,BG	13.5 	13.62 	14.61 	11.11 	9.06 
EUR,PERS,N1-3,DOM,ACC,CH	93.49 	90.49 	80.96 	83.37 	69.78 
EUR,PERS,N1-3,DOM,ACC,CY	25.86 	29.12 	31.79 	21.77 	36.19 
EUR,PERS,N1-3,DOM,ACC,CZ	6.56 	5 	3.87 	4.07 	3.97 
EUR,PERS,N1-3,DOM,ACC,DE	51.22 	48.65 	49.89 	55.79 	49.08 
EUR,PERS,N1-3,DOM,ACC,DK	61.49 	49.5 	54.6 b	51.99 b	27.95 
EUR,PERS,N1-3,DOM,ACC,EA	: 	: 	29.88 e	31.72 	30.08 
EUR,PERS,N1-3,DOM,ACC,EE	16.2 	14.91 	11.03 	11.15 	12.61 
EUR,PERS,N1-3,DOM,ACC,EL	26.33 	24.66 	21.78 	21.63 	19.01 
EUR,PERS,N1-3,DOM,ACC,ES	18.6 	18.89 b	18.33 	18.22 	16.59 
EUR,PERS,N1-3,DOM,ACC,EU27	: 	29.61 	27.71 e	33.51 	31.35 
EUR,PERS,N1-3,DOM,ACC,EU28	: 	29.53 	27.6 e	33.38 	31.24 
EUR,PERS,N1-3,DOM,ACC,FI	22.33 	21.82 	22.03 	22.83 	23.45 
EUR,PERS,N1-3,DOM,ACC,FR	22.96 	21.33 	20.27 	19.34 	19.05 
EUR,PERS,N1-3,DOM,ACC,HR	19.89 	10.77 	10.89 	12.12 	12.55 
EUR,PERS,N1-3,DOM,ACC,HU	22.49 	19.65 	17.76 	15.05 	13.82 
EUR,PERS,N1-3,DOM,ACC,IE	63.76 	60.19 	59.49 	58.45 	57.14 
EUR,PERS,N1-3,DOM,ACC,IT	55.68 	54.15 	42.6 b	47.78 	47.69 
EUR,PERS,N1-3,DOM,ACC,LT	24.02 	18.87 	14.45 	10.39 	13.07 
EUR,PERS,N1-3,DOM,ACC,LU	55.07 u	91.67 u	67.19 	27.95 	27.25 
EUR,PERS,N1-3,DOM,ACC,LV	3.04 	3.11 	3.77 	3.92 	2.31 
EUR,PERS,N1-3,DOM,ACC,MT	47.04 	45.61 	50.8 b	35.81 	57.44 
EUR,PERS,N1-3,DOM,ACC,NL	31.51 	27.75 	22.65 	24.14 	23.08 
EUR,PERS,N1-3,DOM,ACC,PL	13.18 	12.26 	9.02 b	28.02 	25.89 
EUR,PERS,N1-3,DOM,ACC,PT	7.57 	8.81 	7.1 	4.47 	6.24 
EUR,PERS,N1-3,DOM,ACC,RO	10.51 	9.35 	7.84 	7.04 	7.05 
EUR,PERS,N1-3,DOM,ACC,SE	37.17 	32.92 	27.23 	: 	: 
EUR,PERS,N1-3,DOM,ACC,SI	28.32 	27.3 	22.67 	18.47 	16.96 
EUR,PERS,N1-3,DOM,ACC,SK	24.3 	23.27 	26.46 	21.86 b	30.57 
EUR,PERS,N1-3,DOM,ACC,UK	: 	: 	: 	56.65 	57.73 
EUR,PERS,N1-3,DOM,DUR,AT	3.21 	3.25 	5.21 	4.67 	3.36 
EUR,PERS,N1-3,DOM,DUR,BE	2.28 	6.14 	5.7 	8.97 	9.89 
EUR,PERS,N1-3,DOM,DUR,BG	0 	0 	0 	0 	0 
EUR,PERS,N1-3,DOM,DUR,CH	2.41 	0.06 	2.53 	: 	: 
EUR,PERS,N1-3,DOM,DUR,CY	0 	0 	0 	0 	0.88 
EUR,PERS,N1-3,DOM,DUR,CZ	0.04 	0.15 	0 	0.03 	0 
EUR,PERS,N1-3,DOM,DUR,DE	12.17 	11.69 	18.46 	12.85 	9.71 
EUR,PERS,N1-3,DOM,DUR,DK	24.1 	20.52 	22.15 b	22 b	11.83 
EUR,PERS,N1-3,DOM,DUR,EA	: 	: 	5.28 e	4.48 	3.89 
EUR,PERS,N1-3,DOM,DUR,EE	0.22 	0.07 	4.3 	5.66 	2.2 
EUR,PERS,N1-3,DOM,DUR,EL	0.01 	0.44 	0.41 	0.15 	25.25 
EUR,PERS,N1-3,DOM,DUR,ES	1.98 	3.37 b	0.12 	0.31 	1 
EUR,PERS,N1-3,DOM,DUR,EU27	: 	4.71 	5.28 e	7.99 	7.71 
EUR,PERS,N1-3,DOM,DUR,EU28	: 	4.69 	5.24 e	7.95 	7.68 
EUR,PERS,N1-3,DOM,DUR,FI	6.61 	1.65 	5.7 	5.25 	4.21 
EUR,PERS,N1-3,DOM,DUR,FR	1.53 	1.46 	1.29 	1.37 	1.2 
