unit,purpose,duration,partner,isced11,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,DOM,ED0-2,AT	1750322 	2026167 	1865855 	1749723 	1684596 	1837648 
NR,PERS,N1-3,DOM,ED0-2,EA	: 	: 	: 	: 	77337298 e	81279198 e
NR,PERS,N1-3,DOM,ED0-2,EE	632405 	644237 	357841 	397842 	206981 	235462 
NR,PERS,N1-3,DOM,ED0-2,ES	56507486 	51908658 	49210776 	52912073 	54785334 	57257589 
NR,PERS,N1-3,DOM,ED0-2,EU27	: 	: 	86138130 e	: 	81009701 e	88075883 e
NR,PERS,N1-3,DOM,ED0-2,EU28	: 	: 	86033266 e	: 	81523833 e	89024339 e
NR,PERS,N1-3,DOM,ED0-2,FI	7699946 	6836852 	7989579 	7697687 	8810273 	9327152 
NR,PERS,N1-3,DOM,ED0-2,HR	: 	: 	: 	: 	516853 	944784 
NR,PERS,N1-3,DOM,ED0-2,HU	2001174 	2535941 	2734449 	: 	: 	: 
NR,PERS,N1-3,DOM,ED0-2,LU	: 	: 	: 	: 	: 	13697 u
NR,PERS,N1-3,DOM,ED0-2,LV	: 	370459 	416522 	285250 	383255 	469479 
NR,PERS,N1-3,DOM,ED0-2,MT	: 	42411 	68167 	40330 	: 	: 
NR,PERS,N1-3,DOM,ED0-2,NL	4583834 	5012466 	5005198 	5577257 	5861973 	6903382 
NR,PERS,N1-3,DOM,ED0-2,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,DOM,ED0-2,PT	5966361 	5735668 	5431466 	: 	5655274 	5449035 
NR,PERS,N1-3,DOM,ED0-2,RO	1827080 	2049864 	1936270 	1916996 	1987210 	: 
NR,PERS,N1-3,DOM,ED0-2,SI	: 	332684 	205157 	250155 	323377 	245234 
NR,PERS,N1-3,DOM,ED3_4,AT	7794220 	7856612 	7142451 	7859367 	7104398 	6707641 
NR,PERS,N1-3,DOM,ED3_4,EA	: 	: 	: 	: 	91694565 e	92921134 e
NR,PERS,N1-3,DOM,ED3_4,EE	1748057 	1830045 	1598829 	1565622 	1022284 	984077 
NR,PERS,N1-3,DOM,ED3_4,ES	40735508 	38761489 	35538145 	53310834 	54596332 	54983887 
NR,PERS,N1-3,DOM,ED3_4,EU27	: 	: 	112960274 e	: 	109957429 e	110786755 e
NR,PERS,N1-3,DOM,ED3_4,EU28	: 	: 	112822757 e	: 	113711799 e	114164579 e
NR,PERS,N1-3,DOM,ED3_4,FI	15166619 	15397475 	15412460 	14848717 	15106177 	15064273 
NR,PERS,N1-3,DOM,ED3_4,HR	: 	: 	: 	: 	3708997 	3333326 
NR,PERS,N1-3,DOM,ED3_4,HU	9065002 	8860145 	8914780 	: 	: 	: 
NR,PERS,N1-3,DOM,ED3_4,LU	: 	: 	: 	: 	: 	20640 u
NR,PERS,N1-3,DOM,ED3_4,LV	: 	1916662 	1758880 	2020731 	2213785 	2278681 
NR,PERS,N1-3,DOM,ED3_4,MT	: 	231304 	186788 	195043 	: 	: 
NR,PERS,N1-3,DOM,ED3_4,NL	12004763 	9141271 	9415508 	9401288 	9160205 	10440697 
NR,PERS,N1-3,DOM,ED3_4,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,DOM,ED3_4,PT	4310429 	3741220 	3545705 	: 	3211038 	3055725 
NR,PERS,N1-3,DOM,ED3_4,RO	15230983 	14852799 	14084386 	14966045 	14280281 	: 
NR,PERS,N1-3,DOM,ED3_4,SI	: 	1107115 	1033902 	1452178 	1482880 	1652762 
NR,PERS,N1-3,DOM,ED5-8,AT	3844192 	3818885 	3521232 	3693783 	3587382 	3068770 
NR,PERS,N1-3,DOM,ED5-8,EA	: 	: 	: 	: 	95010881 e	94930452 e
NR,PERS,N1-3,DOM,ED5-8,EE	1758730 	1697961 	1573417 	1435042 	1111782 	1094314 
NR,PERS,N1-3,DOM,ED5-8,ES	79996155 	77782799 	76022123 	54306173 	54046264 	53979179 
NR,PERS,N1-3,DOM,ED5-8,EU27	: 	: 	148760432 e	: 	103037738 e	113910023 e
NR,PERS,N1-3,DOM,ED5-8,EU28	: 	: 	148579333 e	: 	104553385 e	115460552 e
NR,PERS,N1-3,DOM,ED5-8,FI	16342646 	15612549 	14653745 	14415171 	15088600 	14797967 
