unit,purpose,duration,partner,quantile,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,DOM,Q1,EA	: 	: 	: 	: 	6008730 e	390547 e
NR,PERS,N1-3,DOM,Q1,EE	556430 	506348 	479882 	520881 	522204 	390499 
NR,PERS,N1-3,DOM,Q1,EU27	: 	: 	: 	: 	15288867 e	397822 e
NR,PERS,N1-3,DOM,Q1,EU28	: 	: 	: 	: 	15286762 e	397759 e
NR,PERS,N1-3,DOM,Q1,NL	3375521 	5362345 	5816196 	5351182 	5485789 	: 
NR,PERS,N1-3,DOM,Q1,RO	5947728 	7429870 	8063020 	8897169 	9033370 	: 
NR,PERS,N1-3,DOM,Q2,EA	: 	: 	: 	: 	7688669 e	328346 e
NR,PERS,N1-3,DOM,Q2,EE	694228 	811547 	610208 	864916 	374633 	328306 
NR,PERS,N1-3,DOM,Q2,EU27	: 	: 	: 	: 	16718330 e	334463 e
NR,PERS,N1-3,DOM,Q2,EU28	: 	: 	: 	: 	16716029 e	334410 e
NR,PERS,N1-3,DOM,Q2,NL	5319602 	6058676 	5435882 	6836427 	7313093 	: 
NR,PERS,N1-3,DOM,Q2,RO	10348700 	10138802 	9633696 	9799692 	8759959 	: 
NR,PERS,N1-3,DOM,Q3,EA	: 	: 	: 	: 	10319999 e	421168 e
NR,PERS,N1-3,DOM,Q3,EE	1091798 	1142458 	981997 	790876 	464429 	421117 
NR,PERS,N1-3,DOM,Q3,EU27	: 	: 	: 	: 	13359503 e	429014 e
NR,PERS,N1-3,DOM,Q3,EU28	: 	: 	: 	: 	13357663 e	428946 e
NR,PERS,N1-3,DOM,Q3,NL	8365032 	9495517 	9669270 	9818619 	9854303 	: 
NR,PERS,N1-3,DOM,Q3,RO	5682573 	3904158 	2755234 	2753902 	2824500 	: 
NR,PERS,N1-3,DOM,Q4,EA	: 	: 	: 	: 	7979945 e	1174076 e
NR,PERS,N1-3,DOM,Q4,EE	1796737 	1711890 	1457999 	1221832 	979782 	1173931 
NR,PERS,N1-3,DOM,Q4,EU27	: 	: 	: 	: 	8504442 e	1195947 e
NR,PERS,N1-3,DOM,Q4,EU28	: 	: 	: 	: 	8503271 e	1195758 e
NR,PERS,N1-3,DOM,Q4,NL	10357027 	6809897 	6453909 	7014493 	6999184 	: 
NR,PERS,N1-3,DOM,Q4,RO	594414 	457078 	244404 	246321 	387801 	: 
NR,PERS,N1-3,DOM,TOTAL,AT	13388734 	13701664 	12529539 	13302874 	12376376 	11614059 
NR,PERS,N1-3,DOM,TOTAL,BE	4180516 b	3203589 	4122410 	2689760 	3148329 	2900170 
NR,PERS,N1-3,DOM,TOTAL,BG	5733767 	3364116 	3032569 	4071907 	3846551 	3842109 
NR,PERS,N1-3,DOM,TOTAL,CH	: 	6893722 	6853942 	6967693 	7743597 	6866989 
NR,PERS,N1-3,DOM,TOTAL,CY	1949968 	1903611 	1857829 	1607076 	1537768 	1823074 
NR,PERS,N1-3,DOM,TOTAL,CZ	38692095 	34237876 	31471676 	37078080 	33439028 	36200298 
NR,PERS,N1-3,DOM,TOTAL,DE	158998081 	168656004 	178011814 	161836384 	175945063 	167615290 
NR,PERS,N1-3,DOM,TOTAL,DK	: 	26815133 	30299877 	30055318 	29541173 b	26928655 
NR,PERS,N1-3,DOM,TOTAL,EA	: 	: 	: 	: 	677340218 e	687278111 e
NR,PERS,N1-3,DOM,TOTAL,EE	4139192 	4172243 	3530087 	3398506 	2341047 	2313852 
NR,PERS,N1-3,DOM,TOTAL,EL	: 	3060303 	3243607 	3581761 	2923276 	5495625 
NR,PERS,N1-3,DOM,TOTAL,ES	177239149 	168452946 	160771044 b	160529081 	163427930 	166220655 
NR,PERS,N1-3,DOM,TOTAL,EU27	: 	: 	: 	: 	973936920 e	975000342 e
NR,PERS,N1-3,DOM,TOTAL,EU28	: 	: 	: 	: 	979627462 e	980772685 e
NR,PERS,N1-3,DOM,TOTAL,FI	39209211 	37846876 	38055783 	36961575 	39005051 	39189392 
NR,PERS,N1-3,DOM,TOTAL,FR	179119303 	160888964 	163206588 	184491323 	181954190 	184861260 
NR,PERS,N1-3,DOM,TOTAL,HR	2481744 	2600601 	3644526 	5327797 	5731124 	5817978 
NR,PERS,N1-3,DOM,TOTAL,HU	18161591 	17999573 	18573170 	17894808 	16457775 	20305731 
NR,PERS,N1-3,DOM,TOTAL,IE	10362955 	9993138 	9516756 	8352057 	7896544 	8022285 
NR,PERS,N1-3,DOM,TOTAL,IT	41064916 	44060794 	34577378 	36329218 b	33327995 	42155530 
NR,PERS,N1-3,DOM,TOTAL,LT	3227905 	3161710 	3402998 	3396253 	3121013 	3283417 
NR,PERS,N1-3,DOM,TOTAL,LU	: 	20197 u	22350 u	34234 	66854 	54737 
NR,PERS,N1-3,DOM,TOTAL,LV	: 	4111422 	3868018 	4115911 	4229386 	4741715 
NR,PERS,N1-3,DOM,TOTAL,MT	415493 	405279 	360284 	339022 b	321574 	330686 
NR,PERS,N1-3,DOM,TOTAL,NL	27417182 	27726435 	27375257 	29020721 	29652370 	33326859 
NR,PERS,N1-3,DOM,TOTAL,NO	16578183 	15870591 	15688166 	16927114 	13484748 	: 
NR,PERS,N1-3,DOM,TOTAL,PL	52558113 	48637419 	44086369 	41937463 b	50630835 	47242930 
NR,PERS,N1-3,DOM,TOTAL,PT	17334510 	16241852 	15781021 	14733797 	14346515 	13546352 
NR,PERS,N1-3,DOM,TOTAL,RO	22573414 	21929908 	20696355 	21697083 	21005630 	19599109 
NR,PERS,N1-3,DOM,TOTAL,SE	: 	34348522 	35077922 	30735810 	: 	: 
NR,PERS,N1-3,DOM,TOTAL,SI	2534409 	2436374 	2189284 	2693222 	2861056 	2994580 
NR,PERS,N1-3,DOM,TOTAL,SK	9037490 	8691208 	7043087 	5798469 	5525240 b	3918960 
NR,PERS,N1-3,DOM,TOTAL,UK	: 	: 	: 	: 	118641820 	120588222 
NR,PERS,N1-3,DOM,UNK,AT	13388734 	13701664 	12529539 	13302874 	12376376 	11614059 
NR,PERS,N1-3,DOM,UNK,BE	4180516 b	3203589 	4122410 	2689760 	3148329 	2900170 
NR,PERS,N1-3,DOM,UNK,BG	5733767 	3364116 	3032569 	4071907 	3846551 	3842109 
NR,PERS,N1-3,DOM,UNK,CH	: 	6893722 	6853942 	6967693 	7743597 	6866989 
NR,PERS,N1-3,DOM,UNK,CY	1949968 	1903611 	1857829 	1607076 	1537768 	1823074 
NR,PERS,N1-3,DOM,UNK,CZ	38692095 	34237876 	31471676 	37078080 	33439028 	36200298 
NR,PERS,N1-3,DOM,UNK,DE	158998081 	168656004 	178011814 	161836384 	175945063 	167615290 
