unit,purpose,duration,partner,sex,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,PERS,N1-3,DOM,F,AT	7027270 	7442851 	6801185 	7140208 	6665064 	6338156 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,BE	2135805 b	1757078 	2123568 	1391545 	1707250 	1466614 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,BG	2854653 	1746728 	1528977 	2073849 	1952077 	2084755 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,CH	: 	3488590 	4164611 	3692271 	4141161 	3882044 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,CY	1004516 	1035000 	947742 	841892 	819739 	956679 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,CZ	20048636 	17415301 	16899000 	19251366 	17853853 	19245492 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,DE	79878519 	82706801 	96245599 	85740414 	92744781 	85829846 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,DK	: 	14926594 	15596769 	16792274 	16437957 b	13997105 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
NR,PERS,N1-3,DOM,F,EA	: 	: 	: 	343815433 e	349507984 e	349566787 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,EE	2211884 	2149074 	1890431 	1842270 	1217917 	1344271 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,EL	: 	1668665 	1728119 	1904205 	1485203 	2813361 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,ES	87590774 	84114804 	79690942 b	81099493 	83158122 	84263274 	: 	: 	: 	: 	: 	81330362 	81092800 	97696600 	89517900 	83362900 	85391600 	85683360 	40107345 	9343913 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,EU27	: 	: 	508043770 e	509360731 e	507150876 e	507348853 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,EU28	: 	: 	509407263 e	511649570 e	509762105 e	509945939 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
