unit,purpose,duration,partner,wstatus,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,DOM,ACT_INAC,AT	13388734 	13701664 	12529539 	13302874 	12376376 	11614059 
NR,PERS,N1-3,DOM,ACT_INAC,BE	4180516 b	3203589 	4122410 	2689760 	3148329 	2900170 
NR,PERS,N1-3,DOM,ACT_INAC,BG	5733767 	3364116 	3032569 	4071907 	3846551 	3842109 
NR,PERS,N1-3,DOM,ACT_INAC,CH	: 	6893722 	6853942 	6967693 	7743597 	6866989 
NR,PERS,N1-3,DOM,ACT_INAC,CY	1949968 	1903611 	1857829 	1607076 	1537768 	1823074 
NR,PERS,N1-3,DOM,ACT_INAC,CZ	38692095 	34237876 	31471676 	37078080 	33439028 	36200298 
NR,PERS,N1-3,DOM,ACT_INAC,DE	158998081 	168656004 	178011814 	161836384 	175945063 	167615290 
NR,PERS,N1-3,DOM,ACT_INAC,DK	: 	26815133 	30299877 	30055318 	29541173 b	26928655 
NR,PERS,N1-3,DOM,ACT_INAC,EA	: 	: 	: 	: 	677340218 e	687278111 e
NR,PERS,N1-3,DOM,ACT_INAC,EE	4139192 	4172243 	3530087 	3398506 	2341047 	2313852 
NR,PERS,N1-3,DOM,ACT_INAC,EL	: 	3060303 	3243607 	3581761 	2923276 	5495625 
NR,PERS,N1-3,DOM,ACT_INAC,ES	177239149 	168452946 	160771044 b	160529081 	163427930 	166220655 
NR,PERS,N1-3,DOM,ACT_INAC,EU27	: 	: 	976597495 e	: 	973936920 e	975000342 e
NR,PERS,N1-3,DOM,ACT_INAC,EU28	: 	: 	979577584 e	: 	979627462 e	980772685 e
NR,PERS,N1-3,DOM,ACT_INAC,FI	39209211 	37846876 	38055783 	36961575 	39005051 	39189392 
NR,PERS,N1-3,DOM,ACT_INAC,FR	179119303 	160888964 	163206588 	184491323 	181954190 	184861260 
NR,PERS,N1-3,DOM,ACT_INAC,HR	2481744 	2600601 	3644526 	5327797 	5731124 	5817978 
NR,PERS,N1-3,DOM,ACT_INAC,HU	18161591 	17999573 	18573170 	17894808 	16457775 	20305731 
NR,PERS,N1-3,DOM,ACT_INAC,IE	10362955 	9993138 	9516756 	8352057 	7896544 	8022285 
NR,PERS,N1-3,DOM,ACT_INAC,IT	41064916 	44060794 	34577378 	36329218 b	33327995 	42155530 
NR,PERS,N1-3,DOM,ACT_INAC,LT	3227905 	3161710 	3402998 	3396253 	3121013 	3283417 
NR,PERS,N1-3,DOM,ACT_INAC,LU	: 	20197 u	22350 u	34234 	66854 	54737 
NR,PERS,N1-3,DOM,ACT_INAC,LV	: 	4111422 	3868018 	4115911 	4229386 	4741715 
NR,PERS,N1-3,DOM,ACT_INAC,MT	415493 	405279 	360284 	339022 b	321574 	330686 
NR,PERS,N1-3,DOM,ACT_INAC,NL	27417182 	27726435 	27375257 	29020721 	29652370 	33326859 
NR,PERS,N1-3,DOM,ACT_INAC,NO	16578183 	: 	15688166 	16927114 	13484748 	: 
NR,PERS,N1-3,DOM,ACT_INAC,PL	52558113 	48637419 	44086369 	41937463 b	50630835 	47242930 
NR,PERS,N1-3,DOM,ACT_INAC,PT	17334510 	16241852 	15781021 	14733797 	14346515 	13546352 
NR,PERS,N1-3,DOM,ACT_INAC,RO	22573414 	21929908 	20696355 	21697083 	21005630 	19599109 
NR,PERS,N1-3,DOM,ACT_INAC,SE	: 	34348522 	35077922 	30735810 	: 	: 
NR,PERS,N1-3,DOM,ACT_INAC,SI	2534409 	2436374 	2189284 	2693222 	2861056 	2994580 
