unit,purpose,duration,partner,tripdest,geo\time	2017 	2016 	2015 	2014 	2013 
NR,PERS,N1-3,DOM,CITY,AT	4184012 	4088353 	: 	: 	3501442 
NR,PERS,N1-3,DOM,CITY,BE	: 	845424 	: 	: 	876424 
NR,PERS,N1-3,DOM,CITY,BG	: 	1631292 	: 	: 	1871866 
NR,PERS,N1-3,DOM,CITY,CH	: 	334992 u	305544 u	: 	531787 u
NR,PERS,N1-3,DOM,CITY,CY	: 	354466 	: 	: 	112540 
NR,PERS,N1-3,DOM,CITY,CZ	: 	14096905 	: 	: 	14136222 
NR,PERS,N1-3,DOM,CITY,DE	: 	110128490 	: 	: 	104747637 
NR,PERS,N1-3,DOM,CITY,DK	: 	146415 u	: 	: 	18342554 
NR,PERS,N1-3,DOM,CITY,EA	: 	: 	: 	: 	333411968 e
NR,PERS,N1-3,DOM,CITY,EE	: 	1748946 	: 	: 	1284925 
NR,PERS,N1-3,DOM,CITY,EL	: 	1620099 	: 	: 	1161950 
NR,PERS,N1-3,DOM,CITY,ES	: 	74355701 	: 	: 	63341639 
NR,PERS,N1-3,DOM,CITY,EU27	: 	: 	: 	: 	472572014 e
NR,PERS,N1-3,DOM,CITY,EU28	: 	: 	: 	: 	476130594 e
NR,PERS,N1-3,DOM,CITY,FI	: 	22531721 	: 	: 	21996112 
NR,PERS,N1-3,DOM,CITY,FR	94921113 	84004098 	: 	: 	98623350 
NR,PERS,N1-3,DOM,CITY,HR	: 	896551 	: 	: 	3567070 
NR,PERS,N1-3,DOM,CITY,HU	10683539 	11042923 	: 	: 	9760197 
NR,PERS,N1-3,DOM,CITY,IE	: 	5799261 	: 	: 	4744760 
NR,PERS,N1-3,DOM,CITY,IT	: 	11374882 	: 	: 	15626161 
NR,PERS,N1-3,DOM,CITY,LT	: 	2573398 	: 	: 	1789389 
NR,PERS,N1-3,DOM,CITY,LU	: 	: u	: 	: 	31147 u
NR,PERS,N1-3,DOM,CITY,LV	: 	676601 	: 	: 	2380407 
NR,PERS,N1-3,DOM,CITY,MT	: 	218736 	: 	: 	: 
NR,PERS,N1-3,DOM,CITY,NL	: 	8167635 	: 	: 	9680990 
NR,PERS,N1-3,DOM,CITY,NO	1079575 	1087338 	1158968 	1050323 	893373 
NR,PERS,N1-3,DOM,CITY,PL	: 	31929184 	: 	: 	26699262 
NR,PERS,N1-3,DOM,CITY,PT	: 	4502711 	: 	: 	4257928 
NR,PERS,N1-3,DOM,CITY,RO	8419178 	8002421 	: 	: 	7462663 
NR,PERS,N1-3,DOM,CITY,SE	: 	5961105 	: 	: 	: 
NR,PERS,N1-3,DOM,CITY,SI	: 	792074 	: 	: 	769497 
NR,PERS,N1-3,DOM,CITY,SK	: 	4243710 	: 	: 	2614558 
NR,PERS,N1-3,DOM,CITY,UK	: 	: 	: 	: 	47741729 
NR,PERS,N1-3,DOM,CRS,AT	: c	: 	: 	: 	1632930 
NR,PERS,N1-3,DOM,CRS,BE	: 	24965 	: 	: 	: 
NR,PERS,N1-3,DOM,CRS,CY	: 	: u	: 	: 	: 
NR,PERS,N1-3,DOM,CRS,CZ	: 	: u	: 	: 	: u
NR,PERS,N1-3,DOM,CRS,DE	: 	: u	: 	: 	: u
NR,PERS,N1-3,DOM,CRS,DK	: 	: 	: 	: 	504891 
NR,PERS,N1-3,DOM,CRS,EA	: 	: 	: 	: 	2856629 e
NR,PERS,N1-3,DOM,CRS,EL	: 	: u	: 	: 	: 
NR,PERS,N1-3,DOM,CRS,EU27	: 	: 	: 	: 	3618462 e
NR,PERS,N1-3,DOM,CRS,EU28	: 	: 	: 	: 	3633917 e
NR,PERS,N1-3,DOM,CRS,FI	: 	359250 u	: 	: 	207902 u
NR,PERS,N1-3,DOM,CRS,FR	: u	: u	: 	: 	733427 
NR,PERS,N1-3,DOM,CRS,HR	: 	: 	: 	: 	: u
NR,PERS,N1-3,DOM,CRS,IE	: 	: u	: 	: 	: u
NR,PERS,N1-3,DOM,CRS,IT	: 	: 	: 	: 	: u
NR,PERS,N1-3,DOM,CRS,LV	: 	: 	: 	: 	: u
NR,PERS,N1-3,DOM,CRS,NL	: 	: u	: 	: 	: u
NR,PERS,N1-3,DOM,CRS,NO	: u	: u	: u	: u	: u
NR,PERS,N1-3,DOM,CRS,PL	: 	204809 	: 	: 	: u
NR,PERS,N1-3,DOM,CRS,PT	: 	: 	: 	: 	: u
NR,PERS,N1-3,DOM,CRS,RO	62444 u	91131 u	: 	: 	132674 
NR,PERS,N1-3,DOM,CRS,SE	: 	144909 u	: 	: 	: 
NR,PERS,N1-3,DOM,CRS,SK	: 	: 	: 	: 	: b
NR,PERS,N1-3,DOM,CRS,UK	: 	: 	: 	: 	: u
NR,PERS,N1-3,DOM,CTRY,AT	7378930 	7872954 	: 	: 	1807082 
