unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,PERS,N1-3,DOM,AT	13388734 	13701664 	12529539 	13302874 	12376376 	11614059 	: 	: 	: 	: 	: 	9775446 	: 	7598479 	8092713 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BE	4180516 b	3203589 	4122410 	2689760 	3148329 	2900170 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BG	5733767 	3364116 	3032569 	4071907 	3846551 	3842109 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CH	: 	6893722 	6853942 	6967693 	7743597 	6866989 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CY	1949968 	1903611 	1857829 	1607076 	1537768 	1823074 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CZ	38692095 	34237876 	31471676 	37078080 	33439028 	36200298 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,DE	158998081 	168656004 	178011814 	161836384 	175945063 	167615290 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,DK	: 	26815133 	30299877 	30055318 	29541173 b	26928655 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7229100 	7329300 	: 	: 	9716100 	: 	: 
NR,PERS,N1-3,DOM,EA	: 	: 	: 	662434533 e	676740214 e	686467819 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,EE	4139192 	4172243 	3530087 	3398506 	2341047 	2313852 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,EL	: 	3060303 	3243607 	3581761 	2923276 	5495625 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,ES	177239149 	168452946 	160771044 b	160529081 	163427930 	166220655 	: 	: 	: 	: 	: 	156869405 	157308800 	163785400 	151462100 	143565600 	173374430 	171839740 	81156626 	19264176 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,EU27	: 	: 	976597495 e	977320686 e	976196196 e	987881158 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,EU28	: 	: 	979577584 e	982225397 e	981878207 e	993650349 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,FI	39209211 	37846876 	38055783 	36961575 	39005051 	39189392 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,FR	179119303 	160888964 	163206588 	184491323 	181954190 	184861260 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	142242000 	140965000 	123586667 	144266002 	: 	: 	: 
NR,PERS,N1-3,DOM,HR	2481744 	2600601 	3644526 	5327797 	5731124 	5817978 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,HU	18161591 	17999573 	18573170 	17894808 	16457775 	20305731 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,IE	10362955 	9993138 	9516756 	8352057 	7896544 	8022285 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3855000 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,IT	41064916 	44060794 	34577378 	36329218 b	33327995 	42155530 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,LT	3227905 	3161710 	3402998 	3396253 	3121013 	3283417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,LU	: 	20197 u	22350 u	34234 	66854 	54737 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,LV	: 	4111422 	3868018 	4115911 	4229386 	4741715 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,MT	415493 	405279 	360284 	339022 b	321574 	330686 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NL	27417182 	27726435 	27375257 	29020721 	29652370 	33326859 b	: 	: 	: 	: 	: 	15412000 	15291000 	15544000 	15976000 	16314000 	15782000 	16394000 	14995000 	14436000 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NO	16578183 	15870591 	15688166 	16927114 	13484748 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,PL	52558113 	48637419 	44086369 	41937463 b	50630835 	47242930 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,PT	17334510 	16241852 	15781021 	14733797 	14346515 	13546352 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
