unit,purpose,duration,partner,tra_mode,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,PERS,N1-3,DOM,AIR,AT	: c	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,BG	: 	: 	: u	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,CH	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,CZ	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,DE	2252041 u	2895003 	1770147 u	2568789 u	3086611 	3278690 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,DK	: 	425036 	164573 u	256927 u	435755 b	307303 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,EA	: 	: 	: 	9790760 e	10932232 e	12684473 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,EE	: c	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,EL	: 	121251 	165994 	121594 	70069 u	203272 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,ES	4412768 	4106468 	3349999 b	3052521 	3349004 	3758642 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,EU27	: 	: 	13317576 e	12935676 e	14307421 e	16809117 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,EU28	: 	: 	13322112 e	12937960 e	14339676 e	16838052 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,FI	467022 	435595 	410043 	405817 u	469327 	630316 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,FR	2857527 	2033849 	2304213 	2037981 	2228290 	2396373 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,HR	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,HU	: c	: 	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,IE	: c	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,IT	3095326 	1489557 u	1721066 u	1429045 bu	1585176 	2284761 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,LU	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,NL	: c	: u	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,NO	2049891 	1935708 	2077963 	1995747 	1512092 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,PL	151141 u	104973 u	102580 u	59305 bu	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,PT	405797 	227609 	143581 	109098 	116960 	76933 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,RO	: c	50998 u	49250 u	101004 u	83335 u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,SE	: 	1176808 	1404256 	1086759 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,SK	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,AIR,UK	: 	: 	: 	: 	2491689 	2797236 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,AT	607901 	659559 	506800 	473703 	425645 	473295 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,BE	: u	34535 	53186 u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,BG	791688 	597938 	492224 	707480 	659837 	918992 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,CH	: 	154021 u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,CY	67523 	77834 	75447 	56396 u	38751 u	80490 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,CZ	2605469 	2021437 	2699074 	2425077 	3325527 	3275465 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,DE	8451837 	10783402 	9782108 	7746642 	7757793 	4302044 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,DK	: 	1798068 	1329963 	1318730 	1247717 b	1278136 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,EA	: 	: 	: 	24108594 e	23616826 e	21039570 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,EE	621057 	522920 	545201 	781456 	398424 	567636 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,EL	: 	359781 	392377 	428418 	268554 	465651 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,ES	9972186 	8264282 	8373018 b	5892557 	6196638 	6033056 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,EU27	: 	: 	58944940 e	54029087 e	50245850 e	53253860 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,EU28	: 	: 	59499802 e	54965756 e	51135257 e	54199516 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,FI	3477673 	3071990 	3096292 	2298907 	2177894 	1915975 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,FR	3779838 	2316095 	1986732 	2401250 	2119966 	2407942 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,HR	392982 	464463 	547791 	876334 	880641 	936331 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,HU	1976425 	2226160 	2606689 	2933758 	2596492 	3236503 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,IE	513098 	544302 	418381 	531629 	465320 	420549 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,IT	2523015 	1807691 	2278192 	1660584 b	1632571 	2097068 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,LT	371820 	399176 	349747 	477750 	313549 	405283 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,LU	: 	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,LV	: 	557899 	575683 	685169 	766068 	960863 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,NL	515321 	464931 	458328 	575971 	668937 	491902 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,NO	454179 	488499 	643677 	853527 	727608 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,PL	7684850 	7218865 	7406107 	7250331 b	5362509 	6124618 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,PT	741781 	626860 	761844 	893007 	731146 	1042384 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,RO	4632062 	4863685 	4320464 	5260103 	5084591 	8350149 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,SE	: 	2209079 	2231751 	2010747 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,SI	58658 u	61085 u	: u	75687 u	85488 	21328 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,SK	868155 	746124 u	697034 u	889786 	586677 b	660565 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BUS,UK	: 	: 	: 	: 	6316940 	6655270 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CAR,AT	10646941 	11010385 	10021854 	10803443 	9849820 	9113796 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CAR,BE	3610383 b	2750150 	3548401 	2451298 	2725495 	2560494 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CAR,BG	4828897 	2698404 	2457081 	3198062 	2996068 	2664057 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CAR,CH	: 	4562494 	4314758 	4760635 	5433488 	4410010 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CAR,CY	1880769 	1823756 	1780911 	1550680 	1498716 	1742180 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CAR,CZ	33099799 	29698798 	26578437 	31651801 	27439494 	29695132 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CAR,DE	111319287 	113971622 	130306182 	114993888 	127808696 	124346762 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CAR,DK	: 	20177656 	24033191 	22897210 	22537706 b	19975316 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CAR,EA	: 	: 	: 	534055911 e	548369226 e	561144774 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CAR,EE	3236564 	3395439 	2790756 	2356292 	1820358 	1549214 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CAR,EL	: 	2147360 	2298346 	2447900 	2159910 	4264315 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CAR,ES	152369139 	145954908 	139043095 b	144276633 	146648183 	150238391 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CAR,EU27	: 	: 	773799999 e	773854619 e	776985409 e	783097755 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CAR,EU28	: 	: 	776115740 e	777577998 e	781221341 e	787194932 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CAR,FI	30637612 	30356740 	30482359 	29621350 	31326434 	31562528 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CAR,FR	147010065 	134247858 	136521259 	152289515 	150042872 	152715466 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CAR,HR	2005988 	1975003 	2847928 	4078542 	4280445 	4144818 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CAR,HU	14278681 	13956198 	13845024 	12722516 	11940963 	14491433 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CAR,IE	9103309 	8857766 	8545453 	7141503 	6605127 	6983522 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CAR,IT	27661273 	33898004 	23484243 	26169032 b	24620214 	32384711 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CAR,LT	2661647 	2664912 	2945626 	2799111 	2683376 	2815328 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
