duration,dest,purpose,tinfo,unit,geo\time	2011Q4 	2011Q3 	2011Q2 	2011Q1 	2010Q4 	2010Q3 	2010Q2 	2010Q1 	2009Q4 	2009Q3 	2009Q2 	2009Q1 	2008Q4 	2008Q3 	2008Q2 	2008Q1 	2007Q4 	2007Q3 	2007Q2 	2007Q1 	2006Q4 	2006Q3 	2006Q2 	2006Q1 	2005Q4 	2005Q3 	2005Q2 	2005Q1 	2004Q4 	2004Q3 	2004Q2 	2004Q1 	2003Q4 	2003Q3 	2003Q2 	2003Q1 	2002Q4 	2002Q3 	2002Q2 	2002Q1 	2001Q4 	2001Q3 	2001Q2 	2001Q1 	2000Q4 	2000Q3 	2000Q2 	2000Q1 	1999Q4 	1999Q3 	1999Q2 	1999Q1 	1998Q4 	1998Q3 	1998Q2 	1998Q1 	1997Q4 	1997Q3 	1997Q2 	1997Q1 	1996Q4 	1996Q3 	1996Q2 	1996Q1 	1995Q4 	1995Q3 	1995Q2 	1995Q1 
N1-3,DOM,PERS,F,NR,BE	482428 	484823 	505000 	327356 	287645 	317387 	544142 	390421 	386485 	485913 	581983 	413183 	397845 	436230 	503346 	413401 	358823 	495466 	484792 	325571 	342680 	418569 	614290 	309577 	514568 	741176 	597309 	541394 	670063 	622563 	738390 	435910 	482630 	533391 	523772 	388252 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,F,NR,CH	: u	: u	: u	: u	: u	1241407 	: u	: u	: u	: u	: u	905032 	1408197 	1291705 	1232273 	1449629 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,F,NR,CY	9007 	467293 	23352 	3590 	9870 	519214 	25948 	3644 	10407 	577559 	23650 	3809 	11173 	516599 	26362 	3895 	11509 	550161 	26893 	3590 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,F,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	2587677 	4421446 	: 	: 	: 	: 	: 	: 	2598040 	3993261 	4244394 	3190990 	4188249 	4665883 	5400495 	3195108 	3610703 	4851318 	4564515 	3126746 	3607696 	4893209 	5418000 	2579461 	3443591 	6142366 	6078125 	3923576 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,F,NR,DE	23369204 	22012768 	24763864 	22409325 	24384889 	23274154 	23526788 	23461831 	27200922 	24099715 	26978261 	22706743 	24314802 	18778647 	25145948 	21934946 	21758571 	19121020 	23341014 	21118484 	10110906 	9280333 	9043975 	9109467 	9109467 	6011162 	9278518 	10887000 	6425000 	6663000 	10242000 	6078000 	10680000 	5921000 	8040000 	8349000 	9955000 	6954000 	6825000 	6020000 	4005000 	3853000 	3467000 	5389000 	4923000 	2101000 	5023307 	7323992 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,F,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 
N1-3,DOM,PERS,F,NR,EL	821834 	837422 	844036 	921827 	1092422 	1198296 	1658731 	924330 	1095451 	1589267 	1423678 	1340154 	1050874 	1418546 	1545423 	1589072 	1494433 	1083825 	1713092 	1756428 	2064514 	1907109 	2075218 	1580537 	1185506 	1206556 	1239854 	1580128 	1658755 	956601 	1097446 	922330 	461430 	510910 	730497 	562699 	619763 	526550 	642916 	697074 	549421 	467881 	736810 	449179 	471603 	298128 	397645 	594160 	688439 	569509 	842507 	625252 	412730 	511415 	948750 	730468 	748413 	756464 	1276493 	1296781 	1136277 	1684716 	2703561 	1812290 	: 	: 	: 	: 
N1-3,DOM,PERS,F,NR,ES	17638922 	20946188 	22775650 	16339180 	17186280 	19628985 	22470745 	16576962 	18507032 	20564645 	23386618 	17735576 	20389452 	21182774 	22459680 	18214452 	19998287 	18283376 	18298018 	14999062 	17219058 	21573784 	23755241 	18782279 	18259460 	20898600 	21461880 	20472750 	21954730 	25857600 	28636700 	21247580 	20005200 	24237900 	26119210 	19155570 	19448910 	23115200 	22165850 	18632920 	19337840 	21850600 	24281390 	19969240 	20958130 	21888700 	22509280 	20327250 	7048815 	11829434 	11261336 	9967760 	2638006 	2786125 	2085254 	1834528 	1460588 	2344931 	1982838 	1997329 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,F,NR,FI	5270000 	6977000 	6173000 	4441000 	5123000 	7013000 	5876000 	4149000 	3863000 	5685000 	4978000 	3587000 	4038000 	5835000 	4965000 	3746000 	3548000 	5755000 	5175000 	3711000 	3512000 	5315000 	4954000 	3262000 	3912000 	5717000 	5286000 	3679000 	3444000 	5585000 	4876000 	3178000 	3530000 	5428000 	4444000 	3128000 	3241000 	5172000 	4465000 	3014000 	3250000 	4237000 	3411000 	2942000 	2836000 	4029000 	3729000 	2683000 	3789000 	7287000 	6410000 	3539000 	3286000 	6088000 	5742000 	3151000 	3657000 	7030000 	6380000 	3382000 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,F,NR,FR	24204449 	24557857 	27749553 	17792319 	22782418 	24805954 	29470180 	17264799 	22807338 	26472725 	30783897 	16819001 	22436758 	24327909 	25709965 	22781000 	24929650 	25682221 	31343997 	20038472 	26393301 	25912720 	31396807 	20300657 	27055427 	25021909 	28318624 	23587479 	19797000 	24845000 	27820000 	15694000 	17271000 	24803000 	23580000 	14811000 	17793000 	23347000 	22925000 	13828000 	: 	: 	: 	: 	15430000 	21883000 	22924000 	14139000 	16186000 	20523000 	22500000 	14293000 	17550000 	22681000 	24727000 	13675000 	16758000 	23964000 	22245000 	14391000 	: 	: 	: 	: 	: 	: 	: 	: 
