unit,purpose,duration,partner,isced11,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,DOM,ED0-2,AT	899365 	1020398 	944772 	880398 	867545 	948181 
NR,PERS,N1-3,DOM,ED0-2,EA	: 	: 	: 	: 	40923490 e	42998712 e
NR,PERS,N1-3,DOM,ED0-2,EE	401318 	371233 	220161 	238873 	131921 	124268 
NR,PERS,N1-3,DOM,ED0-2,ES	32120170 	29226298 	27834753 	26499325 	27820896 	29019778 
NR,PERS,N1-3,DOM,ED0-2,EU27	: 	: 	48681404 e	: 	42937097 e	46613364 e
NR,PERS,N1-3,DOM,ED0-2,EU28	: 	: 	48622139 e	: 	43211429 e	47083919 e
NR,PERS,N1-3,DOM,ED0-2,FI	4191024 	3777579 	4378944 	4234604 	4810723 	5132649 
NR,PERS,N1-3,DOM,ED0-2,HR	: 	: 	: 	: 	275744 	469186 
NR,PERS,N1-3,DOM,ED0-2,HU	1059520 	1282197 	1401549 	: 	: 	: 
NR,PERS,N1-3,DOM,ED0-2,LU	: 	: 	: 	: 	: 	10555 u
NR,PERS,N1-3,DOM,ED0-2,LV	: 	272554 	242684 	199612 	256698 	331604 
NR,PERS,N1-3,DOM,ED0-2,MT	: 	20652 	26905 	19005 	: 	: 
NR,PERS,N1-3,DOM,ED0-2,NL	2744263 	3007997 	2968535 	3363641 	3493420 	3934916 
NR,PERS,N1-3,DOM,ED0-2,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,DOM,ED0-2,PT	3727305 	3549995 	3387644 	: 	3604132 	3699403 
NR,PERS,N1-3,DOM,ED0-2,RO	974796 	1050053 	1001421 	1009618 	1066842 	: 
NR,PERS,N1-3,DOM,ED0-2,SI	: 	171044 	102231 	138303 	189832 	123672 
NR,PERS,N1-3,DOM,ED3_4,AT	3961983 	3921805 	3623591 	3964061 	3611884 	3301493 
NR,PERS,N1-3,DOM,ED3_4,EA	: 	: 	: 	: 	48076879 e	48529505 e
NR,PERS,N1-3,DOM,ED3_4,EE	1081529 	1191483 	972492 	927286 	620183 	572522 
NR,PERS,N1-3,DOM,ED3_4,ES	22584681 	21138477 	19570332 	26949870 	27567725 	27771263 
NR,PERS,N1-3,DOM,ED3_4,EU27	: 	: 	60532500 e	: 	57464875 e	58317101 e
NR,PERS,N1-3,DOM,ED3_4,EU28	: 	: 	60458808 e	: 	59570933 e	60121067 e
NR,PERS,N1-3,DOM,ED3_4,FI	8139689 	8313775 	8179466 	8064842 	8255933 	8218670 
NR,PERS,N1-3,DOM,ED3_4,HR	: 	: 	: 	: 	2080034 	1780069 
NR,PERS,N1-3,DOM,ED3_4,HU	4461697 	4290443 	4393757 	: 	: 	: 
NR,PERS,N1-3,DOM,ED3_4,LU	: 	: 	: 	: 	: 	14731 u
NR,PERS,N1-3,DOM,ED3_4,LV	: 	1228091 	1184097 	1335695 	1421305 	1602815 
NR,PERS,N1-3,DOM,ED3_4,MT	: 	113834 	90942 	94960 	: 	: 
NR,PERS,N1-3,DOM,ED3_4,NL	6863572 	4976235 	5293066 	5253794 	5194406 	5856627 
NR,PERS,N1-3,DOM,ED3_4,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,DOM,ED3_4,PT	2691860 	2245579 	2086500 	: 	2015632 	1897217 
NR,PERS,N1-3,DOM,ED3_4,RO	7566612 	7169473 	6909390 	7067391 	7042318 	: 
NR,PERS,N1-3,DOM,ED3_4,SI	: 	580283 	548000 	786374 	805217 	891011 
NR,PERS,N1-3,DOM,ED5-8,AT	1903308 	1940119 	1783250 	1864724 	1835379 	1527438 
NR,PERS,N1-3,DOM,ED5-8,EA	: 	: 	: 	: 	49979742 e	50518047 e
NR,PERS,N1-3,DOM,ED5-8,EE	1116220 	1036196 	955085 	881862 	634369 	657178 
NR,PERS,N1-3,DOM,ED5-8,ES	43735828 	42051029 	40539873 	26730929 	26669670 	26748536 
NR,PERS,N1-3,DOM,ED5-8,EU27	: 	: 	80496942 e	: 	54055577 e	60512821 e
NR,PERS,N1-3,DOM,ED5-8,EU28	: 	: 	80398946 e	: 	54874783 e	61296592 e
NR,PERS,N1-3,DOM,ED5-8,FI	8865549 	8546781 	7942260 	7770204 	8153225 	8132019 
NR,PERS,N1-3,DOM,ED5-8,HR	: 	: 	: 	: 	813378 	778837 
NR,PERS,N1-3,DOM,ED5-8,HU	3446591 	3214703 	3383029 	: 	: 	: 
NR,PERS,N1-3,DOM,ED5-8,LU	: 	: 	: 	: 	: 	12842 u
NR,PERS,N1-3,DOM,ED5-8,LV	: 	1227048 	1149976 	1184204 	1031531 	1334958 
NR,PERS,N1-3,DOM,ED5-8,MT	: 	69133 	51459 	51954 	: 	: 
NR,PERS,N1-3,DOM,ED5-8,NL	6472214 	8210567 	7895405 	8407077 	8852014 	9784110 
NR,PERS,N1-3,DOM,ED5-8,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,DOM,ED5-8,PT	4329552 	4068825 	3983685 	: 	3256009 	3060438 
NR,PERS,N1-3,DOM,ED5-8,RO	2470263 	2231789 	2117132 	2183465 	2175356 	: 
NR,PERS,N1-3,DOM,ED5-8,SI	: 	503511 	477602 	547374 	572943 	589271 
NR,PERS,N1-3,DOM,TOTAL,AT	6764655 	6882323 	6351613 	6709183 	6314809 	5777112 
NR,PERS,N1-3,DOM,TOTAL,BE	2175530 b	1698476 	2235671 	1435782 	1670786 	1489881 
NR,PERS,N1-3,DOM,TOTAL,BG	2736847 	1596173 	1424295 	1855864 	1877711 	1941286 
NR,PERS,N1-3,DOM,TOTAL,CH	: 	3836856 	4058296 	3993011 	4450442 	3905121 
NR,PERS,N1-3,DOM,TOTAL,CY	1167110 	1114113 	1082593 	962785 	879804 	1074564 
NR,PERS,N1-3,DOM,TOTAL,CZ	20061639 	17702092 	16203332 	18528217 	17215083 	18628902 
NR,PERS,N1-3,DOM,TOTAL,DE	79063521 	87104335 	89534444 	80109555 	87350273 	84908064 
NR,PERS,N1-3,DOM,TOTAL,DK	: 	17400216 	19496387 	19511192 	19196406 	17342909 
NR,PERS,N1-3,DOM,TOTAL,EA	: 	: 	: 	: 	355197327 e	363148664 e
NR,PERS,N1-3,DOM,TOTAL,EE	2599066 	2598912 	2147737 	2048022 	1386473 	1353968 
NR,PERS,N1-3,DOM,TOTAL,EL	: 	1337167 	1472529 	1596409 	1357457 	2658927 
NR,PERS,N1-3,DOM,TOTAL,ES	98440678 	92415804 	87944959 	80180124 	82058291 	83539578 
NR,PERS,N1-3,DOM,TOTAL,EU27	: 	: 	525357549 e	: 	512487407 e	519513042 e
NR,PERS,N1-3,DOM,TOTAL,EU28	: 	: 	526844332 e	: 	515637711 e	522515480 e
NR,PERS,N1-3,DOM,TOTAL,FI	21196262 	20638135 	20500670 	20069650 	21219881 	21483338 
NR,PERS,N1-3,DOM,TOTAL,FR	99012103 	87141181 	88733645 	100199550 	99691398 	101090835 
NR,PERS,N1-3,DOM,TOTAL,HR	1232553 	1318717 	1858851 	2862996 	3169156 	3028091 
NR,PERS,N1-3,DOM,TOTAL,HU	8967808 	8787343 	9178335 	9005826 	8283007 	10404311 
NR,PERS,N1-3,DOM,TOTAL,IE	5987283 	5655671 	5412039 	4583726 	4415085 	4451422 
NR,PERS,N1-3,DOM,TOTAL,IT	20992374 	22957185 	18822480 	19635800 	17616095 	22914818 
NR,PERS,N1-3,DOM,TOTAL,LT	1801918 	1809246 	1894224 	1859041 	1772756 	1800988 
