unit,purpose,duration,partner,quantile,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,DOM,Q1,EA	: 	: 	: 	: 	3542533 e	227382 e
NR,PERS,N1-3,DOM,Q1,EE	313810 	306131 	277101 	305477 	299269 	227355 
NR,PERS,N1-3,DOM,Q1,EU27	: 	: 	: 	: 	8368685 e	231618 e
NR,PERS,N1-3,DOM,Q1,EU28	: 	: 	: 	: 	8367533 e	231582 e
NR,PERS,N1-3,DOM,Q1,NL	1996211 	3121322 	3459744 	3175661 	3242829 	: 
NR,PERS,N1-3,DOM,Q1,RO	3003716 	3740993 	4026761 	4350904 	4691110 	: 
NR,PERS,N1-3,DOM,Q2,EA	: 	: 	: 	: 	4506038 e	203425 e
NR,PERS,N1-3,DOM,Q2,EE	441544 	500441 	376097 	510634 	220474 	203400 
NR,PERS,N1-3,DOM,Q2,EU27	: 	: 	: 	: 	8789108 e	207215 e
NR,PERS,N1-3,DOM,Q2,EU28	: 	: 	: 	: 	8787898 e	207182 e
NR,PERS,N1-3,DOM,Q2,NL	3149215 	3444215 	3044477 	3870357 	4285011 	: 
NR,PERS,N1-3,DOM,Q2,RO	5128682 	4764814 	4623454 	4556213 	4141341 	: 
NR,PERS,N1-3,DOM,Q3,EA	: 	: 	: 	: 	6060261 e	222831 e
NR,PERS,N1-3,DOM,Q3,EE	688602 	741830 	594017 	484401 	295496 	222803 
NR,PERS,N1-3,DOM,Q3,EU27	: 	: 	: 	: 	7455774 e	226982 e
NR,PERS,N1-3,DOM,Q3,EU28	: 	: 	: 	: 	7454748 e	226946 e
NR,PERS,N1-3,DOM,Q3,NL	4785239 	5590772 	5826341 	5860660 	5764021 	: 
NR,PERS,N1-3,DOM,Q3,RO	2601802 	1741503 	1266567 	1234818 	1275559 	: 
NR,PERS,N1-3,DOM,Q4,EA	: 	: 	: 	: 	4819804 e	700496 e
NR,PERS,N1-3,DOM,Q4,EE	1155109 	1050510 	900522 	747509 	571233 	700410 
NR,PERS,N1-3,DOM,Q4,EU27	: 	: 	: 	: 	5077922 e	713545 e
NR,PERS,N1-3,DOM,Q4,EU28	: 	: 	: 	: 	5077223 e	713432 e
NR,PERS,N1-3,DOM,Q4,NL	6149384 	4038490 	3826444 	4117834 	4247979 	: 
NR,PERS,N1-3,DOM,Q4,RO	277471 	204004 	111161 	118537 	176505 	: 
NR,PERS,N1-3,DOM,TOTAL,AT	6764655 	6882323 	6351613 	6709183 	6314809 	5777112 
NR,PERS,N1-3,DOM,TOTAL,BE	2175530 b	1698476 	2235671 	1435782 	1670786 	1489881 
NR,PERS,N1-3,DOM,TOTAL,BG	2736847 	1596173 	1424295 	1855864 	1877711 	1941286 
NR,PERS,N1-3,DOM,TOTAL,CH	: 	3836856 	4058296 	3993011 	4450442 	3905121 
NR,PERS,N1-3,DOM,TOTAL,CY	1167110 	1114113 	1082593 	962785 	879804 	1074564 
NR,PERS,N1-3,DOM,TOTAL,CZ	20061639 	17702092 	16203332 	18528217 	17215083 	18628902 
NR,PERS,N1-3,DOM,TOTAL,DE	79063521 	87104335 	89534444 	80109555 	87350273 	84908064 
NR,PERS,N1-3,DOM,TOTAL,DK	: 	17400216 	19496387 	19511192 	19196406 b	17342909 
NR,PERS,N1-3,DOM,TOTAL,EA	: 	: 	: 	: 	355197327 e	363148664 e
NR,PERS,N1-3,DOM,TOTAL,EE	2599066 	2598912 	2147737 	2048022 	1386473 	1353968 
NR,PERS,N1-3,DOM,TOTAL,EL	: 	1337167 	1472529 	1596409 	1357457 	2658927 
NR,PERS,N1-3,DOM,TOTAL,ES	98440678 	92415804 	87944959 b	80180124 	82058291 	83539578 
NR,PERS,N1-3,DOM,TOTAL,EU27	: 	: 	: 	: 	512487407 e	519513042 e
NR,PERS,N1-3,DOM,TOTAL,EU28	: 	: 	: 	: 	515637711 e	522515480 e
NR,PERS,N1-3,DOM,TOTAL,FI	21196262 	20638135 	20500670 	20069650 	21219881 	21483338 
NR,PERS,N1-3,DOM,TOTAL,FR	99012103 	87141181 	88733645 	100199550 	99691398 	101090835 
NR,PERS,N1-3,DOM,TOTAL,HR	1232553 	1318717 	1858851 	2862996 	3169156 	3028091 
NR,PERS,N1-3,DOM,TOTAL,HU	8967808 	8787343 	9178335 	9005826 	8283007 	10404311 
NR,PERS,N1-3,DOM,TOTAL,IE	5987283 	5655671 	5412039 	4583726 	4415085 	4451422 
NR,PERS,N1-3,DOM,TOTAL,IT	20992374 	22957185 	18822480 	19635800 b	17616095 	22914818 
NR,PERS,N1-3,DOM,TOTAL,LT	1801918 	1809246 	1894224 	1859041 	1772756 	1800988 
NR,PERS,N1-3,DOM,TOTAL,LU	: 	11417 u	11722 u	20175 	48074 	38128 
NR,PERS,N1-3,DOM,TOTAL,LV	: 	2727693 	2576756 	2719511 	2709534 	3269376 
