unit,purpose,duration,partner,sex,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,PERS,N1-3,DOM,F,AT	3505223 	3716126 	3465207 	3616832 	3417521 	3155661 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,BE	1118499 b	938572 	1152356 	742464 	907695 	756712 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,BG	1377737 	832847 	703343 	931887 	953716 	1029215 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,CH	: 	1950026 	2415184 	2072561 	2350827 	2156668 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,CY	584684 	606797 	546025 	503817 	454782 	562933 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,CZ	10393999 	9068171 	8636065 	9587139 	9190860 	9846620 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,DE	39658140 	42673669 	47552174 	41834181 	45427223 	43068966 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,DK	: 	9707102 	9970093 	10928978 	10807023 b	9028459 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1859800 	1825800 	: 	2435000 	2712000 	: 	: 
NR,PERS,N1-3,DOM,F,EA	: 	: 	: 	178938878 e	182147126 e	184395045 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,EE	1407400 	1321344 	1138618 	1096789 	707976 	778373 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,F,EL	: 	721322 	783161 	839907 	681366 	1354127 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
