unit,purpose,duration,partner,wstatus,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,DOM,ACT_INAC,AT	6764655 	6882323 	6351613 	6709183 	6314809 	5777112 
NR,PERS,N1-3,DOM,ACT_INAC,BE	2175530 b	1698476 	2235671 	1435782 	1670786 	1489881 
NR,PERS,N1-3,DOM,ACT_INAC,BG	2736847 	1596173 	1424295 	1855864 	1877711 	1941286 
NR,PERS,N1-3,DOM,ACT_INAC,CH	: 	3836856 	4058296 	3993011 	4450442 	3905121 
NR,PERS,N1-3,DOM,ACT_INAC,CY	1167110 	1114113 	1082593 	962785 	879804 	1074564 
NR,PERS,N1-3,DOM,ACT_INAC,CZ	20061639 	17702092 	16203332 	18528217 	17215083 	18628902 
NR,PERS,N1-3,DOM,ACT_INAC,DE	79063521 	87104335 	89534444 	80109555 	87350273 	84908064 
NR,PERS,N1-3,DOM,ACT_INAC,DK	: 	17400216 	19496387 	19511192 	19196406 b	17342909 
NR,PERS,N1-3,DOM,ACT_INAC,EA	: 	: 	: 	: 	355197327 e	363148664 e
NR,PERS,N1-3,DOM,ACT_INAC,EE	2599066 	2598912 	2147737 	2048022 	1386473 	1353968 
NR,PERS,N1-3,DOM,ACT_INAC,EL	: 	1337167 	1472529 	1596409 	1357457 	2658927 
NR,PERS,N1-3,DOM,ACT_INAC,ES	98440678 	92415804 	87944959 b	80180124 	82058291 	83539578 
NR,PERS,N1-3,DOM,ACT_INAC,EU27	: 	: 	525357549 e	: 	512487407 e	519513042 e
NR,PERS,N1-3,DOM,ACT_INAC,EU28	: 	: 	526844332 e	: 	515637711 e	522515480 e
NR,PERS,N1-3,DOM,ACT_INAC,FI	21196262 	20638135 	20500670 	20069650 	21219881 	21483338 
NR,PERS,N1-3,DOM,ACT_INAC,FR	99012103 	87141181 	88733645 	100199550 	99691398 	101090835 
NR,PERS,N1-3,DOM,ACT_INAC,HR	1232553 	1318717 	1858851 	2862996 	3169156 	3028091 
NR,PERS,N1-3,DOM,ACT_INAC,HU	8967808 	8787343 	9178335 	9005826 	8283007 	10404311 
NR,PERS,N1-3,DOM,ACT_INAC,IE	5987283 	5655671 	5412039 	4583726 	4415085 	4451422 
NR,PERS,N1-3,DOM,ACT_INAC,IT	20992374 	22957185 	18822480 	19635800 b	17616095 	22914818 
NR,PERS,N1-3,DOM,ACT_INAC,LT	1801918 	1809246 	1894224 	1859041 	1772756 	1800988 
NR,PERS,N1-3,DOM,ACT_INAC,LU	: 	11417 u	11722 u	20175 	48074 	38128 
NR,PERS,N1-3,DOM,ACT_INAC,LV	: 	2727693 	2576756 	2719511 	2709534 	3269376 
NR,PERS,N1-3,DOM,ACT_INAC,MT	211062 	203619 	169306 	165919 b	164188 	165635 
NR,PERS,N1-3,DOM,ACT_INAC,NL	16080049 	16194798 	16157006 	17024512 	17539840 	19655079 
NR,PERS,N1-3,DOM,ACT_INAC,NO	7834014 	7541954 	7498071 	8174748 	6567323 	: 
NR,PERS,N1-3,DOM,ACT_INAC,PL	26732292 	25434026 	23295558 	22452085 b	22771087 	23553957 
NR,PERS,N1-3,DOM,ACT_INAC,PT	10748717 	9864400 	9457829 	9029729 	8875773 	8657057 
NR,PERS,N1-3,DOM,ACT_INAC,RO	11011671 	10451315 	10027943 	10260473 	10284515 	9618923 
NR,PERS,N1-3,DOM,ACT_INAC,SE	: 	20044477 	20128632 	17769462 	: 	: 
NR,PERS,N1-3,DOM,ACT_INAC,SI	1416660 	1254837 	1127833 	1472051 	1567992 	1603955 
NR,PERS,N1-3,DOM,ACT_INAC,SK	4440135 	4193045 	3317069 	2811721 	2666527 b	1890993 
NR,PERS,N1-3,DOM,ACT_INAC,UK	: 	: 	: 	: 	64927148 	66096023 
NR,PERS,N1-3,DOM,EDUC,AT	740053 	821635 	620787 	711188 	812670 	673507 
NR,PERS,N1-3,DOM,EDUC,EA	: 	: 	: 	: 	16057324 e	15871977 e
NR,PERS,N1-3,DOM,EDUC,EE	305438 	230965 	197604 	305455 	138301 	106689 
NR,PERS,N1-3,DOM,EDUC,ES	10364232 	9627550 	7172294 b	6880223 	7728073 	7411356 
NR,PERS,N1-3,DOM,EDUC,EU27	: 	: 	19132839 e	: 	17585314 e	20854397 e
NR,PERS,N1-3,DOM,EDUC,EU28	: 	: 	19403592 e	: 	17582893 e	20851107 e
NR,PERS,N1-3,DOM,EDUC,FI	3507152 	3362109 	3547591 	3431738 	3476055 	3962025 
NR,PERS,N1-3,DOM,EDUC,HR	202536 	: 	257054 	578448 	: 	: 
NR,PERS,N1-3,DOM,EDUC,HU	823782 	876602 	820628 	: 	: 	: 
NR,PERS,N1-3,DOM,EDUC,LU	: 	: 	: 	: 	: 	20049 u
NR,PERS,N1-3,DOM,EDUC,LV	: 	280839 	179112 	234524 	261799 	333944 
NR,PERS,N1-3,DOM,EDUC,MT	: 	23751 	19679 	: 	: 	: 
NR,PERS,N1-3,DOM,EDUC,NL	2621392 	2344525 	2180638 	2534020 	2936703 	2799781 
NR,PERS,N1-3,DOM,EDUC,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,DOM,EDUC,PT	331543 	822620 	909754 	: 	696095 	648779 
NR,PERS,N1-3,DOM,EDUC,RO	1102363 	976193 	959171 	1050421 	983480 	1110164 
NR,PERS,N1-3,DOM,EDUC,SI	: 	139953 	99894 	240232 	267457 	247837 
NR,PERS,N1-3,DOM,EMP,AT	4497964 	4452237 	4126937 	4556952 	4111371 	3669396 
NR,PERS,N1-3,DOM,EMP,EA	: 	: 	: 	: 	80268251 e	83530159 e
NR,PERS,N1-3,DOM,EMP,EE	1878755 	1941137 	1570234 	1348700 	1003999 	1010161 
NR,PERS,N1-3,DOM,EMP,ES	59965451 	56282357 	53186382 b	46854745 	47653644 	49538334 
NR,PERS,N1-3,DOM,EMP,EU27	: 	: 	114657696 e	: 	90414730 e	102930765 e
NR,PERS,N1-3,DOM,EMP,EU28	: 	: 	115572817 e	: 	90402282 e	102914528 e
NR,PERS,N1-3,DOM,EMP,FI	12652253 	11877840 	11703039 	11635107 	12826068 	12383287 
NR,PERS,N1-3,DOM,EMP,HR	701857 	: 	922021 	1361973 	: 	: 
NR,PERS,N1-3,DOM,EMP,HU	5718416 	5255279 	5638093 	: 	: 	: 
NR,PERS,N1-3,DOM,EMP,LU	: 	: 	: 	: 	: 	11995 u
NR,PERS,N1-3,DOM,EMP,LV	: 	1860117 	1831801 	1898793 	1787805 	2161751 
NR,PERS,N1-3,DOM,EMP,MT	: 	131596 	99592 	: 	: 	: 
NR,PERS,N1-3,DOM,EMP,NL	9129775 	9201005 	9221784 	9318517 	9709692 	10847515 
NR,PERS,N1-3,DOM,EMP,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,DOM,EMP,PT	2367892 	5725040 	5382636 	: 	4100466 	5142257 
NR,PERS,N1-3,DOM,EMP,RO	7354713 	7142945 	6715110 	6943973 	6904842 	6219244 
NR,PERS,N1-3,DOM,EMP,SI	: 	672589 	627794 	779003 	853162 	916936 
NR,PERS,N1-3,DOM,INAC_OTH,AT	1453928 	1518471 	1499167 	1351624 	1288179 	1362384 
NR,PERS,N1-3,DOM,INAC_OTH,EA	: 	: 	: 	: 	29207571 e	30947953 e
NR,PERS,N1-3,DOM,INAC_OTH,EE	356340 	363595 	318489 	317539 	184365 	157756 
NR,PERS,N1-3,DOM,INAC_OTH,ES	18501177 	16392145 	15482304 b	19114703 	17934899 	18447831 
NR,PERS,N1-3,DOM,INAC_OTH,EU27	: 	: 	37827736 e	: 	32291821 e	37879145 e
NR,PERS,N1-3,DOM,INAC_OTH,EU28	: 	: 	38183698 e	: 	32287375 e	37873169 e
NR,PERS,N1-3,DOM,INAC_OTH,FI	4177670 	4367224 	4178286 	4086208 	4075921 	4424047 
NR,PERS,N1-3,DOM,INAC_OTH,HR	210512 	: 	351439 	531459 	: 	: 
NR,PERS,N1-3,DOM,INAC_OTH,HU	2339248 	2457088 	2498652 	: 	: 	: 
NR,PERS,N1-3,DOM,INAC_OTH,LU	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,DOM,INAC_OTH,LV	: 	395412 	432578 	414755 	430836 	514569 
NR,PERS,N1-3,DOM,INAC_OTH,MT	: 	46045 	47219 	: 	: 	: 
NR,PERS,N1-3,DOM,INAC_OTH,NL	3682776 	3372245 	3514799 	3759226 	3714914 	4112842 
NR,PERS,N1-3,DOM,INAC_OTH,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,DOM,INAC_OTH,PT	846780 	2623859 	2521200 	: 	1698930 	2117122 
NR,PERS,N1-3,DOM,INAC_OTH,RO	2431629 	2181531 	2198552 	2076417 	2134241 	2059298 
NR,PERS,N1-3,DOM,INAC_OTH,SI	: 	331027 	341846 	328063 	306779 	318568 
NR,PERS,N1-3,DOM,UNE,AT	72711 u	89979 u	104722 u	89420 u	102589 u	71825 u
NR,PERS,N1-3,DOM,UNE,EA	: 	: 	: 	: 	11797207 e	11346016 e
NR,PERS,N1-3,DOM,UNE,EE	58533 u	63215 u	61410 	76327 	59808 	79362 u
NR,PERS,N1-3,DOM,UNE,ES	9609819 	10113752 	12103979 b	7330453 	8741676 	8142056 
NR,PERS,N1-3,DOM,UNE,EU27	: 	: 	18092573 e	: 	12488983 e	13221606 e
NR,PERS,N1-3,DOM,UNE,EU28	: 	: 	18446135 e	: 	12487264 e	13219521 e
NR,PERS,N1-3,DOM,UNE,FI	859187 	1030962 	1071753 	916597 	841838 	713979 
NR,PERS,N1-3,DOM,UNE,HR	117649 	: 	328338 	391117 	: 	: 
NR,PERS,N1-3,DOM,UNE,HU	86362 	198374 	220962 	: 	: 	: 
NR,PERS,N1-3,DOM,UNE,LU	: 	: 	: 	: 	: 	: u
