unit,purpose,duration,partner,tripdest,geo\time	2017 	2016 	2015 	2014 	2013 
NR,PERS,N1-3,DOM,CITY,AT	2238373 	2206555 	: 	: 	1980318 
NR,PERS,N1-3,DOM,CITY,BE	: 	542444 	: 	: 	529775 
NR,PERS,N1-3,DOM,CITY,BG	: 	813761 	: 	: 	934996 
NR,PERS,N1-3,DOM,CITY,CH	: 	200686 u	208441 u	: 	296535 u
NR,PERS,N1-3,DOM,CITY,CY	: 	218458 	: 	: 	71366 
NR,PERS,N1-3,DOM,CITY,CZ	: 	7541931 	: 	: 	7529409 
NR,PERS,N1-3,DOM,CITY,DE	: 	57446482 	: 	: 	53469114 
NR,PERS,N1-3,DOM,CITY,DK	: 	88747 u	: 	: 	12522800 
NR,PERS,N1-3,DOM,CITY,EA	: 	: 	: 	: 	177794399 e
NR,PERS,N1-3,DOM,CITY,EE	: 	1104832 	: 	: 	776835 
NR,PERS,N1-3,DOM,CITY,EL	: 	715753 	: 	: 	561366 
NR,PERS,N1-3,DOM,CITY,ES	: 	39950293 	: 	: 	31750107 
NR,PERS,N1-3,DOM,CITY,EU27	: 	: 	: 	: 	255337883 e
NR,PERS,N1-3,DOM,CITY,EU28	: 	: 	: 	: 	257356805 e
NR,PERS,N1-3,DOM,CITY,FI	: 	12740262 	: 	: 	12435006 
NR,PERS,N1-3,DOM,CITY,FR	52677808 	45909551 	: 	: 	53827428 
NR,PERS,N1-3,DOM,CITY,HR	: 	433905 	: 	: 	2021689 
NR,PERS,N1-3,DOM,CITY,HU	5412619 	5497057 	: 	: 	4991678 
NR,PERS,N1-3,DOM,CITY,IE	: 	3431727 	: 	: 	2777807 
NR,PERS,N1-3,DOM,CITY,IT	: 	5775054 	: 	: 	8320432 
NR,PERS,N1-3,DOM,CITY,LT	: 	1479479 	: 	: 	1042936 
NR,PERS,N1-3,DOM,CITY,LU	: 	: u	: 	: 	24712 u
NR,PERS,N1-3,DOM,CITY,LV	: 	403077 	: 	: 	1503774 
NR,PERS,N1-3,DOM,CITY,MT	: 	109495 	: 	: 	: 
NR,PERS,N1-3,DOM,CITY,NL	: 	5651281 	: 	: 	6802782 
NR,PERS,N1-3,DOM,CITY,NO	519197 	515165 	583490 	544831 	445089 
NR,PERS,N1-3,DOM,CITY,PL	: 	16906446 	: 	: 	12278260 
NR,PERS,N1-3,DOM,CITY,PT	: 	2793156 	: 	: 	2634902 
NR,PERS,N1-3,DOM,CITY,RO	4432873 	4056796 	: 	: 	3947789 
NR,PERS,N1-3,DOM,CITY,SE	: 	4011196 	: 	: 	: 
NR,PERS,N1-3,DOM,CITY,SI	: 	411709 	: 	: 	453453 
NR,PERS,N1-3,DOM,CITY,SK	: 	2174284 	: 	: 	1357181 
NR,PERS,N1-3,DOM,CITY,UK	: 	: 	: 	: 	27941815 
NR,PERS,N1-3,DOM,CRS,AT	: c	: 	: 	: 	768328 
NR,PERS,N1-3,DOM,CRS,BE	: 	14525 	: 	: 	: 
NR,PERS,N1-3,DOM,CRS,CY	: 	: u	: 	: 	: 
NR,PERS,N1-3,DOM,CRS,CZ	: 	: u	: 	: 	: u
