unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,PERS,N1-3,DOM,AT	6764655 	6882323 	6351613 	6709183 	6314809 	5777112 	: 	: 	: 	: 	: 	4891530 	: 	3634549 	3943964 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BE	2175530 b	1698476 	2235671 	1435782 	1670786 	1489881 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,BG	2736847 	1596173 	1424295 	1855864 	1877711 	1941286 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CH	: 	3836856 	4058296 	3993011 	4450442 	3905121 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CY	1167110 	1114113 	1082593 	962785 	879804 	1074564 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,CZ	20061639 	17702092 	16203332 	18528217 	17215083 	18628902 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,DE	79063521 	87104335 	89534444 	80109555 	87350273 	84908064 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,DK	: 	17400216 	19496387 	19511192 	19196406 b	17342909 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3293900 	3272600 	: 	4076000 	4544400 	: 	: 
NR,PERS,N1-3,DOM,EA	: 	: 	: 	346795430 e	354866288 e	362797988 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,EE	2599066 	2598912 	2147737 	2048022 	1386473 	1353968 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,EL	: 	1337167 	1472529 	1596409 	1357457 	2658927 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,ES	98440678 	92415804 	87944959 b	80180124 	82058291 	83539578 	: 	: 	: 	: 	: 	79276889 	84616160 	84597140 	81704040 	77831510 	93093860 	91629228 	42642976 	8545046 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,EU27	: 	: 	525357549 e	516200805 e	513660630 e	525390247 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,EU28	: 	: 	526844332 e	518847382 e	516806903 e	528391122 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,FI	21196262 	20638135 	20500670 	20069650 	21219881 	21483338 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,FR	99012103 	87141181 	88733645 	100199550 	99691398 	101090835 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	77619000 	78564000 	78910921 	81060002 	: 	: 	: 
NR,PERS,N1-3,DOM,HR	1232553 	1318717 	1858851 	2862996 	3169156 	3028091 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,HU	8967808 	8787343 	9178335 	9005826 	8283007 	10404311 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,IE	5987283 	5655671 	5412039 	4583726 	4415085 	4451422 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2074000 	2017000 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,IT	20992374 	22957185 	18822480 	19635800 b	17616095 	22914818 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,LT	1801918 	1809246 	1894224 	1859041 	1772756 	1800988 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,LU	: 	11417 u	11722 u	20175 	48074 	38128 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8000 	7000 	11000 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,LV	: 	2727693 	2576756 	2719511 	2709534 	3269376 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,MT	211062 	203619 	169306 	165919 b	164188 	165635 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NL	16080049 	16194798 	16157006 	17024512 	17539840 	19655079 b	: 	: 	: 	: 	: 	7110000 	7017000 	7177000 	7293000 	7535000 	7597000 	7639000 	7113000 	6760000 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,NO	7834014 	7541954 	7498071 	8174748 	6567323 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,PL	26732292 	25434026 	23295558 	22452085 b	22771087 	23553957 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,PT	10748717 	9864400 	9457829 	9029729 	8875773 	8657057 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,RO	11011671 	10451315 	10027943 	10260473 	10284515 	9618923 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,SE	: 	20044477 	20128632 	17769462 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,SI	1416660 	1254837 	1127833 	1472051 	1567992 	1603955 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,SK	4440135 	4193045 	3317069 	2811721 	2666527 b	1890993 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,UK	: 	: 	: 	: 	64927148 	66096023 	: 	: 	: 	: 	: 	: 	: 	: 	57487000 	64600000 	63800000 	67400000 	41200000 	34900000 	38100000 	: 	: 	: 
NR,PERS,N1-3,OUT,AT	3221235 	3217806 	2833028 	2850096 	2723405 	2818254 	: 	: 	: 	: 	: 	2134276 	: 	1725533 	1558135 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,BE	3497669 b	3743983 	3032998 	2884899 	2624343 	2156721 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,BG	178450 	149846 	130947 	189931 	162018 	135246 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,CH	: 	3938949 	4361258 	3644864 	3986475 	3224504 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,CY	235260 	183437 	156972 	148305 	171641 	157928 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,CZ	1328754 	1275739 	1237811 	1180757 	1111178 	1050506 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,DE	14924947 	17094355 	15354115 	13920042 	14900957 	13876657 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,DK	: 	2507991 	2717992 	2599579 	2374379 b	1527244 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	659300 	677000 	: 	573000 	591600 	: 	: 
NR,PERS,N1-3,OUT,EA	: 	: 	: 	42216181 e	41424211 e	41287050 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,EE	419706 	393638 	368095 	485265 	395321 	459316 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,EL	: 	95920 	107218 	97519 	67605 	90327 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,ES	4116844 	3434381 	3423014 b	2906575 	2555744 	2913628 	: 	: 	: 	: 	: 	2024692 	2011055 	1220518 	795568 	675224 	1044523 	862810 	437306 	562101 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,EU27	: 	: 	64602519 e	61535485 e	57805791 e	56273451 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,EU28	: 	: 	65576148 e	62635471 e	58837067 e	57338843 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,FI	3759778 	3545942 	3541532 	3391192 	3581500 	3537344 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,FR	6316258 	4722287 	5047258 	5356788 	4962452 	4858392 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3804000 	3888000 	3571965 	3610003 	: 	: 	: 
NR,PERS,N1-3,OUT,HR	759033 	640416 	919897 	1027094 	1021039 	1054293 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,HU	3075831 	2913650 	2363757 	2027675 	1678402 	1418008 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,IE	2025638 	1572400 	1573439 	1457267 	1427108 	1416706 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	180000 	200000 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,IT	3068314 	2467363 	2570124 	2498814 b	2381599 	3371504 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,LT	448611 	467922 	445482 	430686 	448477 	437053 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,LU	: 	453780 	552818 	603412 	491504 	476851 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	242000 	170000 	138000 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,LV	: 	496219 	466337 	424494 	390320 	502822 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,MT	102008 	84734 	64305 	57048 b	59273 	46841 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,NL	3923769 	3556962 	3463745 	3410717 	3448328 	3479117 b	: 	: 	: 	: 	: 	2771000 	2807000 	3060000 	2950000 	3093000 	2081000 	2186000 	2204000 	1993000 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,NO	2014927 	1960761 	2216416 	2288247 	2037051 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,PL	1947431 	1845190 	1776437 	1598368 b	1683933 	1700825 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,PT	416465 	394075 	338485 	263395 	199226 	304597 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,RO	135611 	146155 	118083 	71337 	116584 	85809 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,SE	: 	2882490 	3126353 	2995149 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,SI	1277136 	1067855 	1097612 	1107793 	1108834 	886486 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,SK	1043141 	746000 	497727 	674033 	320288 b	431300 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,UK	: 	: 	: 	: 	7318438 	7065007 	: 	: 	: 	: 	: 	: 	: 	: 	8425000 	8100000 	8100000 	7300000 	3700000 	3700000 	3100000 	: 	: 	: 
NR,PERS,N1-3,WORLD,AT	9985891 	10100129 	9184641 	9559279 	9038213 	8595366 	: 	: 	: 	: 	: 	7025807 	: 	5360082 	5502099 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,BE	5673199 b	5442459 	5268669 	4320681 	4295129 	3646602 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,BG	2915297 	1746019 	1555242 	2045795 	2039729 	2076532 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,WORLD,CH	: 	7775806 	8419555 	7637876 	8436917 	7129625 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
