unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,PERS,N1-3,AFR,AT	: c	: u	: u	: 	: u	: u	0 	976 	1387 	8505 	0 	0 	0 	2307 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AFR,BE	: u	7496 	: u	: u	: u	: u	11682 	6672 	0 	0 	7462 	2786 	8180 	2589 	3184 	1474 	0 	0 	1478 	0 	: 	: 	: 	: 
NR,PERS,N1-3,AFR,CH	: 	: 	: 	: u	: u	: 	: u	: u	: u	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AFR,CY	: 	: u	: u	: u	: u	: u	781 	2092 	1665 	1929 	2138 	1065 	2860 	3072 	1978 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AFR,CZ	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AFR,DE	: c	: 	: u	: u	: u	: 	0 	50907 	8771 	0 	10841 	0 	0 	0 	37000 	14000 	27000 	0 	0 	: u	: u	: 	: 	: 
NR,PERS,N1-3,AFR,DK	: 	: u	: 	: 	: 	: 	0 	0 	0 	0 	0 	3568 	2158 	0 	0 	4400 	0 	0 	0 	0 	0 	3100 	: 	: 
NR,PERS,N1-3,AFR,EE	: 	: 	: u	: 	: 	: 	: u	: u	0 	: u	203 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AFR,EL	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	4336 	2814 	0 	0 	0 	0 	0 	2327 	0 	0 	0 	0 	: 	: 
NR,PERS,N1-3,AFR,ES	187327 	148722 	122335 b	175327 	146046 	172728 	162052 	152735 	118890 	33211 	47809 	19223 	25481 	13544 	4053 	8798 	11727 	9428 	: 	11862 	2485 	: 	: 	: 
