duration,unit,partner,geo,time\isced11	TOTAL 	ED0-2 	ED3_4 	ED5-8 
N1-3,NR,WORLD,AT,2012	4119170 	: 	: 	: 
N1-3,NR,WORLD,AT,2013	4264321 	: 	: 	: 
N1-3,NR,WORLD,AT,2014	4130375 	: 	: 	: 
N1-3,NR,WORLD,AT,2015	4195713 	: 	: 	: 
N1-3,NR,WORLD,AT,2016	4292276 	: 	: 	: 
N1-3,NR,WORLD,AT,2017	4324150 	: 	: 	: 
N1-3,NR,WORLD,BE,2012	2206533 	: 	: 	: 
N1-3,NR,WORLD,BE,2013	2863748 	: 	: 	: 
N1-3,NR,WORLD,BE,2014	2665112 	: 	: 	: 
N1-3,NR,WORLD,BE,2015	2970031 	: 	: 	: 
N1-3,NR,WORLD,BE,2016	3206234 	: 	: 	: 
N1-3,NR,WORLD,BE,2017	3593973 b	: 	: 	: 
N1-3,NR,WORLD,BG,2012	545011 	: 	: 	: 
N1-3,NR,WORLD,BG,2013	656285 	: 	: 	: 
N1-3,NR,WORLD,BG,2014	1072023 	: 	: 	: 
N1-3,NR,WORLD,BG,2015	1024039 	: 	: 	: 
N1-3,NR,WORLD,BG,2016	1027332 	: 	: 	: 
N1-3,NR,WORLD,BG,2017	1359755 	: 	: 	: 
N1-3,NR,WORLD,CH,2012	4276835 	: 	: 	: 
N1-3,NR,WORLD,CH,2013	4372054 	: 	: 	: 
N1-3,NR,WORLD,CH,2014	4345410 	: 	: 	: 
N1-3,NR,WORLD,CH,2015	4557444 	: 	: 	: 
N1-3,NR,WORLD,CH,2016	4666464 	: 	: 	: 
N1-3,NR,WORLD,CY,2012	303695 e	: 	: 	: 
N1-3,NR,WORLD,CY,2013	212165 e	: 	: 	: 
N1-3,NR,WORLD,CY,2014	246994 e	: 	: 	: 
N1-3,NR,WORLD,CY,2015	239165 e	: 	: 	: 
N1-3,NR,WORLD,CY,2016	274419 e	: 	: 	: 
N1-3,NR,WORLD,CY,2017	248715 e	: 	: 	: 
N1-3,NR,WORLD,CZ,2012	5658708 	: 	: 	: 
N1-3,NR,WORLD,CZ,2013	5527683 	: 	: 	: 
N1-3,NR,WORLD,CZ,2014	6226692 	: 	: 	: 
N1-3,NR,WORLD,CZ,2015	6107778 	: 	: 	: 
N1-3,NR,WORLD,CZ,2016	6247174 	: 	: 	: 
N1-3,NR,WORLD,CZ,2017	6374793 	: 	: 	: 
N1-3,NR,WORLD,DE,2012	49895720 	: 	: 	: 
N1-3,NR,WORLD,DE,2013	50068574 	: 	: 	: 
N1-3,NR,WORLD,DE,2014	49029356 	: 	: 	: 
N1-3,NR,WORLD,DE,2015	48199996 	: 	: 	: 
N1-3,NR,WORLD,DE,2016	50657581 	: 	: 	: 
N1-3,NR,WORLD,DE,2017	46337128 	: 	: 	: 
N1-3,NR,WORLD,DK,2012	2041126 	: 	: 	: 
N1-3,NR,WORLD,DK,2013	2114792 	: 	: 	: 
N1-3,NR,WORLD,DK,2014	2218049 	: 	: 	: 
N1-3,NR,WORLD,DK,2015	2009893 	: 	: 	: 
N1-3,NR,WORLD,DK,2016	2079622 	: 	: 	: 
N1-3,NR,WORLD,EE,2012	584471 	: 	: 	: 
N1-3,NR,WORLD,EE,2013	596824 	: 	: 	: 
N1-3,NR,WORLD,EE,2014	713966 	: 	: 	: 
N1-3,NR,WORLD,EE,2015	570830 	: 	: 	: 
N1-3,NR,WORLD,EE,2016	606113 	: 	: 	: 
N1-3,NR,WORLD,EE,2017	700280 	: 	: 	: 
N1-3,NR,WORLD,EL,2012	1300026 	: 	: 	: 
N1-3,NR,WORLD,EL,2013	856216 	: 	: 	: 
N1-3,NR,WORLD,EL,2014	1080235 	: 	: 	: 
N1-3,NR,WORLD,EL,2015	1077222 	: 	: 	: 
N1-3,NR,WORLD,EL,2016	951804 	: 	: 	: 
N1-3,NR,WORLD,EL,2017	1121788 	: 	: 	: 
N1-3,NR,WORLD,ES,2012	14344187 	5337010 	4772930 	4234248 
N1-3,NR,WORLD,ES,2013	14398283 	5246574 	4885626 	4266083 
N1-3,NR,WORLD,ES,2014	14485336 	5310340 	4922912 	4252084 
N1-3,NR,WORLD,ES,2015	17901013 b	6532257 b	4147816 b	7220941 b
N1-3,NR,WORLD,ES,2016	18417748 	6658570 	4251162 	7508016 
