unit,duration,partner,wstatus,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,N1-3,WORLD,ACT_INAC,AT	4324150 	4292276 	4195713 	4130375 	4264321 	4119170 
NR,N1-3,WORLD,ACT_INAC,BE	3593973 b	3206234 	2970031 	2665112 	2863748 	2206533 
NR,N1-3,WORLD,ACT_INAC,BG	1359755 	1027332 	1024039 	1072023 	656285 	545011 
NR,N1-3,WORLD,ACT_INAC,CH	: 	4666464 	4557444 	4345410 	4372054 	4276835 
NR,N1-3,WORLD,ACT_INAC,CY	248715 e	274419 e	239165 e	246994 e	212165 e	303695 e
NR,N1-3,WORLD,ACT_INAC,CZ	6374793 	6247174 	6107778 	6226692 	5527683 	5658708 
NR,N1-3,WORLD,ACT_INAC,DE	46337128 	50657581 	48199996 	49029356 	50068574 	49895720 
NR,N1-3,WORLD,ACT_INAC,DK	: 	2079622 	2009893 	2218049 	2114792 	2041126 
NR,N1-3,WORLD,ACT_INAC,EE	700280 	606113 	570830 	713966 	596824 	584471 
NR,N1-3,WORLD,ACT_INAC,EL	1121788 	951804 	1077222 	1080235 	856216 	1300026 
NR,N1-3,WORLD,ACT_INAC,ES	20150650 	18417748 	17901013 b	14485336 	14398283 	14344187 
NR,N1-3,WORLD,ACT_INAC,FI	3886110 	3878073 	3792187 	3821595 	3769445 	3850333 
NR,N1-3,WORLD,ACT_INAC,FR	28902754 	26129306 	26356314 	26163620 	26050136 	26484794 
NR,N1-3,WORLD,ACT_INAC,HR	752541 	767760 	799160 b	1044893 	1115937 	1252108 u
NR,N1-3,WORLD,ACT_INAC,HU	: 	3572737 	3362673 	3331117 	3085293 	3296927 
NR,N1-3,WORLD,ACT_INAC,IE	1866111 	1766274 	1683506 	1693883 	1558586 	1670101 
NR,N1-3,WORLD,ACT_INAC,IT	9841982 	11263009 	10156932 	9207873 b	9795305 	11788635 
NR,N1-3,WORLD,ACT_INAC,LT	747404 	755791 	760204 	758073 	756336 	705242 
NR,N1-3,WORLD,ACT_INAC,LU	: 	252348 	270807 	221069 	250057 	207700 
