purpose,age,duration,unit,geo\time	2016 	2013 
FIN,Y15-24,N_GE1,NR,AT	: c	: 
FIN,Y15-24,N_GE1,NR,BE	288854 	: 
FIN,Y15-24,N_GE1,NR,BG	142731 	: 
FIN,Y15-24,N_GE1,NR,CH	9594 u	: 
FIN,Y15-24,N_GE1,NR,CY	10528 u	: 
FIN,Y15-24,N_GE1,NR,CZ	82014 u	: 
FIN,Y15-24,N_GE1,NR,DE	: c	: 
FIN,Y15-24,N_GE1,NR,DK	25686 	: 
FIN,Y15-24,N_GE1,NR,EA	5404405 	: 
FIN,Y15-24,N_GE1,NR,EE	: c	: 
FIN,Y15-24,N_GE1,NR,EL	490472 	: 
FIN,Y15-24,N_GE1,NR,ES	641016 	: 
FIN,Y15-24,N_GE1,NR,EU27	10032135 	: 
FIN,Y15-24,N_GE1,NR,EU28	10118309 	: 
FIN,Y15-24,N_GE1,NR,FI	: c	: 
FIN,Y15-24,N_GE1,NR,FR	870138 	: 
FIN,Y15-24,N_GE1,NR,HR	86174 	: 
FIN,Y15-24,N_GE1,NR,HU	210239 	: 
FIN,Y15-24,N_GE1,NR,IE	109293 	: 
FIN,Y15-24,N_GE1,NR,IT	2004245 	: 
FIN,Y15-24,N_GE1,NR,LT	32504 	: 
FIN,Y15-24,N_GE1,NR,LU	: c	: 
FIN,Y15-24,N_GE1,NR,LV	21640 	: 
FIN,Y15-24,N_GE1,NR,ME	: c	: 
FIN,Y15-24,N_GE1,NR,MT	2550 u	: 
FIN,Y15-24,N_GE1,NR,NL	95141 	: 
FIN,Y15-24,N_GE1,NR,PL	649458 	: 
FIN,Y15-24,N_GE1,NR,PT	385344 	: 
FIN,Y15-24,N_GE1,NR,RO	1044496 	: 
FIN,Y15-24,N_GE1,NR,SE	121722 	: 
FIN,Y15-24,N_GE1,NR,SI	6232 u	: 
FIN,Y15-24,N_GE1,NR,SK	59356 u	: 
FIN,Y15-24,N_GE1,NR,UK	2297240 	: 
FIN,Y25-34,N_GE1,NR,AT	: c	: 
FIN,Y25-34,N_GE1,NR,BE	288693 	: 
FIN,Y25-34,N_GE1,NR,BG	242041 	: 
FIN,Y25-34,N_GE1,NR,CH	25748 u	: 
FIN,Y25-34,N_GE1,NR,CY	17052 e	: 
FIN,Y25-34,N_GE1,NR,CZ	: c	: 
FIN,Y25-34,N_GE1,NR,DE	: c	: 
FIN,Y25-34,N_GE1,NR,DK	52329 	: 
FIN,Y25-34,N_GE1,NR,EA	5839397 	: 
FIN,Y25-34,N_GE1,NR,EE	: c	: 
FIN,Y25-34,N_GE1,NR,EL	548948 	: 
FIN,Y25-34,N_GE1,NR,ES	770319 	: 
FIN,Y25-34,N_GE1,NR,EU27	10061557 	: 
FIN,Y25-34,N_GE1,NR,EU28	10171587 	: 
FIN,Y25-34,N_GE1,NR,FI	: c	: 
FIN,Y25-34,N_GE1,NR,FR	972411 	: 
FIN,Y25-34,N_GE1,NR,HR	110030 	: 
FIN,Y25-34,N_GE1,NR,HU	213800 	: 
FIN,Y25-34,N_GE1,NR,IE	98755 	: 
FIN,Y25-34,N_GE1,NR,IT	1739120 	: 
FIN,Y25-34,N_GE1,NR,LT	8404 	: 
FIN,Y25-34,N_GE1,NR,LU	: c	: 
FIN,Y25-34,N_GE1,NR,LV	34671 	: 
FIN,Y25-34,N_GE1,NR,ME	: c	: 
FIN,Y25-34,N_GE1,NR,MT	8372 u	: 
FIN,Y25-34,N_GE1,NR,NL	108965 	: 
FIN,Y25-34,N_GE1,NR,PL	830397 	: 
FIN,Y25-34,N_GE1,NR,PT	329309 	: 
FIN,Y25-34,N_GE1,NR,RO	992909 	: 
FIN,Y25-34,N_GE1,NR,SE	144451 	: 
FIN,Y25-34,N_GE1,NR,SI	29877 	: 
FIN,Y25-34,N_GE1,NR,SK	98274 	: 
FIN,Y25-34,N_GE1,NR,UK	1609490 	: 
FIN,Y25-44,N_GE1,NR,AT	95447 u	: 
FIN,Y25-44,N_GE1,NR,BE	566163 	: 
FIN,Y25-44,N_GE1,NR,BG	561591 	: 
FIN,Y25-44,N_GE1,NR,CH	61511 u	: 
FIN,Y25-44,N_GE1,NR,CY	36343 e	: 
FIN,Y25-44,N_GE1,NR,CZ	215736 	: 
FIN,Y25-44,N_GE1,NR,DE	1761038 u	: 
FIN,Y25-44,N_GE1,NR,DK	88456 	: 
FIN,Y25-44,N_GE1,NR,EA	13228442 	: 
FIN,Y25-44,N_GE1,NR,EE	: c	: 
FIN,Y25-44,N_GE1,NR,EL	1251978 	: 
FIN,Y25-44,N_GE1,NR,ES	1943918 	: 
FIN,Y25-44,N_GE1,NR,EU27	22335553 	: 
FIN,Y25-44,N_GE1,NR,EU28	22643632 	: 
