isced11,purpose,duration,unit,geo\time	2016 	2013 
ED0-2,FIN,N_GE1,NR,EA	: u	: u
ED0-2,FIN,N_GE1,NR,ES	4527632 	8144835 
ED0-2,FIN,N_GE1,NR,EU27	: u	: u
ED0-2,FIN,N_GE1,NR,EU28	: u	: u
ED0-2,FIN,N_GE1,NR,FI	: c	35927 u
ED0-2,FIN,N_GE1,NR,HR	: 	354493 
ED0-2,FIN,N_GE1,NR,LU	: 	4850 e
ED0-2,FIN,N_GE1,NR,LV	66759 	: 
ED0-2,FIN,N_GE1,NR,NL	212136 	417472 
ED0-2,FIN,N_GE1,NR,SI	121894 	130687 e
ED0-2,HLTH,N_GE1,NR,EA	: u	: u
ED0-2,HLTH,N_GE1,NR,ES	2539193 	3125967 
ED0-2,HLTH,N_GE1,NR,EU27	: u	: u
ED0-2,HLTH,N_GE1,NR,EU28	: u	: u
ED0-2,HLTH,N_GE1,NR,FI	: c	32715 u
ED0-2,HLTH,N_GE1,NR,HR	: 	114011 
ED0-2,HLTH,N_GE1,NR,LU	: 	10550 e
ED0-2,HLTH,N_GE1,NR,LV	56245 	: 
ED0-2,HLTH,N_GE1,NR,NL	134221 	208922 
ED0-2,HLTH,N_GE1,NR,SI	86198 	101160 e
ED0-2,NINT,N_GE1,NR,EA	: u	: u
ED0-2,NINT,N_GE1,NR,ES	2119123 	2649495 
ED0-2,NINT,N_GE1,NR,EU27	: u	: u
ED0-2,NINT,N_GE1,NR,EU28	: u	: u
ED0-2,NINT,N_GE1,NR,FI	70637 u	77702 
ED0-2,NINT,N_GE1,NR,HR	: 	97251 
ED0-2,NINT,N_GE1,NR,LU	: 	7999 e
ED0-2,NINT,N_GE1,NR,LV	10000 	: 
ED0-2,NINT,N_GE1,NR,NL	157958 	307861 
ED0-2,NINT,N_GE1,NR,SI	48303 	39333 e
ED0-2,NTIME_FAM,N_GE1,NR,EA	: u	: u
ED0-2,NTIME_FAM,N_GE1,NR,ES	964870 	2454793 
ED0-2,NTIME_FAM,N_GE1,NR,EU27	: u	: u
ED0-2,NTIME_FAM,N_GE1,NR,EU28	: u	: u
ED0-2,NTIME_FAM,N_GE1,NR,FI	: c	9246 u
ED0-2,NTIME_FAM,N_GE1,NR,HR	: 	30701 
ED0-2,NTIME_FAM,N_GE1,NR,LU	: 	5545 e
ED0-2,NTIME_FAM,N_GE1,NR,LV	6340 	: 
ED0-2,NTIME_FAM,N_GE1,NR,NL	39521 	48053 
ED0-2,NTIME_FAM,N_GE1,NR,SI	8955 u	10210 e
ED0-2,NTIME_WRK_STU,N_GE1,NR,EA	: u	: u
ED0-2,NTIME_WRK_STU,N_GE1,NR,ES	1040426 	1926868 
ED0-2,NTIME_WRK_STU,N_GE1,NR,EU27	: u	: u
ED0-2,NTIME_WRK_STU,N_GE1,NR,EU28	: u	: u
ED0-2,NTIME_WRK_STU,N_GE1,NR,FI	: c	6254 u
ED0-2,NTIME_WRK_STU,N_GE1,NR,HR	: 	33544 
ED0-2,NTIME_WRK_STU,N_GE1,NR,LU	: 	1882 e
ED0-2,NTIME_WRK_STU,N_GE1,NR,LV	9193 	: 
ED0-2,NTIME_WRK_STU,N_GE1,NR,NL	60642 	33791 
ED0-2,NTIME_WRK_STU,N_GE1,NR,SI	36587 	22999 e
ED0-2,OTH,N_GE1,NR,EA	: u	: u
ED0-2,OTH,N_GE1,NR,ES	443440 	: 
ED0-2,OTH,N_GE1,NR,EU27	: u	: u
ED0-2,OTH,N_GE1,NR,EU28	: u	: u
ED0-2,OTH,N_GE1,NR,FI	: c	20994 u
ED0-2,OTH,N_GE1,NR,HR	: 	51020 
ED0-2,OTH,N_GE1,NR,LU	: 	5455 e
ED0-2,OTH,N_GE1,NR,LV	447 	: 
ED0-2,OTH,N_GE1,NR,NL	106273 	78828 
ED0-2,OTH,N_GE1,NR,SI	8108 u	5597 u
ED0-2,SAFE,N_GE1,NR,EA	: u	: u
ED0-2,SAFE,N_GE1,NR,ES	: c	79622 
ED0-2,SAFE,N_GE1,NR,EU27	: u	: u
ED0-2,SAFE,N_GE1,NR,EU28	: u	: u
ED0-2,SAFE,N_GE1,NR,FI	: 	3297 u
ED0-2,SAFE,N_GE1,NR,HR	: 	0 
ED0-2,SAFE,N_GE1,NR,LU	: 	844 e
ED0-2,SAFE,N_GE1,NR,LV	0 	: 
ED0-2,SAFE,N_GE1,NR,NL	16842 	10181 
ED0-2,SAFE,N_GE1,NR,SI	2713 u	1865 u
ED0-2,TOTAL,N_GE1,NR,EA	: u	: u
ED0-2,TOTAL,N_GE1,NR,ES	9905738 	11751783 
ED0-2,TOTAL,N_GE1,NR,EU27	: u	: u
ED0-2,TOTAL,N_GE1,NR,EU28	: u	: u
ED0-2,TOTAL,N_GE1,NR,FI	180771 	186137 
ED0-2,TOTAL,N_GE1,NR,HR	: 	681020 
ED0-2,TOTAL,N_GE1,NR,LU	: 	32387 e
ED0-2,TOTAL,N_GE1,NR,LV	148984 	: 
ED0-2,TOTAL,N_GE1,NR,NL	650203 	919459 
ED0-2,TOTAL,N_GE1,NR,SI	226864 	244215 e
ED3_4,FIN,N_GE1,NR,EA	: u	: u
ED3_4,FIN,N_GE1,NR,ES	1071368 	3240992 
ED3_4,FIN,N_GE1,NR,EU27	: u	: u
ED3_4,FIN,N_GE1,NR,EU28	: u	: u
ED3_4,FIN,N_GE1,NR,FI	: c	24719 u
ED3_4,FIN,N_GE1,NR,HR	: 	600726 
ED3_4,FIN,N_GE1,NR,LU	: 	8766 e
ED3_4,FIN,N_GE1,NR,LV	204945 	: 
ED3_4,FIN,N_GE1,NR,NL	295769 	345239 
ED3_4,FIN,N_GE1,NR,SI	135795 	206396 e
ED3_4,HLTH,N_GE1,NR,EA	: u	: u
ED3_4,HLTH,N_GE1,NR,ES	216973 	300872 
ED3_4,HLTH,N_GE1,NR,EU27	: u	: u
ED3_4,HLTH,N_GE1,NR,EU28	: u	: u
ED3_4,HLTH,N_GE1,NR,FI	: c	42867 u
ED3_4,HLTH,N_GE1,NR,HR	: 	103552 
ED3_4,HLTH,N_GE1,NR,LU	: 	9916 e
ED3_4,HLTH,N_GE1,NR,LV	74106 	: 
ED3_4,HLTH,N_GE1,NR,NL	235570 	137409 
ED3_4,HLTH,N_GE1,NR,SI	95396 	93556 e
ED3_4,NINT,N_GE1,NR,EA	: u	: u
ED3_4,NINT,N_GE1,NR,ES	225565 	728130 
ED3_4,NINT,N_GE1,NR,EU27	: u	: u
ED3_4,NINT,N_GE1,NR,EU28	: u	: u
ED3_4,NINT,N_GE1,NR,FI	: c	42375 u
ED3_4,NINT,N_GE1,NR,HR	: 	113519 
ED3_4,NINT,N_GE1,NR,LU	: 	9562 e
ED3_4,NINT,N_GE1,NR,LV	37751 	: 
ED3_4,NINT,N_GE1,NR,NL	219521 	197345 
ED3_4,NINT,N_GE1,NR,SI	77877 	56385 e
ED3_4,NTIME_FAM,N_GE1,NR,EA	: u	: u
ED3_4,NTIME_FAM,N_GE1,NR,ES	255989 	783454 
ED3_4,NTIME_FAM,N_GE1,NR,EU27	: u	: u
ED3_4,NTIME_FAM,N_GE1,NR,EU28	: u	: u
ED3_4,NTIME_FAM,N_GE1,NR,FI	: c	12659 u
ED3_4,NTIME_FAM,N_GE1,NR,HR	: 	45905 
ED3_4,NTIME_FAM,N_GE1,NR,LU	: 	7326 e
ED3_4,NTIME_FAM,N_GE1,NR,LV	35018 	: 
ED3_4,NTIME_FAM,N_GE1,NR,NL	67466 	32178 
ED3_4,NTIME_FAM,N_GE1,NR,SI	18793 	27147 e
ED3_4,NTIME_WRK_STU,N_GE1,NR,EA	: u	: u
ED3_4,NTIME_WRK_STU,N_GE1,NR,ES	455692 	1340486 
ED3_4,NTIME_WRK_STU,N_GE1,NR,EU27	: u	: u
ED3_4,NTIME_WRK_STU,N_GE1,NR,EU28	: u	: u
ED3_4,NTIME_WRK_STU,N_GE1,NR,FI	: c	9670 u
ED3_4,NTIME_WRK_STU,N_GE1,NR,HR	: 	105074 
ED3_4,NTIME_WRK_STU,N_GE1,NR,LU	: 	3928 e
ED3_4,NTIME_WRK_STU,N_GE1,NR,LV	33708 	: 
ED3_4,NTIME_WRK_STU,N_GE1,NR,NL	81845 	65136 
ED3_4,NTIME_WRK_STU,N_GE1,NR,SI	60013 	60471 e
ED3_4,OTH,N_GE1,NR,EA	: u	: u
ED3_4,OTH,N_GE1,NR,ES	92843 	: 
ED3_4,OTH,N_GE1,NR,EU27	: u	: u
ED3_4,OTH,N_GE1,NR,EU28	: u	: u
ED3_4,OTH,N_GE1,NR,FI	: c	36305 u
ED3_4,OTH,N_GE1,NR,HR	: 	69489 
ED3_4,OTH,N_GE1,NR,LU	: 	3954 e
ED3_4,OTH,N_GE1,NR,LV	5764 	: 
ED3_4,OTH,N_GE1,NR,NL	106642 	105601 
ED3_4,OTH,N_GE1,NR,SI	13189 	9417 e
ED3_4,SAFE,N_GE1,NR,EA	: u	: u
ED3_4,SAFE,N_GE1,NR,ES	: c	6013 
ED3_4,SAFE,N_GE1,NR,EU27	: u	: u
ED3_4,SAFE,N_GE1,NR,EU28	: u	: u
ED3_4,SAFE,N_GE1,NR,FI	: c	0 u
ED3_4,SAFE,N_GE1,NR,HR	: 	0 
ED3_4,SAFE,N_GE1,NR,LU	: 	383 e
ED3_4,SAFE,N_GE1,NR,LV	0 	: 
ED3_4,SAFE,N_GE1,NR,NL	11753 	7559 
ED3_4,SAFE,N_GE1,NR,SI	5810 u	2763 u
ED3_4,TOTAL,N_GE1,NR,EA	: u	: u
ED3_4,TOTAL,N_GE1,NR,ES	1928656 	4335623 
ED3_4,TOTAL,N_GE1,NR,EU27	: u	: u
ED3_4,TOTAL,N_GE1,NR,EU28	: u	: u
ED3_4,TOTAL,N_GE1,NR,FI	161437 	168594 
ED3_4,TOTAL,N_GE1,NR,HR	: 	1038265 
ED3_4,TOTAL,N_GE1,NR,LU	: 	35015 e
ED3_4,TOTAL,N_GE1,NR,LV	391292 	: 
ED3_4,TOTAL,N_GE1,NR,NL	859312 	729167 
ED3_4,TOTAL,N_GE1,NR,SI	299854 	362048 e
ED5-8,FIN,N_GE1,NR,EA	: u	: u
ED5-8,FIN,N_GE1,NR,ES	654930 	1009164 
ED5-8,FIN,N_GE1,NR,EU27	: u	: u
ED5-8,FIN,N_GE1,NR,EU28	: u	: u
ED5-8,FIN,N_GE1,NR,FI	: c	6925 u
ED5-8,FIN,N_GE1,NR,HR	: 	83481 
ED5-8,FIN,N_GE1,NR,LU	: 	1329 e
ED5-8,FIN,N_GE1,NR,LV	50416 	: 
ED5-8,FIN,N_GE1,NR,NL	174060 	194671 
ED5-8,FIN,N_GE1,NR,SI	20474 	31504 e
ED5-8,HLTH,N_GE1,NR,EA	: u	: u
ED5-8,HLTH,N_GE1,NR,ES	186976 	143242 
ED5-8,HLTH,N_GE1,NR,EU27	: u	: u
ED5-8,HLTH,N_GE1,NR,EU28	: u	: u
ED5-8,HLTH,N_GE1,NR,FI	: c	9623 u
ED5-8,HLTH,N_GE1,NR,HR	: 	26598 
ED5-8,HLTH,N_GE1,NR,LU	: 	2247 e
ED5-8,HLTH,N_GE1,NR,LV	23636 	: 
ED5-8,HLTH,N_GE1,NR,NL	89365 	115837 
ED5-8,HLTH,N_GE1,NR,SI	19678 	18196 e
ED5-8,NINT,N_GE1,NR,EA	: u	: u
ED5-8,NINT,N_GE1,NR,ES	230628 	326680 
ED5-8,NINT,N_GE1,NR,EU27	: u	: u
ED5-8,NINT,N_GE1,NR,EU28	: u	: u
ED5-8,NINT,N_GE1,NR,FI	: c	23122 u
ED5-8,NINT,N_GE1,NR,HR	: 	19440 
ED5-8,NINT,N_GE1,NR,LU	: 	2260 e
ED5-8,NINT,N_GE1,NR,LV	14469 	: 
ED5-8,NINT,N_GE1,NR,NL	171066 	123257 
ED5-8,NINT,N_GE1,NR,SI	10895 	15651 e
ED5-8,NTIME_FAM,N_GE1,NR,EA	: u	: u
ED5-8,NTIME_FAM,N_GE1,NR,ES	243331 	382377 
ED5-8,NTIME_FAM,N_GE1,NR,EU27	: u	: u
ED5-8,NTIME_FAM,N_GE1,NR,EU28	: u	: u
ED5-8,NTIME_FAM,N_GE1,NR,FI	: 	3581 u
ED5-8,NTIME_FAM,N_GE1,NR,HR	: 	18713 
ED5-8,NTIME_FAM,N_GE1,NR,LU	: 	3362 e
ED5-8,NTIME_FAM,N_GE1,NR,LV	16062 	: 
ED5-8,NTIME_FAM,N_GE1,NR,NL	32804 	35795 
ED5-8,NTIME_FAM,N_GE1,NR,SI	6339 u	10205 e
ED5-8,NTIME_WRK_STU,N_GE1,NR,EA	: u	: u
ED5-8,NTIME_WRK_STU,N_GE1,NR,ES	366811 	550751 
ED5-8,NTIME_WRK_STU,N_GE1,NR,EU27	: u	: u
ED5-8,NTIME_WRK_STU,N_GE1,NR,EU28	: u	: u
ED5-8,NTIME_WRK_STU,N_GE1,NR,FI	: c	6165 u
ED5-8,NTIME_WRK_STU,N_GE1,NR,HR	: 	39295 
ED5-8,NTIME_WRK_STU,N_GE1,NR,LU	: 	912 e
ED5-8,NTIME_WRK_STU,N_GE1,NR,LV	19006 	: 
ED5-8,NTIME_WRK_STU,N_GE1,NR,NL	84984 	58230 
ED5-8,NTIME_WRK_STU,N_GE1,NR,SI	15680 u	13646 e
ED5-8,OTH,N_GE1,NR,EA	: u	: u
ED5-8,OTH,N_GE1,NR,ES	149076 	: 
ED5-8,OTH,N_GE1,NR,EU27	: u	: u
ED5-8,OTH,N_GE1,NR,EU28	: u	: u
ED5-8,OTH,N_GE1,NR,FI	: c	7849 u
ED5-8,OTH,N_GE1,NR,HR	: 	15128 
ED5-8,OTH,N_GE1,NR,LU	: 	1337 e
ED5-8,OTH,N_GE1,NR,LV	6205 	: 
ED5-8,OTH,N_GE1,NR,NL	86790 	92577 
ED5-8,OTH,N_GE1,NR,SI	2186 u	1783 u
ED5-8,SAFE,N_GE1,NR,EA	: u	: u
ED5-8,SAFE,N_GE1,NR,ES	: c	3578 
ED5-8,SAFE,N_GE1,NR,EU27	: u	: u
ED5-8,SAFE,N_GE1,NR,EU28	: u	: u
ED5-8,SAFE,N_GE1,NR,FI	: 	0 u
ED5-8,SAFE,N_GE1,NR,HR	: 	0 
ED5-8,SAFE,N_GE1,NR,LU	: 	167 e
ED5-8,SAFE,N_GE1,NR,LV	0 	: 
ED5-8,SAFE,N_GE1,NR,NL	23559 	12857 
ED5-8,SAFE,N_GE1,NR,SI	451 u	0 u
ED5-8,TOTAL,N_GE1,NR,EA	: u	: u
ED5-8,TOTAL,N_GE1,NR,ES	1522875 	1656380 
ED5-8,TOTAL,N_GE1,NR,EU27	: u	: u
ED5-8,TOTAL,N_GE1,NR,EU28	: u	: u
ED5-8,TOTAL,N_GE1,NR,FI	: c	57266 
ED5-8,TOTAL,N_GE1,NR,HR	: 	202655 
ED5-8,TOTAL,N_GE1,NR,LU	: 	11305 e
ED5-8,TOTAL,N_GE1,NR,LV	129793 	: 
ED5-8,TOTAL,N_GE1,NR,NL	540522 	498050 
ED5-8,TOTAL,N_GE1,NR,SI	60428 	72181 e
TOTAL,FIN,N_GE1,NR,AT	369502 	378864 
TOTAL,FIN,N_GE1,NR,BE	2281646 	: 
TOTAL,FIN,N_GE1,NR,BG	2174640 	3422040 
TOTAL,FIN,N_GE1,NR,CH	216719 u	226911 u
TOTAL,FIN,N_GE1,NR,CY	124957 e	168957 e
TOTAL,FIN,N_GE1,NR,CZ	638601 	1158148 
TOTAL,FIN,N_GE1,NR,DE	5796426 	6159312 
TOTAL,FIN,N_GE1,NR,DK	204615 	149357 
TOTAL,FIN,N_GE1,NR,EA	45401396 	53501703 e
TOTAL,FIN,N_GE1,NR,EE	131777 	206410 
TOTAL,FIN,N_GE1,NR,EL	4390266 	4497263 
TOTAL,FIN,N_GE1,NR,ES	6253929 	12394991 
TOTAL,FIN,N_GE1,NR,EU27	75479226 	86923971 e
TOTAL,FIN,N_GE1,NR,EU28	76732557 	87899198 e
TOTAL,FIN,N_GE1,NR,FI	: c	67571 
TOTAL,FIN,N_GE1,NR,FR	5529703 	5137117 
TOTAL,FIN,N_GE1,NR,HR	1253331 	1038700 
TOTAL,FIN,N_GE1,NR,HU	1778274 	: 
TOTAL,FIN,N_GE1,NR,IE	520584 	690104 
TOTAL,FIN,N_GE1,NR,IT	14752797 	15153274 
TOTAL,FIN,N_GE1,NR,LT	207522 	222224 
TOTAL,FIN,N_GE1,NR,LU	13810 u	14945 
TOTAL,FIN,N_GE1,NR,LV	322121 	200190 
TOTAL,FIN,N_GE1,NR,ME	: c	: 
TOTAL,FIN,N_GE1,NR,MT	41044 	67742 
TOTAL,FIN,N_GE1,NR,NL	681965 	957382 
TOTAL,FIN,N_GE1,NR,PL	6924680 	6130000 
TOTAL,FIN,N_GE1,NR,PT	3399028 	4125674 
TOTAL,FIN,N_GE1,NR,RO	6937325 	8917406 
TOTAL,FIN,N_GE1,NR,SE	809032 	: 
TOTAL,FIN,N_GE1,NR,SI	278163 	368588 e
TOTAL,FIN,N_GE1,NR,SK	782101 	1317892 
TOTAL,FIN,N_GE1,NR,UK	10081020 	9642000 
TOTAL,HLTH,N_GE1,NR,AT	547695 	461143 
TOTAL,HLTH,N_GE1,NR,BE	1012866 	: 
TOTAL,HLTH,N_GE1,NR,BG	685144 	571364 
TOTAL,HLTH,N_GE1,NR,CH	211732 u	223143 u
TOTAL,HLTH,N_GE1,NR,CY	49021 e	33460 e
TOTAL,HLTH,N_GE1,NR,CZ	688872 	812291 
TOTAL,HLTH,N_GE1,NR,DE	6889627 	5704782 
TOTAL,HLTH,N_GE1,NR,DK	281521 	229434 
TOTAL,HLTH,N_GE1,NR,EA	21880831 	21568375 e
TOTAL,HLTH,N_GE1,NR,EE	118485 	: 
TOTAL,HLTH,N_GE1,NR,EL	1031906 	1044427 
TOTAL,HLTH,N_GE1,NR,ES	2943142 	3570082 
TOTAL,HLTH,N_GE1,NR,EU27	30860800 	30523767 e
TOTAL,HLTH,N_GE1,NR,EU28	31354754 	30737839 e
TOTAL,HLTH,N_GE1,NR,FI	81727 u	85205 
TOTAL,HLTH,N_GE1,NR,FR	2164086 	2397379 
TOTAL,HLTH,N_GE1,NR,HR	493954 	244161 
TOTAL,HLTH,N_GE1,NR,HU	847262 	: 
TOTAL,HLTH,N_GE1,NR,IE	178748 	133528 
TOTAL,HLTH,N_GE1,NR,IT	4304022 	4833939 
TOTAL,HLTH,N_GE1,NR,LT	155226 	184146 
TOTAL,HLTH,N_GE1,NR,LU	17914 	22713 
TOTAL,HLTH,N_GE1,NR,LV	153987 	156601 
TOTAL,HLTH,N_GE1,NR,ME	: c	: 
TOTAL,HLTH,N_GE1,NR,MT	31619 	34168 
TOTAL,HLTH,N_GE1,NR,NL	459156 	462168 
TOTAL,HLTH,N_GE1,NR,PL	3254694 	2910000 
TOTAL,HLTH,N_GE1,NR,PT	1354838 	1287352 
TOTAL,HLTH,N_GE1,NR,RO	1608420 	2159730 
TOTAL,HLTH,N_GE1,NR,SE	335513 	: 
TOTAL,HLTH,N_GE1,NR,SI	201272 	212912 e
TOTAL,HLTH,N_GE1,NR,SK	498848 	475624 
TOTAL,HLTH,N_GE1,NR,UK	969330 	773200 
TOTAL,NINT,N_GE1,NR,AT	655762 	528004 
TOTAL,NINT,N_GE1,NR,BE	1823948 	: 
TOTAL,NINT,N_GE1,NR,BG	31263 	14498 
TOTAL,NINT,N_GE1,NR,CH	147936 u	140676 u
TOTAL,NINT,N_GE1,NR,CY	16949 e	52743 e
TOTAL,NINT,N_GE1,NR,CZ	387063 	466563 
TOTAL,NINT,N_GE1,NR,DE	6134888 	6478870 
TOTAL,NINT,N_GE1,NR,DK	25825 	84287 
TOTAL,NINT,N_GE1,NR,EA	24477382 	24288862 e
TOTAL,NINT,N_GE1,NR,EE	96490 	96844 
TOTAL,NINT,N_GE1,NR,EL	639400 	332668 
TOTAL,NINT,N_GE1,NR,ES	2575316 	3704305 
TOTAL,NINT,N_GE1,NR,EU27	32161001 	31524641 e
TOTAL,NINT,N_GE1,NR,EU28	32451914 	31720680 e
TOTAL,NINT,N_GE1,NR,FI	131789 u	143199 
TOTAL,NINT,N_GE1,NR,FR	1897080 	1696716 
TOTAL,NINT,N_GE1,NR,HR	290913 	230210 
TOTAL,NINT,N_GE1,NR,HU	111173 	: 
TOTAL,NINT,N_GE1,NR,IE	235563 	192261 
TOTAL,NINT,N_GE1,NR,IT	5920208 	6207349 
TOTAL,NINT,N_GE1,NR,LT	77352 	66223 
TOTAL,NINT,N_GE1,NR,LU	22319 	19821 
TOTAL,NINT,N_GE1,NR,LV	62220 	37619 
TOTAL,NINT,N_GE1,NR,ME	: c	: 
TOTAL,NINT,N_GE1,NR,MT	39688 	26354 
TOTAL,NINT,N_GE1,NR,NL	548545 	628462 
TOTAL,NINT,N_GE1,NR,PL	2990258 	2070000 
TOTAL,NINT,N_GE1,NR,PT	2717497 	2608470 
TOTAL,NINT,N_GE1,NR,RO	617053 	: 
TOTAL,NINT,N_GE1,NR,SE	1055022 	: 
TOTAL,NINT,N_GE1,NR,SI	137075 	111369 e
TOTAL,NINT,N_GE1,NR,SK	887556 	646247 
TOTAL,NINT,N_GE1,NR,UK	2326390 	2106900 
TOTAL,NTIME_FAM,N_GE1,NR,AT	422071 	345094 
TOTAL,NTIME_FAM,N_GE1,NR,BE	808684 	: 
TOTAL,NTIME_FAM,N_GE1,NR,BG	404004 	305004 
TOTAL,NTIME_FAM,N_GE1,NR,CH	81401 u	55223 u
TOTAL,NTIME_FAM,N_GE1,NR,CY	39439 e	12001 e
TOTAL,NTIME_FAM,N_GE1,NR,CZ	248022 	201942 
TOTAL,NTIME_FAM,N_GE1,NR,DE	4156299 	5202157 
TOTAL,NTIME_FAM,N_GE1,NR,DK	10870 	5975 
TOTAL,NTIME_FAM,N_GE1,NR,EA	14632072 	16960274 e
TOTAL,NTIME_FAM,N_GE1,NR,EE	47485 u	58291 
TOTAL,NTIME_FAM,N_GE1,NR,EL	525572 	557004 
TOTAL,NTIME_FAM,N_GE1,NR,ES	1464190 	3620624 
TOTAL,NTIME_FAM,N_GE1,NR,EU27	20985276 	23148489 e
TOTAL,NTIME_FAM,N_GE1,NR,EU28	21308551 	23215240 e
TOTAL,NTIME_FAM,N_GE1,NR,FI	: c	25486 u
TOTAL,NTIME_FAM,N_GE1,NR,FR	1151056 	969896 
TOTAL,NTIME_FAM,N_GE1,NR,HR	323275 	95318 
TOTAL,NTIME_FAM,N_GE1,NR,HU	134412 	: 
TOTAL,NTIME_FAM,N_GE1,NR,IE	121996 	91892 
TOTAL,NTIME_FAM,N_GE1,NR,IT	4342547 	4113330 
TOTAL,NTIME_FAM,N_GE1,NR,LT	51422 	33592 
TOTAL,NTIME_FAM,N_GE1,NR,LU	18326 	16233 
TOTAL,NTIME_FAM,N_GE1,NR,LV	57419 	16258 
TOTAL,NTIME_FAM,N_GE1,NR,ME	: c	: 
TOTAL,NTIME_FAM,N_GE1,NR,MT	10374 u	20868 
TOTAL,NTIME_FAM,N_GE1,NR,NL	139791 	116025 
TOTAL,NTIME_FAM,N_GE1,NR,PL	1913097 	1970000 
TOTAL,NTIME_FAM,N_GE1,NR,PT	956068 	813467 
TOTAL,NTIME_FAM,N_GE1,NR,RO	1116372 	707455 
TOTAL,NTIME_FAM,N_GE1,NR,SE	91196 	: 
TOTAL,NTIME_FAM,N_GE1,NR,SI	34087 	47562 e
TOTAL,NTIME_FAM,N_GE1,NR,SK	378294 	381126 
TOTAL,NTIME_FAM,N_GE1,NR,UK	2326390 	2085400 
TOTAL,NTIME_WRK_STU,N_GE1,NR,AT	429894 	345349 
TOTAL,NTIME_WRK_STU,N_GE1,NR,BE	1021233 	: 
