purpose,quantile,duration,unit,geo\time	2016 	2013 
FIN,TOTAL,N_GE1,NR,AT	369502 	378864 
FIN,TOTAL,N_GE1,NR,BE	2281646 	: 
FIN,TOTAL,N_GE1,NR,BG	2174640 	3422040 
FIN,TOTAL,N_GE1,NR,CH	216719 u	226911 u
FIN,TOTAL,N_GE1,NR,CY	124957 e	168957 e
FIN,TOTAL,N_GE1,NR,CZ	638601 	1158148 
FIN,TOTAL,N_GE1,NR,DE	5796426 	6159312 
FIN,TOTAL,N_GE1,NR,DK	204615 	149357 
FIN,TOTAL,N_GE1,NR,EA	46083361 	64106760 e
FIN,TOTAL,N_GE1,NR,EE	131777 	206410 
FIN,TOTAL,N_GE1,NR,EL	4390266 	4497263 
FIN,TOTAL,N_GE1,NR,ES	6253929 	: c
FIN,TOTAL,N_GE1,NR,EU27	76161191 	97848840 e
FIN,TOTAL,N_GE1,NR,EU28	77414522 	99913213 e
FIN,TOTAL,N_GE1,NR,FI	: c	67571 
FIN,TOTAL,N_GE1,NR,FR	5529703 	5137117 
FIN,TOTAL,N_GE1,NR,HR	1253331 	2077400 
FIN,TOTAL,N_GE1,NR,HU	1778274 	: 
FIN,TOTAL,N_GE1,NR,IE	520584 	690104 
FIN,TOTAL,N_GE1,NR,IT	14752797 	15153274 
FIN,TOTAL,N_GE1,NR,LT	207522 	222224 
FIN,TOTAL,N_GE1,NR,LU	13810 u	14945 
FIN,TOTAL,N_GE1,NR,LV	322121 	200190 
FIN,TOTAL,N_GE1,NR,ME	: c	: 
FIN,TOTAL,N_GE1,NR,MT	41044 	67742 
FIN,TOTAL,N_GE1,NR,NL	1363930 	1914764 
FIN,TOTAL,N_GE1,NR,PL	6924680 	6130000 
FIN,TOTAL,N_GE1,NR,PT	3399028 	4125674 
FIN,TOTAL,N_GE1,NR,RO	6937325 	8917406 
FIN,TOTAL,N_GE1,NR,SE	809032 	: 
FIN,TOTAL,N_GE1,NR,SI	278163 	368588 e
FIN,TOTAL,N_GE1,NR,SK	782101 	1317892 
FIN,TOTAL,N_GE1,NR,UK	10081020 	9642000 
HLTH,TOTAL,N_GE1,NR,AT	547695 	461143 
HLTH,TOTAL,N_GE1,NR,BE	1012866 	: 
HLTH,TOTAL,N_GE1,NR,BG	685144 	571364 
HLTH,TOTAL,N_GE1,NR,CH	211732 u	223143 u
HLTH,TOTAL,N_GE1,NR,CY	49021 e	33460 e
HLTH,TOTAL,N_GE1,NR,CZ	688872 	812291 
HLTH,TOTAL,N_GE1,NR,DE	6889627 	5704782 
HLTH,TOTAL,N_GE1,NR,DK	281521 	229434 
HLTH,TOTAL,N_GE1,NR,EA	22339987 	24862926 e
HLTH,TOTAL,N_GE1,NR,EE	118485 	: 
HLTH,TOTAL,N_GE1,NR,EL	1031906 	1044427 
HLTH,TOTAL,N_GE1,NR,ES	2943142 	: c
HLTH,TOTAL,N_GE1,NR,EU27	31319956 	33913214 e
HLTH,TOTAL,N_GE1,NR,EU28	31813910 	34382711 e
HLTH,TOTAL,N_GE1,NR,FI	81727 u	85205 
HLTH,TOTAL,N_GE1,NR,FR	2164086 	2397379 
HLTH,TOTAL,N_GE1,NR,HR	493954 	488322 
HLTH,TOTAL,N_GE1,NR,HU	847262 	: 
HLTH,TOTAL,N_GE1,NR,IE	178748 	133528 
HLTH,TOTAL,N_GE1,NR,IT	4304022 	4833939 
HLTH,TOTAL,N_GE1,NR,LT	155226 	184146 
HLTH,TOTAL,N_GE1,NR,LU	17914 	22713 
HLTH,TOTAL,N_GE1,NR,LV	153987 	156601 
HLTH,TOTAL,N_GE1,NR,ME	: c	: 
HLTH,TOTAL,N_GE1,NR,MT	31619 	34168 
HLTH,TOTAL,N_GE1,NR,NL	918312 	924336 
HLTH,TOTAL,N_GE1,NR,PL	3254694 	2910000 
HLTH,TOTAL,N_GE1,NR,PT	1354838 	1287352 
HLTH,TOTAL,N_GE1,NR,RO	1608420 	2159730 
HLTH,TOTAL,N_GE1,NR,SE	335513 	: 
HLTH,TOTAL,N_GE1,NR,SI	201272 	212912 e
HLTH,TOTAL,N_GE1,NR,SK	498848 	475624 
HLTH,TOTAL,N_GE1,NR,UK	969330 	773200 
NINT,TOTAL,N_GE1,NR,AT	655762 	528004 
NINT,TOTAL,N_GE1,NR,BE	1823948 	: 
NINT,TOTAL,N_GE1,NR,BG	31263 	14498 
NINT,TOTAL,N_GE1,NR,CH	147936 u	140676 u
NINT,TOTAL,N_GE1,NR,CY	16949 e	52743 e
NINT,TOTAL,N_GE1,NR,CZ	387063 	466563 
NINT,TOTAL,N_GE1,NR,DE	6134888 	6478870 
NINT,TOTAL,N_GE1,NR,DK	25825 	84287 
NINT,TOTAL,N_GE1,NR,EA	25025926 	27606243 e
NINT,TOTAL,N_GE1,NR,EE	96490 	96844 
NINT,TOTAL,N_GE1,NR,EL	639400 	332668 
