purpose,sex,duration,unit,geo\time	2016 	2013 
FIN,F,N_GE1,NR,AT	227173 	193144 
FIN,F,N_GE1,NR,BE	1155530 	: 
FIN,F,N_GE1,NR,BG	1125503 	1704935 
FIN,F,N_GE1,NR,CH	114570 u	118557 u
FIN,F,N_GE1,NR,CY	64211 e	87921 e
FIN,F,N_GE1,NR,CZ	352804 	611007 
FIN,F,N_GE1,NR,DE	3444442 	3553323 
FIN,F,N_GE1,NR,DK	103276 	51281 
FIN,F,N_GE1,NR,EA	24040665 	27586890 e
FIN,F,N_GE1,NR,EE	86634 	108010 
FIN,F,N_GE1,NR,EL	2272387 	2305985 
FIN,F,N_GE1,NR,ES	3246404 	6114587 
FIN,F,N_GE1,NR,EU27	39674162 	44936682 e
FIN,F,N_GE1,NR,EU28	40363819 	45444742 e
FIN,F,N_GE1,NR,FI	: c	46615 u
FIN,F,N_GE1,NR,FR	2883025 	2689440 
FIN,F,N_GE1,NR,HR	689657 	540638 
FIN,F,N_GE1,NR,HU	951084 	: 
FIN,F,N_GE1,NR,IE	251012 	326170 
FIN,F,N_GE1,NR,IT	7617461 	7735686 
FIN,F,N_GE1,NR,LT	141415 	150228 
FIN,F,N_GE1,NR,LU	6337 u	9836 
FIN,F,N_GE1,NR,LV	178292 	112893 
FIN,F,N_GE1,NR,ME	: c	: 
FIN,F,N_GE1,NR,MT	25083 	33402 
FIN,F,N_GE1,NR,NL	313676 	491279 
FIN,F,N_GE1,NR,PL	3671881 	3460000 
FIN,F,N_GE1,NR,PT	1821967 	2123564 
FIN,F,N_GE1,NR,RO	3526310 	4487541 
FIN,F,N_GE1,NR,SE	440692 	: 
FIN,F,N_GE1,NR,SI	155680 	187972 e
FIN,F,N_GE1,NR,SK	439998 	654088 
FIN,F,N_GE1,NR,UK	5142240 	4918300 
FIN,M,N_GE1,NR,AT	142329 	185720 
FIN,M,N_GE1,NR,BE	1126116 	: 
FIN,M,N_GE1,NR,BG	1049137 	1717105 
FIN,M,N_GE1,NR,CH	102149 u	108354 u
FIN,M,N_GE1,NR,CY	60746 e	81036 e
FIN,M,N_GE1,NR,CZ	285797 	547141 
FIN,M,N_GE1,NR,DE	2351984 	2605989 
FIN,M,N_GE1,NR,DK	101339 	98076 
FIN,M,N_GE1,NR,EA	21360734 	25914811 e
FIN,M,N_GE1,NR,EE	45143 u	98400 
FIN,M,N_GE1,NR,EL	2117879 	2191278 
FIN,M,N_GE1,NR,ES	3007526 	6280404 
FIN,M,N_GE1,NR,EU27	35805066 	41987287 e
FIN,M,N_GE1,NR,EU28	36368739 	42454454 e
FIN,M,N_GE1,NR,FI	: c	20956 u
FIN,M,N_GE1,NR,FR	2646679 	2447677 
FIN,M,N_GE1,NR,HR	563673 	498062 
FIN,M,N_GE1,NR,HU	827189 	: 
FIN,M,N_GE1,NR,IE	269572 	363933 
FIN,M,N_GE1,NR,IT	7135336 	7417588 
FIN,M,N_GE1,NR,LT	66107 	71996 
FIN,M,N_GE1,NR,LU	7473 u	5109 
FIN,M,N_GE1,NR,LV	143829 	87297 
FIN,M,N_GE1,NR,ME	: c	: 
FIN,M,N_GE1,NR,MT	15960 	34339 
FIN,M,N_GE1,NR,NL	368289 	466103 
FIN,M,N_GE1,NR,PL	3252799 	2670000 
FIN,M,N_GE1,NR,PT	1577061 	2002110 
FIN,M,N_GE1,NR,RO	3411015 	4429865 
FIN,M,N_GE1,NR,SE	368340 	: 
FIN,M,N_GE1,NR,SI	122483 	180616 e
FIN,M,N_GE1,NR,SK	342103 	663804 
FIN,M,N_GE1,NR,UK	4938780 	4723700 
FIN,T,N_GE1,NR,AT	369502 	378864 
FIN,T,N_GE1,NR,BE	2281646 	: 
FIN,T,N_GE1,NR,BG	2174640 	3422040 
FIN,T,N_GE1,NR,CH	216719 u	226911 u
FIN,T,N_GE1,NR,CY	124957 e	168957 e
FIN,T,N_GE1,NR,CZ	638601 	1158148 
FIN,T,N_GE1,NR,DE	5796426 	6159312 
FIN,T,N_GE1,NR,DK	204615 	149357 
FIN,T,N_GE1,NR,EA	45401396 	53501703 e
FIN,T,N_GE1,NR,EE	131777 	206410 
FIN,T,N_GE1,NR,EL	4390266 	4497263 
FIN,T,N_GE1,NR,ES	6253929 	12394991 
FIN,T,N_GE1,NR,EU27	75479226 	86923971 e
FIN,T,N_GE1,NR,EU28	76732557 	87899198 e
FIN,T,N_GE1,NR,FI	: c	67571 
FIN,T,N_GE1,NR,FR	5529703 	5137117 
FIN,T,N_GE1,NR,HR	1253331 	1038700 
FIN,T,N_GE1,NR,HU	1778274 	: 
FIN,T,N_GE1,NR,IE	520584 	690104 
FIN,T,N_GE1,NR,IT	14752797 	15153274 
FIN,T,N_GE1,NR,LT	207522 	222224 
FIN,T,N_GE1,NR,LU	13810 u	14945 
FIN,T,N_GE1,NR,LV	322121 	200190 
FIN,T,N_GE1,NR,ME	: c	: 
FIN,T,N_GE1,NR,MT	41044 	67742 
FIN,T,N_GE1,NR,NL	681965 	957382 
FIN,T,N_GE1,NR,PL	6924680 	6130000 
FIN,T,N_GE1,NR,PT	3399028 	4125674 
FIN,T,N_GE1,NR,RO	6937325 	8917406 
FIN,T,N_GE1,NR,SE	809032 	: 
FIN,T,N_GE1,NR,SI	278163 	368588 e
FIN,T,N_GE1,NR,SK	782101 	1317892 
FIN,T,N_GE1,NR,UK	10081020 	9642000 
HLTH,F,N_GE1,NR,AT	322723 	274260 
HLTH,F,N_GE1,NR,BE	535779 	: 
HLTH,F,N_GE1,NR,BG	432336 	347092 
HLTH,F,N_GE1,NR,CH	115431 u	140199 u
HLTH,F,N_GE1,NR,CY	28802 e	20736 e
HLTH,F,N_GE1,NR,CZ	398935 	468583 
HLTH,F,N_GE1,NR,DE	4686239 	3447678 
HLTH,F,N_GE1,NR,DK	163664 	125220 
HLTH,F,N_GE1,NR,EA	13455950 	12867132 e
HLTH,F,N_GE1,NR,EE	85321 	: 
HLTH,F,N_GE1,NR,EL	607260 	621596 
HLTH,F,N_GE1,NR,ES	1670781 	2149463 
HLTH,F,N_GE1,NR,EU27	18831378 	18318124 e
HLTH,F,N_GE1,NR,EU28	19158620 	18446188 e
HLTH,F,N_GE1,NR,FI	58241 	47492 u
HLTH,F,N_GE1,NR,FR	1175192 	1283440 
HLTH,F,N_GE1,NR,HR	327242 	146147 
HLTH,F,N_GE1,NR,HU	453146 	: 
HLTH,F,N_GE1,NR,IE	97485 	72799 
HLTH,F,N_GE1,NR,IT	2653386 	2972396 
HLTH,F,N_GE1,NR,LT	100717 	124487 
