purpose,wstatus,duration,unit,geo\time	2016 	2013 
FIN,ACT_INAC,N_GE1,NR,AT	369502 	378864 
FIN,ACT_INAC,N_GE1,NR,BE	2281646 	: 
FIN,ACT_INAC,N_GE1,NR,BG	2174640 	3422040 
FIN,ACT_INAC,N_GE1,NR,CH	216719 u	226911 u
FIN,ACT_INAC,N_GE1,NR,CY	124957 e	168957 e
FIN,ACT_INAC,N_GE1,NR,CZ	638601 	1158148 
FIN,ACT_INAC,N_GE1,NR,DE	5796426 	6159312 
FIN,ACT_INAC,N_GE1,NR,DK	204615 	149357 
FIN,ACT_INAC,N_GE1,NR,EA	45401396 	53501703 e
FIN,ACT_INAC,N_GE1,NR,EE	131777 	206410 
FIN,ACT_INAC,N_GE1,NR,EL	4390266 	4497263 
FIN,ACT_INAC,N_GE1,NR,ES	6253929 	12394991 
FIN,ACT_INAC,N_GE1,NR,EU27	75479226 	86923971 e
FIN,ACT_INAC,N_GE1,NR,EU28	76732557 	87899198 e
FIN,ACT_INAC,N_GE1,NR,FI	: c	67571 
FIN,ACT_INAC,N_GE1,NR,FR	5529703 	5137117 
FIN,ACT_INAC,N_GE1,NR,HR	1253331 	1038700 
FIN,ACT_INAC,N_GE1,NR,HU	1778274 	: 
FIN,ACT_INAC,N_GE1,NR,IE	520584 	690104 
FIN,ACT_INAC,N_GE1,NR,IT	14752797 	15153274 
FIN,ACT_INAC,N_GE1,NR,LT	207522 	222224 
FIN,ACT_INAC,N_GE1,NR,LU	13810 u	14945 
FIN,ACT_INAC,N_GE1,NR,LV	322121 	200190 
FIN,ACT_INAC,N_GE1,NR,ME	: c	: 
FIN,ACT_INAC,N_GE1,NR,MT	41044 	67742 
FIN,ACT_INAC,N_GE1,NR,NL	681965 	957382 
FIN,ACT_INAC,N_GE1,NR,PL	6924680 	6130000 
FIN,ACT_INAC,N_GE1,NR,PT	3399028 	4125674 
FIN,ACT_INAC,N_GE1,NR,RO	6937325 	8917406 
FIN,ACT_INAC,N_GE1,NR,SE	809032 	: 
FIN,ACT_INAC,N_GE1,NR,SI	278163 	368588 e
FIN,ACT_INAC,N_GE1,NR,SK	782101 	1317892 
FIN,ACT_INAC,N_GE1,NR,UK	10081020 	9642000 
FIN,EDUC,N_GE1,NR,EA	: u	: u
FIN,EDUC,N_GE1,NR,ES	368162 	1200718 
FIN,EDUC,N_GE1,NR,EU27	: u	: u
FIN,EDUC,N_GE1,NR,EU28	: u	: u
FIN,EDUC,N_GE1,NR,HR	: 	29695 
FIN,EDUC,N_GE1,NR,LU	: 	0 u
FIN,EDUC,N_GE1,NR,LV	10737 	: 
FIN,EDUC,N_GE1,NR,NL	73518 	99808 
FIN,EDUC,N_GE1,NR,SI	5837 u	12182 e
FIN,EMP,N_GE1,NR,EA	: u	: u
FIN,EMP,N_GE1,NR,ES	2149278 	4197599 
FIN,EMP,N_GE1,NR,EU27	: u	: u
FIN,EMP,N_GE1,NR,EU28	: u	: u
FIN,EMP,N_GE1,NR,FI	: c	14268 u
FIN,EMP,N_GE1,NR,HR	: 	288231 
FIN,EMP,N_GE1,NR,LU	: 	8385 
FIN,EMP,N_GE1,NR,LV	131249 	: 
FIN,EMP,N_GE1,NR,NL	258401 	346136 
FIN,EMP,N_GE1,NR,SI	70781 	120163 e
FIN,INAC_OTH,N_GE1,NR,EA	: u	: u
FIN,INAC_OTH,N_GE1,NR,ES	1983937 	3558997 
FIN,INAC_OTH,N_GE1,NR,EU27	: u	: u
FIN,INAC_OTH,N_GE1,NR,EU28	: u	: u
FIN,INAC_OTH,N_GE1,NR,FI	: c	30390 u
FIN,INAC_OTH,N_GE1,NR,HR	: 	480073 
FIN,INAC_OTH,N_GE1,NR,LU	: 	2720 
FIN,INAC_OTH,N_GE1,NR,LV	137634 	: 
FIN,INAC_OTH,N_GE1,NR,NL	187716 	260998 
FIN,INAC_OTH,N_GE1,NR,SI	168622 	178243 e
FIN,UNE,N_GE1,NR,EA	: u	: u
FIN,UNE,N_GE1,NR,ES	1752552 	3437676 
FIN,UNE,N_GE1,NR,EU27	: u	: u
FIN,UNE,N_GE1,NR,EU28	: u	: u
FIN,UNE,N_GE1,NR,FI	: c	22914 u
FIN,UNE,N_GE1,NR,HR	: 	240701 
FIN,UNE,N_GE1,NR,LU	: 	3839 
FIN,UNE,N_GE1,NR,LV	42501 	: 
FIN,UNE,N_GE1,NR,NL	162330 	250440 
FIN,UNE,N_GE1,NR,SI	32923 	58000 e
HLTH,ACT_INAC,N_GE1,NR,AT	547695 	461143 
HLTH,ACT_INAC,N_GE1,NR,BE	1012866 	: 
HLTH,ACT_INAC,N_GE1,NR,BG	685144 	571364 
HLTH,ACT_INAC,N_GE1,NR,CH	211732 u	223143 u
HLTH,ACT_INAC,N_GE1,NR,CY	49021 e	33460 e
HLTH,ACT_INAC,N_GE1,NR,CZ	688872 	812291 
HLTH,ACT_INAC,N_GE1,NR,DE	6889627 	5704782 
HLTH,ACT_INAC,N_GE1,NR,DK	281521 	229434 
HLTH,ACT_INAC,N_GE1,NR,EA	21880831 	21568375 e
HLTH,ACT_INAC,N_GE1,NR,EE	118485 	: 
HLTH,ACT_INAC,N_GE1,NR,EL	1031906 	1044427 
HLTH,ACT_INAC,N_GE1,NR,ES	2943142 	3570082 
HLTH,ACT_INAC,N_GE1,NR,EU27	30860800 	30523767 e
HLTH,ACT_INAC,N_GE1,NR,EU28	31354754 	30737839 e
HLTH,ACT_INAC,N_GE1,NR,FI	81727 u	85205 
HLTH,ACT_INAC,N_GE1,NR,FR	2164086 	2397379 
HLTH,ACT_INAC,N_GE1,NR,HR	493954 	244161 
HLTH,ACT_INAC,N_GE1,NR,HU	847262 	: 
HLTH,ACT_INAC,N_GE1,NR,IE	178748 	133528 
HLTH,ACT_INAC,N_GE1,NR,IT	4304022 	4833939 
HLTH,ACT_INAC,N_GE1,NR,LT	155226 	184146 
HLTH,ACT_INAC,N_GE1,NR,LU	17914 	22713 
HLTH,ACT_INAC,N_GE1,NR,LV	153987 	156601 
HLTH,ACT_INAC,N_GE1,NR,ME	: c	: 
HLTH,ACT_INAC,N_GE1,NR,MT	31619 	34168 
HLTH,ACT_INAC,N_GE1,NR,NL	459156 	462168 
HLTH,ACT_INAC,N_GE1,NR,PL	3254694 	2910000 
HLTH,ACT_INAC,N_GE1,NR,PT	1354838 	1287352 
HLTH,ACT_INAC,N_GE1,NR,RO	1608420 	2159730 
HLTH,ACT_INAC,N_GE1,NR,SE	335513 	: 
HLTH,ACT_INAC,N_GE1,NR,SI	201272 	212912 e
HLTH,ACT_INAC,N_GE1,NR,SK	498848 	475624 
HLTH,ACT_INAC,N_GE1,NR,UK	969330 	773200 
HLTH,EDUC,N_GE1,NR,EA	: u	: u
HLTH,EDUC,N_GE1,NR,ES	: c	32473 
HLTH,EDUC,N_GE1,NR,EU27	: u	: u
HLTH,EDUC,N_GE1,NR,EU28	: u	: u
HLTH,EDUC,N_GE1,NR,FI	: 	0 u
HLTH,EDUC,N_GE1,NR,HR	: 	0 
HLTH,EDUC,N_GE1,NR,LU	: 	0 u
HLTH,EDUC,N_GE1,NR,LV	368 	: 
HLTH,EDUC,N_GE1,NR,NL	21309 	6206 
HLTH,EDUC,N_GE1,NR,SI	381 u	1141 u
HLTH,EMP,N_GE1,NR,EA	: u	: u
HLTH,EMP,N_GE1,NR,ES	196581 	215046 
HLTH,EMP,N_GE1,NR,EU27	: u	: u
HLTH,EMP,N_GE1,NR,EU28	: u	: u
HLTH,EMP,N_GE1,NR,FI	: c	3288 u
HLTH,EMP,N_GE1,NR,HR	: 	24264 
HLTH,EMP,N_GE1,NR,LU	: 	2399 
HLTH,EMP,N_GE1,NR,LV	3660 	: 
HLTH,EMP,N_GE1,NR,NL	59540 	46595 
HLTH,EMP,N_GE1,NR,SI	24097 	22944 e
HLTH,INAC_OTH,N_GE1,NR,EA	: u	: u
HLTH,INAC_OTH,N_GE1,NR,ES	2626959 	3218020 
HLTH,INAC_OTH,N_GE1,NR,EU27	: u	: u
HLTH,INAC_OTH,N_GE1,NR,EU28	: u	: u
HLTH,INAC_OTH,N_GE1,NR,FI	77684 u	78545 
HLTH,INAC_OTH,N_GE1,NR,HR	: 	212648 
HLTH,INAC_OTH,N_GE1,NR,LU	: 	18249 
HLTH,INAC_OTH,N_GE1,NR,LV	149598 	: 
HLTH,INAC_OTH,N_GE1,NR,NL	282316 	317360 
HLTH,INAC_OTH,N_GE1,NR,SI	172003 	177308 e
HLTH,UNE,N_GE1,NR,EA	: u	: u
HLTH,UNE,N_GE1,NR,ES	111867 	104543 
HLTH,UNE,N_GE1,NR,EU27	: u	: u
HLTH,UNE,N_GE1,NR,EU28	: u	: u
HLTH,UNE,N_GE1,NR,FI	: 	3372 u
HLTH,UNE,N_GE1,NR,HR	: 	7249 
HLTH,UNE,N_GE1,NR,LU	: 	2065 
HLTH,UNE,N_GE1,NR,LV	361 	: 
HLTH,UNE,N_GE1,NR,NL	95991 	92008 
HLTH,UNE,N_GE1,NR,SI	4791 u	11520 u
NINT,ACT_INAC,N_GE1,NR,AT	655762 	528004 
NINT,ACT_INAC,N_GE1,NR,BE	1823948 	: 
NINT,ACT_INAC,N_GE1,NR,BG	31263 	14498 
NINT,ACT_INAC,N_GE1,NR,CH	147936 u	140676 u
NINT,ACT_INAC,N_GE1,NR,CY	16949 e	52743 e
NINT,ACT_INAC,N_GE1,NR,CZ	387063 	466563 
NINT,ACT_INAC,N_GE1,NR,DE	6134888 	6478870 
NINT,ACT_INAC,N_GE1,NR,DK	25825 	84287 
NINT,ACT_INAC,N_GE1,NR,EA	24477382 	24288862 e
NINT,ACT_INAC,N_GE1,NR,EE	96490 	96844 
NINT,ACT_INAC,N_GE1,NR,EL	639400 	332668 
NINT,ACT_INAC,N_GE1,NR,ES	2575316 	3704305 
NINT,ACT_INAC,N_GE1,NR,EU27	32161001 	31524641 e
NINT,ACT_INAC,N_GE1,NR,EU28	32451914 	31720680 e
NINT,ACT_INAC,N_GE1,NR,FI	131789 u	143199 
NINT,ACT_INAC,N_GE1,NR,FR	1897080 	1696716 
NINT,ACT_INAC,N_GE1,NR,HR	290913 	230210 
NINT,ACT_INAC,N_GE1,NR,HU	111173 	: 
NINT,ACT_INAC,N_GE1,NR,IE	235563 	192261 
NINT,ACT_INAC,N_GE1,NR,IT	5920208 	6207349 
NINT,ACT_INAC,N_GE1,NR,LT	77352 	66223 
NINT,ACT_INAC,N_GE1,NR,LU	22319 	19821 
NINT,ACT_INAC,N_GE1,NR,LV	62220 	37619 
NINT,ACT_INAC,N_GE1,NR,ME	: c	: 
NINT,ACT_INAC,N_GE1,NR,MT	39688 	26354 
NINT,ACT_INAC,N_GE1,NR,NL	548545 	628462 
NINT,ACT_INAC,N_GE1,NR,PL	2990258 	2070000 
NINT,ACT_INAC,N_GE1,NR,PT	2717497 	2608470 
NINT,ACT_INAC,N_GE1,NR,RO	617053 	: 
NINT,ACT_INAC,N_GE1,NR,SE	1055022 	: 
NINT,ACT_INAC,N_GE1,NR,SI	137075 	111369 e
NINT,ACT_INAC,N_GE1,NR,SK	887556 	646247 
NINT,ACT_INAC,N_GE1,NR,UK	2326390 	2106900 
NINT,EDUC,N_GE1,NR,EA	: u	: u
NINT,EDUC,N_GE1,NR,ES	: c	192740 
NINT,EDUC,N_GE1,NR,EU27	: u	: u
NINT,EDUC,N_GE1,NR,EU28	: u	: u
NINT,EDUC,N_GE1,NR,FI	: 	6802 u
NINT,EDUC,N_GE1,NR,HR	: 	23835 
NINT,EDUC,N_GE1,NR,LU	: 	2343 
NINT,EDUC,N_GE1,NR,LV	1784 	: 
NINT,EDUC,N_GE1,NR,NL	17795 	44060 
NINT,EDUC,N_GE1,NR,SI	6224 u	3944 u
NINT,EMP,N_GE1,NR,EA	: u	: u
NINT,EMP,N_GE1,NR,ES	529427 	980166 
NINT,EMP,N_GE1,NR,EU27	: u	: u
NINT,EMP,N_GE1,NR,EU28	: u	: u
NINT,EMP,N_GE1,NR,FI	: c	32633 u
NINT,EMP,N_GE1,NR,HR	: 	49514 
NINT,EMP,N_GE1,NR,LU	: 	9003 
NINT,EMP,N_GE1,NR,LV	32631 	: 
NINT,EMP,N_GE1,NR,NL	183109 	189236 
NINT,EMP,N_GE1,NR,SI	34347 	30250 e
NINT,INAC_OTH,N_GE1,NR,EA	: u	: u
NINT,INAC_OTH,N_GE1,NR,ES	1719916 	2172702 
NINT,INAC_OTH,N_GE1,NR,EU27	: u	: u
NINT,INAC_OTH,N_GE1,NR,EU28	: u	: u
NINT,INAC_OTH,N_GE1,NR,FI	83449 u	94332 
NINT,INAC_OTH,N_GE1,NR,HR	: 	114350 
NINT,INAC_OTH,N_GE1,NR,LU	: 	7617 
NINT,INAC_OTH,N_GE1,NR,LV	26268 	: 
NINT,INAC_OTH,N_GE1,NR,NL	264897 	288044 
NINT,INAC_OTH,N_GE1,NR,SI	86484 	67715 e
NINT,UNE,N_GE1,NR,EA	: u	: u
NINT,UNE,N_GE1,NR,ES	245011 	358697 
NINT,UNE,N_GE1,NR,EU27	: u	: u
NINT,UNE,N_GE1,NR,EU28	: u	: u
NINT,UNE,N_GE1,NR,FI	: c	9433 u
NINT,UNE,N_GE1,NR,HR	: 	42511 
NINT,UNE,N_GE1,NR,LU	: 	859 
NINT,UNE,N_GE1,NR,LV	1539 	: 
NINT,UNE,N_GE1,NR,NL	82744 	107123 
NINT,UNE,N_GE1,NR,SI	10019 u	9461 u
NTIME_FAM,ACT_INAC,N_GE1,NR,AT	422071 	345094 
NTIME_FAM,ACT_INAC,N_GE1,NR,BE	808684 	: 
NTIME_FAM,ACT_INAC,N_GE1,NR,BG	404004 	305004 
NTIME_FAM,ACT_INAC,N_GE1,NR,CH	81401 u	55223 u
NTIME_FAM,ACT_INAC,N_GE1,NR,CY	39439 e	12001 e
NTIME_FAM,ACT_INAC,N_GE1,NR,CZ	248022 	201942 
NTIME_FAM,ACT_INAC,N_GE1,NR,DE	4156299 	5202157 
NTIME_FAM,ACT_INAC,N_GE1,NR,DK	10870 	5975 
NTIME_FAM,ACT_INAC,N_GE1,NR,EA	14632072 	16960274 e
NTIME_FAM,ACT_INAC,N_GE1,NR,EE	47485 u	58291 
NTIME_FAM,ACT_INAC,N_GE1,NR,EL	525572 	557004 
NTIME_FAM,ACT_INAC,N_GE1,NR,ES	1464190 	3620624 
NTIME_FAM,ACT_INAC,N_GE1,NR,EU27	20985276 	23148489 e
NTIME_FAM,ACT_INAC,N_GE1,NR,EU28	21308551 	23215240 e
