unit,purpose,partner,geo\time	2017 	2016 	2015 	2014 
NR,PERS,AD,ES	: c	: c	886034 u	191213 
NR,PERS,AD,FR	: 	50179 	: 	: 
NR,PERS,AT,BG	: 	: 	0 	0 
NR,PERS,AT,ES	: 	: 	668 u	: 
NR,PERS,AT,FR	: 	43539 	: 	: 
NR,PERS,AT,HU	3270736 	: 	5821080 	2966139 
NR,PERS,AT,PT	: 	: 	: 	0 
NR,PERS,AT,SI	: 	1556308 	1087858 	576010 e
NR,PERS,BE,BG	: 	: 	0 	0 
NR,PERS,BE,ES	: c	: 	: 	: 
NR,PERS,BE,FR	: 	505475 	: 	: 
NR,PERS,BE,PT	: 	: 	: 	0 
NR,PERS,BG,BG	: 	: 	0 	0 
NR,PERS,BG,PT	: 	: 	: 	0 
NR,PERS,CH,BG	: 	: 	0 	0 
NR,PERS,CH,FR	: 	321966 	: 	: 
NR,PERS,CH,PT	: 	: 	: 	0 
NR,PERS,CY,BG	: 	: 	0 	0 
NR,PERS,CY,PT	: 	: 	: 	0 
NR,PERS,CZ,BG	: 	: 	0 	0 
NR,PERS,CZ,HU	: c	: 	: c	2542 
NR,PERS,CZ,PT	: 	: 	: 	0 
NR,PERS,DE,BG	: 	: 	0 	0 
NR,PERS,DE,ES	: 	: c	24212 u	: 
NR,PERS,DE,FR	: 	488184 	: 	: 
NR,PERS,DE,HU	: 	: 	: 	456 
NR,PERS,DE,PT	: 	: 	: 	0 
NR,PERS,DK,BG	: 	: 	0 	0 
NR,PERS,DK,FI	: 	8136 u	10432 u	: 
NR,PERS,DK,PT	: 	: 	: 	0 
NR,PERS,DOM,BE	: 	: 	6955780 	: 
NR,PERS,DOM,EE	: 	1178898 	5627192 	: 
NR,PERS,DOM,EL	: 	: 	12960854 	: 
NR,PERS,DOM,ES	: 	: 	212038373 b	: 
NR,PERS,DOM,HR	: 	: 	6969269 	: 
NR,PERS,DOM,IE	72059 	: 	: 	: 
NR,PERS,DOM,LV	: 	: 	7223093 	: 
NR,PERS,DOM,NL	: 	: 	1646285299 	: 
NR,PERS,DOM,SI	: 	: 	7651097 	: 
NR,PERS,DOM,SK	: 	: 	25841896 	: 
NR,PERS,EE,BG	: 	: 	0 	0 
NR,PERS,EE,FI	531607 	1011824 	1183324 	508673 
NR,PERS,EE,LV	152352 u	428224 u	268924 	: 
NR,PERS,EE,PT	: 	: 	: 	0 
NR,PERS,EL,BG	: c	96308 u	286908 u	137078 
NR,PERS,EL,PT	: 	: 	: 	0 
NR,PERS,ES,BG	: 	: 	0 	0 
NR,PERS,ES,FR	: 	358226 	: 	: 
NR,PERS,ES,LV	: c	: 	: 	: 
NR,PERS,ES,PT	541473 u	1077166 	: 	725934 
NR,PERS,FI,BG	: 	: 	0 	0 
NR,PERS,FI,PT	: 	: 	: 	0 
NR,PERS,FR,BG	: 	: 	0 	0 
NR,PERS,FR,ES	790638 u	1423788 u	1594476 b	370638 
NR,PERS,FR,PT	: 	: 	: 	0 
NR,PERS,GA,ES	: 	: 	1658 u	: 
NR,PERS,GI,ES	: c	: c	103646 u	15428 
NR,PERS,HR,BG	: 	: 	0 	0 
NR,PERS,HR,HU	271240 	: 	466608 	201322 
NR,PERS,HR,PT	: 	: 	: 	0 
NR,PERS,HR,SI	: 	1243908 	1047486 	433127 e
NR,PERS,HU,BG	: 	: 	0 	0 
NR,PERS,HU,PT	: 	: 	: 	0 
NR,PERS,IE,BG	: 	: 	0 	0 
NR,PERS,IE,PT	: 	: 	: 	0 
NR,PERS,IS,BG	: 	: 	0 	0 
NR,PERS,IS,HU	: 	: 	: 	161 
NR,PERS,IS,PT	: 	: 	: 	0 
NR,PERS,IT,BG	: 	: 	0 	0 
NR,PERS,IT,FI	: 	: 	7940 u	: 
NR,PERS,IT,FR	: 	205918 	: 	: 
NR,PERS,IT,PT	: 	: 	: 	0 
NR,PERS,IT,SI	: 	1396454 	985450 	613261 e
NR,PERS,LI,BG	: 	: 	0 	0 
NR,PERS,LI,PT	: 	: 	: 	0 
NR,PERS,LT,BG	: 	: 	0 	0 
NR,PERS,LT,LV	543604 	728862 u	413950 	: 
NR,PERS,LT,PT	: 	: 	: 	0 
NR,PERS,LU,BG	: 	: 	0 	0 
NR,PERS,LU,FR	: 	280206 	: 	: 
NR,PERS,LU,PT	: 	: 	: 	0 
NR,PERS,LV,BG	: 	: 	0 	0 
NR,PERS,LV,FI	: 	6564 u	: 	: 
NR,PERS,LV,PT	: 	: 	: 	0 
NR,PERS,MA,ES	184782 	359970 u	573432 b	486900 
NR,PERS,MC,FR	: 	29836 	: 	: 
NR,PERS,ME,BG	: 	: 	0 	0 
NR,PERS,ME,PT	: 	: 	: 	0 
NR,PERS,MK,BG	: c	13004 u	5332 u	924 
NR,PERS,MK,PT	: 	: 	: 	0 
NR,PERS,MT,BG	: 	: 	0 	0 
NR,PERS,MT,PT	: 	: 	: 	0 
NR,PERS,NL,BG	: 	: 	0 	0 
NR,PERS,NL,FR	: 	21410 	: 	: 
NR,PERS,NL,PT	: 	: 	: 	0 
NR,PERS,NO,BG	: 	: 	0 	0 
NR,PERS,NO,FI	30071 u	21392 u	34538 u	16751 u
NR,PERS,NO,PT	: 	: 	: 	0 
NR,PERS,OUT,AL	759648 	: 	: 	: 
