unit,purpose,partner,geo\time	2017 	2016 	2015 	2014 
THS_EUR,PERS,AD,ES	: c	: c	45535.81 u	20363.77 
THS_EUR,PERS,AD,FR	: 	6934.77 	: 	: 
THS_EUR,PERS,AT,BG	: 	: 	0 	0 
THS_EUR,PERS,AT,ES	: 	: 	36.35 u	: 
THS_EUR,PERS,AT,HU	171483.81 	: 	225516.91 	110278.57 
THS_EUR,PERS,AT,PT	: 	: 	: 	0 
THS_EUR,PERS,AT,SI	: 	77217.07 	62857.62 	33604.42 e
THS_EUR,PERS,BE,BG	: 	: 	0 	0 
THS_EUR,PERS,BE,ES	: c	: 	: 	: 
THS_EUR,PERS,BE,FR	: 	68766.24 	: 	: 
THS_EUR,PERS,BE,PT	: 	: 	: 	0 
THS_EUR,PERS,BG,BG	: 	: 	0 	0 
THS_EUR,PERS,BG,PT	: 	: 	: 	0 
THS_EUR,PERS,CH,BG	: 	: 	0 	0 
THS_EUR,PERS,CH,FR	: 	52066.46 	: 	: 
THS_EUR,PERS,CH,PT	: 	: 	: 	0 
THS_EUR,PERS,CY,BG	: 	: 	0 	0 
THS_EUR,PERS,CY,PT	: 	: 	: 	0 
THS_EUR,PERS,CZ,BG	: 	: 	0 	0 
THS_EUR,PERS,CZ,HU	11.43 	: 	: c	32.38 
THS_EUR,PERS,CZ,PT	: 	: 	: 	0 
THS_EUR,PERS,DE,BG	: 	: 	0 	0 
THS_EUR,PERS,DE,ES	: 	: c	2003.95 u	: 
THS_EUR,PERS,DE,FR	: 	57033.84 	: 	: 
THS_EUR,PERS,DE,HU	: 	: 	: 	11.91 
THS_EUR,PERS,DE,PT	: 	: 	: 	0 
THS_EUR,PERS,DK,BG	: 	: 	0 	0 
THS_EUR,PERS,DK,FI	: 	4555.94 u	3620.23 u	: 
THS_EUR,PERS,DK,PT	: 	: 	: 	0 
THS_EUR,PERS,DOM,BE	: 	: 	548100.72 	: 
THS_EUR,PERS,DOM,EE	: 	101153.31 	258506.52 	: 
THS_EUR,PERS,DOM,EL	: 	: 	402778.24 	: 
THS_EUR,PERS,DOM,ES	: 	: 	6315835.93 b	: 
THS_EUR,PERS,DOM,IE	19992.22 	: 	: 	: 
THS_EUR,PERS,DOM,LV	: 	: 	156461.23 	: 
THS_EUR,PERS,DOM,NL	: 	: 	27352543.87 	: 
THS_EUR,PERS,DOM,SI	: 	: 	252061.63 	: 
THS_EUR,PERS,DOM,SK	: 	: 	1486268.4 	: 
THS_EUR,PERS,EE,BG	: 	: 	0 	0 
THS_EUR,PERS,EE,FI	121388.65 	237228.09 	248828.23 	111400.81 
THS_EUR,PERS,EE,LV	: c	12403.04 	9729.79 	: 
THS_EUR,PERS,EE,PT	: 	: 	: 	0 
THS_EUR,PERS,EL,BG	: c	: c	15178.63 u	8096.48 
THS_EUR,PERS,EL,PT	: 	: 	: 	0 
THS_EUR,PERS,ES,BG	: 	: 	0 	0 
THS_EUR,PERS,ES,FR	: 	66004.23 	: 	: 
THS_EUR,PERS,ES,LV	: c	: 	: 	: 
THS_EUR,PERS,ES,PT	33898.52 u	11969.79 	: 	47436.85 
THS_EUR,PERS,FI,BG	: 	: 	0 	0 
THS_EUR,PERS,FI,PT	: 	: 	: 	0 
THS_EUR,PERS,FR,BG	: 	: 	0 	0 
THS_EUR,PERS,FR,ES	35179.73 u	62563.32 u	75511.85 b	13677.79 
THS_EUR,PERS,FR,PT	: 	: 	: 	0 
THS_EUR,PERS,GA,ES	: 	: 	71.17 u	: 
THS_EUR,PERS,GI,ES	: c	: c	3039.59 u	312.75 
THS_EUR,PERS,HR,BG	: 	: 	0 	0 
THS_EUR,PERS,HR,HU	9902.48 	: 	19470.38 	7366.41 
THS_EUR,PERS,HR,PT	: 	: 	: 	0 
THS_EUR,PERS,HR,SI	: 	62852.35 	39520.74 	16961.02 e
THS_EUR,PERS,HU,BG	: 	: 	0 	0 
THS_EUR,PERS,HU,PT	: 	: 	: 	0 
THS_EUR,PERS,IE,BG	: 	: 	0 	0 
THS_EUR,PERS,IE,PT	: 	: 	: 	0 
THS_EUR,PERS,IS,BG	: 	: 	0 	0 
THS_EUR,PERS,IS,PT	: 	: 	: 	0 
THS_EUR,PERS,IT,BG	: 	: 	0 	0 
THS_EUR,PERS,IT,FI	: 	: 	2667.54 u	: 
THS_EUR,PERS,IT,FR	: 	26798.65 	: 	: 
THS_EUR,PERS,IT,PT	: 	: 	: 	0 
THS_EUR,PERS,IT,SI	: 	73188.84 	52059.45 	29827.51 e
THS_EUR,PERS,LI,BG	: 	: 	0 	0 
THS_EUR,PERS,LI,PT	: 	: 	: 	0 
THS_EUR,PERS,LT,BG	: 	: 	0 	0 
THS_EUR,PERS,LT,LV	26129.88 	29442.61 	19922.72 	: 
THS_EUR,PERS,LT,PT	: 	: 	: 	0 
THS_EUR,PERS,LU,BG	: 	: 	0 	0 
THS_EUR,PERS,LU,FR	: 	41978.89 	: 	: 
THS_EUR,PERS,LU,PT	: 	: 	: 	0 
THS_EUR,PERS,LV,BG	: 	: 	0 	0 
THS_EUR,PERS,LV,FI	: 	10503.4 u	: 	: 
THS_EUR,PERS,LV,PT	: 	: 	: 	0 
THS_EUR,PERS,MA,ES	6676.66 	12657.95 u	17528.23 b	9876.42 
THS_EUR,PERS,MC,FR	: 	2080.17 	: 	: 
THS_EUR,PERS,ME,BG	: 	: 	0 	0 
THS_EUR,PERS,ME,PT	: 	: 	: 	0 
THS_EUR,PERS,MK,BG	: c	: c	273.05 u	28.35 
THS_EUR,PERS,MK,FR	: 	1451.53 	: 	: 
THS_EUR,PERS,MK,PT	: 	: 	: 	0 
THS_EUR,PERS,MT,BG	: 	: 	0 	0 
THS_EUR,PERS,MT,PT	: 	: 	: 	0 
THS_EUR,PERS,NL,BG	: 	: 	0 	0 
THS_EUR,PERS,NL,FR	: 	2605.9 	: 	: 
THS_EUR,PERS,NL,PT	: 	: 	: 	0 
THS_EUR,PERS,NO,BG	: 	: 	0 	0 
THS_EUR,PERS,NO,FI	6844.95 u	2397.17 u	9058.48 u	1472.97 u
THS_EUR,PERS,NO,PT	: 	: 	: 	0 
THS_EUR,PERS,OUT,AL	9116.52 	: 	: 	: 
THS_EUR,PERS,OUT,AT	224962.38 	507866.5 	384171.95 	242825.12 
THS_EUR,PERS,OUT,BE	339906.71 b	657859.57 	1370956.53 	: 
THS_EUR,PERS,OUT,BG	: c	: c	21909.02 u	9758.03 
THS_EUR,PERS,OUT,CH	: 	: 	1903288.98 u	802090.65 u
THS_EUR,PERS,OUT,CY	: c	: c	: c	8.48 e
THS_EUR,PERS,OUT,CZ	105272.76 	116343.3 	219066.67 	128161.82 
THS_EUR,PERS,OUT,DE	7275060.56 	13821942.71 	13138098.19 	6943309.79 
THS_EUR,PERS,OUT,DK	: 	1791228.47 e	3781594.5 e	1788462.93 e
THS_EUR,PERS,OUT,EE	146538.56 	202306.62 	111050.76 	45632.82 
THS_EUR,PERS,OUT,EL	10630.05 	15657.6 u	18838.86 	16790.46 
THS_EUR,PERS,OUT,ES	141293.03 	237470.58 	276763.98 b	63873.35 
THS_EUR,PERS,OUT,FI	180679.28 	371842.03 	331173.23 	158103.19 
THS_EUR,PERS,OUT,FR	: 	360633.58 	: 	451228.38 
THS_EUR,PERS,OUT,HR	: 	: 	398317.92 	138880.23 
THS_EUR,PERS,OUT,HU	370269.51 	: 	528809.75 	253141.31 
THS_EUR,PERS,OUT,IE	19992.22 	29615.83 	32170.23 	18466.53 
THS_EUR,PERS,OUT,IT	136395.54 u	119444.37 u	: c	92261.92 
THS_EUR,PERS,OUT,LT	: 	322079 	326079.28 	206201.93 
THS_EUR,PERS,OUT,LU	: 	223588.58 	265356.94 	197952.13 
THS_EUR,PERS,OUT,LV	36051.29 	49759.2 	37359.8 	20017.62 
THS_EUR,PERS,OUT,ME	: 	: c	: 	: 
THS_EUR,PERS,OUT,MT	10697.95 	10819.97 	: 	14602.89 
THS_EUR,PERS,OUT,NL	2008103.52 	4566730.94 	1943336 	2135879.19 
THS_EUR,PERS,OUT,PL	: 	: 	4995148.38 	1961722.81 
THS_EUR,PERS,OUT,PT	33898.52 u	11969.79 	: 	47436.85 
THS_EUR,PERS,OUT,RO	1551265.75 	: 	2965159.79 	1306974.24 
THS_EUR,PERS,OUT,SE	362174.95 u	: 	: 	: 
THS_EUR,PERS,OUT,SI	106719.75 	226930.24 	167623.2 	84632.72 e
THS_EUR,PERS,OUT,SK	237284.28 	533354.78 	391680.38 	105084.59 
THS_EUR,PERS,OUT,UK	208881.9 e	238064.78 	276159.62 	132834.79 
THS_EUR,PERS,PL,BG	: 	: 	0 	0 
THS_EUR,PERS,PL,HU	: 	: 	174.84 	: 
THS_EUR,PERS,PL,LV	: c	3381.4 	1925.52 	: 
THS_EUR,PERS,PL,PT	: 	: 	: 	0 
THS_EUR,PERS,PT,BG	: 	: 	0 	0 
THS_EUR,PERS,PT,ES	73841.7 	129790.45 	118262.11 b	19606.52 
THS_EUR,PERS,PT,PT	: 	: 	: 	0 
THS_EUR,PERS,RO,BG	: c	: c	2397.03 u	240.07 
THS_EUR,PERS,RO,HU	23443.8 	: 	32790.26 	15365.12 
THS_EUR,PERS,RO,PT	: 	: 	: 	0 
THS_EUR,PERS,RS,BG	: c	: c	250.26 u	102.55 
THS_EUR,PERS,RS,HU	56213.55 	: 	33226.87 	22370.77 
THS_EUR,PERS,RS,PT	: 	: 	: 	0 
THS_EUR,PERS,RU,FI	14025.49 u	41496.64 u	19746.22 u	13870.91 u
THS_EUR,PERS,SE,BG	: 	: 	0 	0 
THS_EUR,PERS,SE,FI	38420.2 u	75660.78 u	47252.53 u	31358.51 u
THS_EUR,PERS,SE,LV	: c	: 	320.48 	: 
THS_EUR,PERS,SE,PT	: 	: 	: 	0 
THS_EUR,PERS,SI,BG	: 	: 	0 	0 
THS_EUR,PERS,SI,HU	15828.78 	: 	17541.39 	6148.23 
THS_EUR,PERS,SI,PT	: 	: 	: 	0 
THS_EUR,PERS,SK,BG	: 	: 	0 	0 
THS_EUR,PERS,SK,HU	66667.64 	: 	109465.03 	56338.24 
THS_EUR,PERS,SK,PT	: 	: 	: 	0 
THS_EUR,PERS,TN,ES	: c	: 	: 	: 
THS_EUR,PERS,TR,BG	: c	: c	3810.05 u	1290.6 
THS_EUR,PERS,TR,PT	: 	: 	: 	0 
THS_EUR,PERS,UA,BG	: 	: 	0 	0 
THS_EUR,PERS,UA,HU	26718.03 	: 	90589.2 	35229.68 
THS_EUR,PERS,UA,PT	: 	: 	: 	0 
THS_EUR,PERS,UK,BG	: 	: 	0 	0 
THS_EUR,PERS,UK,ES	: c	: c	14774.91 u	36.09 
THS_EUR,PERS,UK,FR	: 	19505.51 	: 	: 
THS_EUR,PERS,UK,LV	: 	: 	1262.59 	: 
THS_EUR,PERS,UK,PT	: 	: 	: 	0 
THS_EUR,PERS,WORLD,AT	: 	507866.5 	384171.95 	: 
THS_EUR,PERS,WORLD,BE	: b	657859.57 	: 	: 
THS_EUR,PERS,WORLD,BG	: 	8273.65 	21909.02 	: 
THS_EUR,PERS,WORLD,CH	: 	: 	1903288.98 	: 
THS_EUR,PERS,WORLD,CY	: 	67.44 	51.87 	: 
THS_EUR,PERS,WORLD,CZ	: 	: 	219066.67 	: 
THS_EUR,PERS,WORLD,DE	: 	13821942.71 	13138098.19 	: 
THS_EUR,PERS,WORLD,DK	: 	: 	3781594.5 	: 
THS_EUR,PERS,WORLD,EL	: 	15657.6 	421617.1 	: 
THS_EUR,PERS,WORLD,ES	: 	237470.58 	: b	: 
THS_EUR,PERS,WORLD,FI	: 	371842.03 	331173.23 	: 
THS_EUR,PERS,WORLD,HR	: 	: 	398317.92 	: 
THS_EUR,PERS,WORLD,HU	: 	: 	528809.75 	: 
THS_EUR,PERS,WORLD,IE	39984.44 	29615.83 	32170.23 	: 
THS_EUR,PERS,WORLD,IT	: 	119444.37 	169144.09 	: 
THS_EUR,PERS,WORLD,LT	: 	322079 	326079.28 	: 
THS_EUR,PERS,WORLD,LU	: 	223588.58 	265356.94 	: 
THS_EUR,PERS,WORLD,LV	: 	49759.2 	: 	: 
THS_EUR,PERS,WORLD,ME	: 	46484.07 	: 	: 
THS_EUR,PERS,WORLD,MT	: 	: 	: 	14602.89 
THS_EUR,PERS,WORLD,NL	: 	4566730.94 	: 	: 
THS_EUR,PERS,WORLD,PL	: 	: 	4995148.38 	: 
THS_EUR,PERS,WORLD,PT	: 	11969.79 	: 	: 
THS_EUR,PERS,WORLD,RO	: 	: 	2965159.79 	: 
THS_EUR,PERS,WORLD,SI	: 	226930.24 	: 	: 
THS_EUR,PERS,WORLD,SK	: 	533354.78 	: 	: 
THS_EUR,PERS,WORLD,UK	: 	238064.78 	276159.62 	: 
THS_EUR,PROF,AD,ES	: c	: c	: 	: 
THS_EUR,PROF,AL,FR	: 	65664.11 	: 	: 
THS_EUR,PROF,AT,BG	: 	: 	0 	0 
THS_EUR,PROF,AT,HU	2914.19 u	: 	: c	3716.74 
THS_EUR,PROF,AT,PT	: 	: 	: 	0 
THS_EUR,PROF,AT,SI	: 	20180.95 u	20693.24 u	14908.6 u
THS_EUR,PROF,BE,BG	: 	: 	0 	0 
THS_EUR,PROF,BE,ES	: c	: c	1946.45 u	239.69 
THS_EUR,PROF,BE,FI	3440.25 u	3328.42 u	: 	: 
THS_EUR,PROF,BE,FR	: 	56212.52 	: 	: 
THS_EUR,PROF,BE,LV	: c	4006.41 	829.37 	: 
THS_EUR,PROF,BE,PT	: 	: 	: 	0 
THS_EUR,PROF,BG,BG	: 	: 	0 	0 
THS_EUR,PROF,BG,HU	: 	: 	: 	27.03 
THS_EUR,PROF,BG,PT	: 	: 	: 	0 
THS_EUR,PROF,BR,ES	: 	: 	915.45 u	: 
THS_EUR,PROF,CH,BG	: 	: 	0 	0 
THS_EUR,PROF,CH,FR	: 	17595.24 	: 	: 
THS_EUR,PROF,CH,PT	: 	: 	: 	0 
THS_EUR,PROF,CY,BG	: 	: 	0 	0 
THS_EUR,PROF,CY,PT	: 	: 	: 	0 
THS_EUR,PROF,CZ,BG	: 	: 	0 	0 
THS_EUR,PROF,CZ,HU	: 	: 	: c	9.24 
THS_EUR,PROF,CZ,PT	: 	: 	: 	0 
THS_EUR,PROF,DE,BG	: 	: 	0 	0 
THS_EUR,PROF,DE,ES	: c	: c	4145.77 u	: 
THS_EUR,PROF,DE,FI	: 	8531.51 u	28221.22 u	1847.75 u
THS_EUR,PROF,DE,FR	: 	42368.86 	: 	: 
