unit,purpose,partner,geo\time	2017Q4 	2017Q3 	2017Q2 	2017Q1 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2015Q4 	2015Q3 	2015Q2 	2015Q1 	2014Q4 	2014Q3 	2014Q2 	2014Q1 
THS_EUR,PERS,AD,ES	: c	: c	: c	: c	: c	: c	: c	: c	14393.77 u	7335.01 u	13638.59 u	10168.44 u	7034.07 	2050.44 	8292.01 	2987.24 
THS_EUR,PERS,AD,FR	: 	: 	: 	: 	: 	: 	3084.82 	3849.95 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,AT,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
THS_EUR,PERS,AT,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	36.35 u	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,AT,HU	51478.02 	40036.67 	42815.25 	37153.87 	: 	: 	: 	: 	64378.53 	52740.39 	57989.56 	50408.43 	31542.35 	27848.12 	26970.24 	23917.86 
THS_EUR,PERS,AT,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
THS_EUR,PERS,AT,SI	: 	: 	: 	: 	30941.94 	13407.63 	15430.08 	17437.4 	17594.88 	12935.56 	9621.64 	22705.54 	11122.65 e	4319.05 e	7188.46 e	10974.25 e
THS_EUR,PERS,BE,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
THS_EUR,PERS,BE,ES	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,BE,FR	: 	: 	: 	: 	21374.38 	26977.76 	10340.75 	10073.36 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,BE,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
THS_EUR,PERS,BG,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
THS_EUR,PERS,BG,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
THS_EUR,PERS,CH,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
THS_EUR,PERS,CH,FR	: 	: 	: 	: 	11510.24 	24197.44 	5154.61 	11204.17 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,CH,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
THS_EUR,PERS,CY,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
THS_EUR,PERS,CY,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
THS_EUR,PERS,CZ,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
THS_EUR,PERS,CZ,HU	: 	11.43 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	8.91 	: 	23.47 	: 
THS_EUR,PERS,CZ,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
THS_EUR,PERS,DE,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
THS_EUR,PERS,DE,ES	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	2003.95 u	: 	: 	: 	: 
THS_EUR,PERS,DE,FR	: 	: 	: 	: 	19078.6 	19882.14 	8763.86 	9309.24 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,DE,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.91 
THS_EUR,PERS,DE,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
THS_EUR,PERS,DK,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
THS_EUR,PERS,DK,FI	: 	: 	: 	: 	4555.94 u	: 	: 	: 	: 	: 	: 	3620.23 u	: 	: 	: 	: 
THS_EUR,PERS,DK,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
THS_EUR,PERS,DOM,BE	: 	: 	: 	: 	: 	: 	: 	: 	107335.38 	: 	340805.55 	99959.79 	: 	: 	: 	: 
THS_EUR,PERS,DOM,EE	: 	: 	: 	: 	22509.84 	34937.52 	23700.97 	20004.98 	55329.53 	77408.41 	66447.63 	59320.96 	: 	: 	: 	: 
THS_EUR,PERS,DOM,EL	: 	: 	: 	: 	: 	: 	: 	: 	73240.98 	73911.52 	79806.21 	175819.53 	: 	: 	: 	: 
THS_EUR,PERS,DOM,ES	: 	: 	: 	: 	: 	: 	: 	: 	1548494.31 b	1717814.14 b	1506929.1 b	1542598.38 b	: 	: 	: 	: 
THS_EUR,PERS,DOM,IE	4865.96 	5971.28 	4332.1 	4822.88 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,DOM,LV	: 	: 	: 	: 	: 	: 	: 	: 	40909.19 	47401.56 	38427.34 	29723.14 	: 	: 	: 	: 
THS_EUR,PERS,DOM,NL	: 	: 	: 	: 	: 	: 	: 	: 	7925842.04 	6645652.95 	6848942.01 	5932106.87 	: 	: 	: 	: 
THS_EUR,PERS,DOM,SI	: 	: 	: 	: 	: 	: 	: 	: 	56001.16 	61679.54 	69136.15 	65244.78 	: 	: 	: 	: 
THS_EUR,PERS,DOM,SK	: 	: 	: 	: 	: 	: 	: 	: 	400939.73 	410822.64 	360658.3 	313847.73 	: 	: 	: 	: 
THS_EUR,PERS,EE,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
THS_EUR,PERS,EE,FI	22227.78 	31372.94 	44890.56 	22897.37 	65154.46 	54112.26 	72166.63 	45794.73 	63982.34 	63796.07 	65773.8 	55276.02 	22454.22 	39673.33 	26799.89 	22473.37 
THS_EUR,PERS,EE,LV	2129.62 u	: c	2308.14 u	: c	5715.7 	1986.15 	2522.39 	2178.8 	2537.9 	3689.3 	1346.5 	2156.08 	: 	: 	: 	: 
THS_EUR,PERS,EE,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
THS_EUR,PERS,EL,BG	: c	2121.32 u	: c	: c	: c	1751.15 u	: c	: c	: c	5425.51 u	4443.71 u	4249.46 u	61.58 	5544.52 	1522.54 	967.84 
THS_EUR,PERS,EL,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
THS_EUR,PERS,ES,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
THS_EUR,PERS,ES,FR	: 	: 	: 	: 	25245.51 	13266.61 	16031.6 	11460.51 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,ES,LV	: 	: 	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,ES,PT	5212.3 u	4383.7 u	12555.13 	11747.39 	2492.63 	3943.51 	1944.78 	3588.87 	: 	: 	: 	: 	6261.36 	3774.93 	17182.76 	20217.79 
THS_EUR,PERS,FI,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
THS_EUR,PERS,FI,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
THS_EUR,PERS,FR,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
THS_EUR,PERS,FR,ES	8352.63 	13230.5 	5978.88 	7617.72 u	18541.61 	21806.76 	13757.49 	8457.46 u	13631.02 b	28811.67 b	17699.58 b	15369.58 b	2651.64 	2796.15 	4386.71 	3843.29 
THS_EUR,PERS,FR,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
THS_EUR,PERS,GA,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	71.17 u	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,GI,ES	: 	: 	: c	: 	: c	: 	: c	: c	900.82 u	261.01 u	1877.76 u	: 	152.42 	59.2 	44.9 	56.23 
THS_EUR,PERS,HR,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
THS_EUR,PERS,HR,HU	1771.84 	5013.17 	1962.6 	1154.87 	: 	: 	: 	: 	3331.52 	8647.1 	4673.37 	2818.39 	2039.66 	2470.48 	1754.61 	1101.66 
THS_EUR,PERS,HR,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
