unit,purpose,partner,geo\time	2017Q4 	2017Q3 	2017Q2 	2017Q1 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2015Q4 	2015Q3 	2015Q2 	2015Q1 	2014Q4 	2014Q3 	2014Q2 	2014Q1 
NR,PERS,AD,ES	: c	: c	: c	: c	: c	: c	: c	: c	339406 u	149530 u	227700 u	169398 u	50536 	32800 	82094 	25783 
NR,PERS,AD,FR	: 	: 	: 	: 	: 	: 	22173 	28006 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,AT,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
NR,PERS,AT,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	668 u	: 	: 	: 	: 	: 	: 
NR,PERS,AT,FR	: 	: 	: 	: 	43539 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,AT,HU	891843 	822117 	798474 	758302 	: 	: 	: 	: 	1529558 	1420664 	1547738 	1323120 	752984 	741145 	753509 	718501 
NR,PERS,AT,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
NR,PERS,AT,SI	: 	: 	: 	: 	572562 	309236 	345122 	329388 	282994 	219942 	223008 	361914 	204937 e	97179 e	123560 e	150334 e
NR,PERS,BE,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
NR,PERS,BE,ES	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,BE,FR	: 	: 	: 	: 	156310 	203673 	73970 	71522 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,BE,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
NR,PERS,BG,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
NR,PERS,BG,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
NR,PERS,CH,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
NR,PERS,CH,FR	: 	: 	: 	: 	100410 	103385 	44366 	73805 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,CH,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
NR,PERS,CY,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
NR,PERS,CY,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
NR,PERS,CZ,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
NR,PERS,CZ,HU	: 	: c	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	394 	: 	2148 	: 
NR,PERS,CZ,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
NR,PERS,DE,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
NR,PERS,DE,ES	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	24212 u	: 	: 	: 	: 
NR,PERS,DE,FR	: 	: 	: 	: 	160192 	181026 	71077 	75889 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,DE,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	456 
NR,PERS,DE,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
NR,PERS,DK,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
NR,PERS,DK,FI	: 	: 	: 	: 	8136 u	: 	: 	: 	: 	: 	: 	10432 u	: 	: 	: 	: 
NR,PERS,DK,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
NR,PERS,DOM,BE	: 	: 	: 	: 	: 	: 	: 	: 	2369331 	: 	2639118 	1947331 	: 	: 	: 	: 
NR,PERS,DOM,EE	: 	: 	: 	: 	298315 	374119 	289138 	217326 	1134887 	1751748 	1550597 	1189960 	: 	: 	: 	: 
NR,PERS,DOM,EL	: 	: 	: 	: 	: 	: 	: 	: 	2491978 	2657678 	3001447 	4809751 	: 	: 	: 	: 
NR,PERS,DOM,ES	: 	: 	: 	: 	: 	: 	: 	: 	50783340 b	58967582 b	50210503 b	52076948 b	: 	: 	: 	: 
NR,PERS,DOM,HR	: 	: 	: 	: 	: 	: 	: 	: 	1119523 	1999914 	1792096 	2057736 	: 	: 	: 	: 
NR,PERS,DOM,IE	15327 	19747 	16666 	20319 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,DOM,LV	: 	: 	: 	: 	: 	: 	: 	: 	1799860 	2303634 	1897325 	1222274 	: 	: 	: 	: 
NR,PERS,DOM,NL	: 	: 	: 	: 	: 	: 	: 	: 	428500707 	422856761 	422328891 	372598940 	: 	: 	: 	: 
NR,PERS,DOM,SI	: 	: 	: 	: 	: 	: 	: 	: 	1744057 	2068746 	2037697 	1800597 	: 	: 	: 	: 
NR,PERS,DOM,SK	: 	: 	: 	: 	: 	: 	: 	: 	6239513 	7060799 	6512305 	6029279 	: 	: 	: 	: 
NR,PERS,EE,BG	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
NR,PERS,EE,FI	132041 	134169 	174501 	90896 	239864 	259854 	330314 	181792 	306586 	336872 	316898 	222968 	88777 	176845 	135739 	107312 
